 ,WTON,WTOF,PHOT,HROR
2022-01-01 00:00:00+00:00,0.368107302533532,0,0.0,0.1875
2022-01-01 01:00:00+00:00,0.3919523099850969,0,0.0,0.1875
2022-01-01 02:00:00+00:00,0.3740685543964232,0,0.0,0.1875
2022-01-01 03:00:00+00:00,0.3949329359165425,0,0.0,0.1875
2022-01-01 04:00:00+00:00,0.3994038748137108,0,0.0,0.1875
2022-01-01 05:00:00+00:00,0.4724292101341281,0,0.0,0.1875
2022-01-01 06:00:00+00:00,0.5126676602086438,0,0.0035487667587759,0.1875
2022-01-01 07:00:00+00:00,0.511177347242921,0,0.0106463002763278,0.1875
2022-01-01 08:00:00+00:00,0.4977645305514158,0,0.0177438337938798,0.1875
2022-01-01 09:00:00+00:00,0.4292101341281669,0,0.0177438337938798,0.1875
2022-01-01 10:00:00+00:00,0.4217585692995529,0,0.0141950670351038,0.1875
2022-01-01 11:00:00+00:00,0.3442622950819672,0,0.0106463002763278,0.1875
2022-01-01 12:00:00+00:00,0.2831594634873323,0,0.0035487667587759,0.1875
2022-01-01 13:00:00+00:00,0.2742175856929955,0,0.0,0.1875
2022-01-01 14:00:00+00:00,0.187779433681073,0,0.0,0.1875
2022-01-01 15:00:00+00:00,0.1400894187779433,0,0.0,0.1875
2022-01-01 16:00:00+00:00,0.1087928464977645,0,0.0,0.1875
2022-01-01 17:00:00+00:00,0.067064083457526,0,0.0,0.1875
2022-01-01 18:00:00+00:00,0.029806259314456,0,0.0,0.1875
2022-01-01 19:00:00+00:00,0.0134128166915052,0,0.0,0.1875
2022-01-01 20:00:00+00:00,0.0089418777943368,0,0.0,0.1875
2022-01-01 21:00:00+00:00,0.014903129657228,0,0.0,0.1875
2022-01-01 22:00:00+00:00,0.0253353204172876,0,0.0,0.1875
2022-01-01 23:00:00+00:00,0.052160953800298,0,0.0,0.1875
2022-01-02 00:00:00+00:00,0.0804769001490312,0,0.0,0.1875
2022-01-02 01:00:00+00:00,0.1445603576751117,0,0.0,0.1875
2022-01-02 02:00:00+00:00,0.1922503725782414,0,0.0,0.1875
2022-01-02 03:00:00+00:00,0.2548435171385991,0,0.0,0.1875
2022-01-02 04:00:00+00:00,0.375558867362146,0,0.0,0.1875
2022-01-02 05:00:00+00:00,0.4992548435171386,0,0.0,0.1875
2022-01-02 06:00:00+00:00,0.4992548435171386,0,0.0035487667587759,0.1875
2022-01-02 07:00:00+00:00,0.4247391952309985,0,0.0070975335175519,0.1875
2022-01-02 08:00:00+00:00,0.3695976154992548,0,0.0106463002763278,0.1875
2022-01-02 09:00:00+00:00,0.3278688524590163,0,0.0141950670351038,0.1875
2022-01-02 10:00:00+00:00,0.3740685543964232,0,0.0106463002763278,0.1875
2022-01-02 11:00:00+00:00,0.3442622950819672,0,0.0035487667587759,0.1875
2022-01-02 12:00:00+00:00,0.2995529061102832,0,0.0,0.1875
2022-01-02 13:00:00+00:00,0.2965722801788376,0,0.0,0.1875
2022-01-02 14:00:00+00:00,0.2846497764530551,0,0.0,0.1875
2022-01-02 15:00:00+00:00,0.2816691505216095,0,0.0,0.1875
2022-01-02 16:00:00+00:00,0.2384500745156482,0,0.0,0.1875
