,PHOT,WTOF,WTON
2016-01-01 00:00:00,0.0,0.0,9e-06
2016-01-01 00:30:00,0.0,0.0,5.5e-06
2016-01-01 01:00:00,0.0,0.0,2e-06
2016-01-01 01:30:00,0.0,0.0,1e-06
2016-01-01 02:00:00,0.0,0.0,0.0
2016-01-01 02:30:00,0.0,0.0,1.5e-06
2016-01-01 03:00:00,0.0,0.0,3e-06
2016-01-01 03:30:00,0.0,0.0,1.0500000000000001e-05
2016-01-01 04:00:00,0.0,0.0,1.8e-05
2016-01-01 04:30:00,0.0,0.0,6.75e-05
2016-01-01 05:00:00,0.0,0.0,0.000117
2016-01-01 05:30:00,0.060000000000000005,0.0,0.000145
2016-01-01 06:00:00,0.12,0.0,0.000173
2016-01-01 06:30:00,0.20199999999999999,0.0,0.00020149999999994998
2016-01-01 07:00:00,0.284,0.0,0.0002299999999999
2016-01-01 07:30:00,0.3495,0.0,0.00051599999999995
2016-01-01 08:00:00,0.415,0.0,0.000802
2016-01-01 08:30:00,0.46399999999999997,0.0,0.0016775000000000002
2016-01-01 09:00:00,0.513,0.0,0.002553
2016-01-01 09:30:00,0.534,0.0,0.003495
2016-01-01 10:00:00,0.555,0.0,0.004437
2016-01-01 10:30:00,0.5489999999999999,0.0,0.004949
2016-01-01 11:00:00,0.5429999999999999,0.0,0.005461
2016-01-01 11:30:00,0.5095,0.0,0.0051335
2016-01-01 12:00:00,0.476,0.0,0.004806
2016-01-01 12:30:00,0.4175,0.0,0.0030570000000000003
2016-01-01 13:00:00,0.359,0.0,0.001308
2016-01-01 13:30:00,0.2445,0.0,0.000669
2016-01-01 14:00:00,0.13,0.0,3e-05
2016-01-01 14:30:00,0.065,0.0,0.000102
2016-01-01 15:00:00,0.0,0.0,0.000174
2016-01-01 15:30:00,0.0,0.0,9.4e-05
2016-01-01 16:00:00,0.0,0.0,1.4e-05
2016-01-01 16:30:00,0.0,0.0,7.000000000000001e-06
2016-01-01 17:00:00,0.0,0.0,0.0
2016-01-01 17:30:00,0.0,0.0,0.0
2016-01-01 18:00:00,0.0,0.0,0.0
2016-01-01 18:30:00,0.0,0.0,0.0
2016-01-01 19:00:00,0.0,0.0,0.0
2016-01-01 19:30:00,0.0,0.0,0.0
2016-01-01 20:00:00,0.0,0.0,0.0
2016-01-01 20:30:00,0.0,0.0,0.0
2016-01-01 21:00:00,0.0,0.0,0.0
2016-01-01 21:30:00,0.0,0.0,1.5e-06
2016-01-01 22:00:00,0.0,0.0,3e-06
2016-01-01 22:30:00,0.0,0.0,0.0019824999999999496
2016-01-01 23:00:00,0.0,0.0,0.0039619999999999
2016-01-01 23:30:00,0.0,0.0,0.01181749999999995
2016-01-02 00:00:00,0.0,0.0,0.019673
2016-01-02 00:30:00,0.0,0.0,0.0235935
2016-01-02 01:00:00,0.0,0.0,0.027514
2016-01-02 01:30:00,0.0,0.0,0.031735
2016-01-02 02:00:00,0.0,0.0,0.035956
2016-01-02 02:30:00,0.0,0.0,0.04664
2016-01-02 03:00:00,0.0,0.0,0.057324
2016-01-02 03:30:00,0.0,0.0,0.071545
2016-01-02 04:00:00,0.0,0.0,0.085766
2016-01-02 04:30:00,0.0,0.0,0.09626249999999995
2016-01-02 05:00:00,0.0,0.0,0.1067589999999999
2016-01-02 05:30:00,0.0415,0.0,0.1081594999999999
2016-01-02 06:00:00,0.083,0.0,0.1095599999999999
2016-01-02 06:30:00,0.16349999999999998,0.0,0.09318499999999995
2016-01-02 07:00:00,0.244,0.0,0.07681
2016-01-02 07:30:00,0.309,0.0,0.089091
2016-01-02 08:00:00,0.374,0.0,0.101372
2016-01-02 08:30:00,0.4205,0.0,0.10038050000000001
2016-01-02 09:00:00,0.467,0.0,0.099389
2016-01-02 09:30:00,0.48750000000000004,0.0,0.0872725
2016-01-02 10:00:00,0.508,0.0,0.075156
2016-01-02 10:30:00,0.499,0.0,0.062417
2016-01-02 11:00:00,0.49,0.0,0.049678
2016-01-02 11:30:00,0.432,0.0,0.037432
2016-01-02 12:00:00,0.374,0.0,0.025186
2016-01-02 12:30:00,0.2925,0.0,0.014202
2016-01-02 13:00:00,0.211,0.0,0.003218
2016-01-02 13:30:00,0.136,0.0,0.0016114999999999999
2016-01-02 14:00:00,0.061,0.0,5e-06
2016-01-02 14:30:00,0.030499999999999996,0.0,2.15e-05
2016-01-02 15:00:00,0.0,0.0,3.8e-05
2016-01-02 15:30:00,0.0,0.0,0.004888
2016-01-02 16:00:00,0.0,0.0,0.009738
2016-01-02 16:30:00,0.0,0.0,0.019556999999999998
2016-01-02 17:00:00,0.0,0.0,0.029376
2016-01-02 17:30:00,0.0,0.0,0.0345855
2016-01-02 18:00:00,0.0,0.0,0.039795
2016-01-02 18:30:00,0.0,0.0,0.050270999999999996
2016-01-02 19:00:00,0.0,0.0,0.060747
2016-01-02 19:30:00,0.0,0.0,0.0722975
2016-01-02 20:00:00,0.0,0.0,0.083848
2016-01-02 20:30:00,0.0,0.0,0.08060400000000001
2016-01-02 21:00:00,0.0,0.0,0.07736
2016-01-02 21:30:00,0.0,0.0,0.073977
2016-01-02 22:00:00,0.0,0.0,0.070594
2016-01-02 22:30:00,0.0,0.0,0.07060949999999999
2016-01-02 23:00:00,0.0,0.0,0.070625
2016-01-02 23:30:00,0.0,0.0,0.0737635
2016-01-03 00:00:00,0.0,0.0,0.076902
2016-01-03 00:30:00,0.0,0.0,0.078381
2016-01-03 01:00:00,0.0,0.0,0.07986
2016-01-03 01:30:00,0.0,0.0,0.08289250000000001
2016-01-03 02:00:00,0.0,0.0,0.085925
2016-01-03 02:30:00,0.0,0.0,0.0832605
2016-01-03 03:00:00,0.0,0.0,0.080596
2016-01-03 03:30:00,0.0,0.0,0.077993
2016-01-03 04:00:00,0.0,0.0,0.07539
2016-01-03 04:30:00,0.0,0.0,0.0854985
2016-01-03 05:00:00,0.0,0.0,0.095607
2016-01-03 05:30:00,0.003,0.0,0.13217
2016-01-03 06:00:00,0.006,0.0,0.168733
2016-01-03 06:30:00,0.019500000000000003,0.0,0.2066305
2016-01-03 07:00:00,0.033,0.0,0.244528
2016-01-03 07:30:00,0.044,0.0,0.2663125
2016-01-03 08:00:00,0.055,0.0,0.288097
2016-01-03 08:30:00,0.05649999999999995,0.0,0.30996599999999996
2016-01-03 09:00:00,0.0579999999999999,0.0,0.331835
2016-01-03 09:30:00,0.05849999999999995,0.0,0.35023499999999996
2016-01-03 10:00:00,0.059,0.0,0.368635
2016-01-03 10:30:00,0.055999999999999994,0.0,0.369862
2016-01-03 11:00:00,0.053,0.0,0.371089
2016-01-03 11:30:00,0.0465,0.0,0.355634
2016-01-03 12:00:00,0.04,0.0,0.340179
2016-01-03 12:30:00,0.031,0.0,0.3077345
2016-01-03 13:00:00,0.022,0.0,0.27529
2016-01-03 13:30:00,0.013,0.0,0.2099205
2016-01-03 14:00:00,0.004,0.0,0.144551
2016-01-03 14:30:00,0.002,0.0,0.095719
2016-01-03 15:00:00,0.0,0.0,0.046887
2016-01-03 15:30:00,0.0,0.0,0.039681999999999995
2016-01-03 16:00:00,0.0,0.0,0.032477
2016-01-03 16:30:00,0.0,0.0,0.02637949999999995
2016-01-03 17:00:00,0.0,0.0,0.0202819999999999
2016-01-03 17:30:00,0.0,0.0,0.01721849999999995
2016-01-03 18:00:00,0.0,0.0,0.014155
2016-01-03 18:30:00,0.0,0.0,0.010031
2016-01-03 19:00:00,0.0,0.0,0.005907
2016-01-03 19:30:00,0.0,0.0,0.00377799999999995
2016-01-03 20:00:00,0.0,0.0,0.0016489999999999
2016-01-03 20:30:00,0.0,0.0,0.0021894999999999497
2016-01-03 21:00:00,0.0,0.0,0.00273
2016-01-03 21:30:00,0.0,0.0,0.006392499999999999
2016-01-03 22:00:00,0.0,0.0,0.010055
2016-01-03 22:30:00,0.0,0.0,0.013641999999999951
2016-01-03 23:00:00,0.0,0.0,0.0172289999999999
2016-01-03 23:30:00,0.0,0.0,0.02173599999999995
2016-01-04 00:00:00,0.0,0.0,0.026243
2016-01-04 00:30:00,0.0,0.0,0.0313485
2016-01-04 01:00:00,0.0,0.0,0.036454
2016-01-04 01:30:00,0.0,0.0,0.040165
2016-01-04 02:00:00,0.0,0.0,0.043876
2016-01-04 02:30:00,0.0,0.0,0.0399355
2016-01-04 03:00:00,0.0,0.0,0.035995
2016-01-04 03:30:00,0.0,0.0,0.0242835
2016-01-04 04:00:00,0.0,0.0,0.012572
2016-01-04 04:30:00,0.0,0.0,0.00638099999999995
2016-01-04 05:00:00,0.0,0.0,0.0001899999999999
2016-01-04 05:30:00,0.01,0.0,9.799999999995e-05
2016-01-04 06:00:00,0.02,0.0,6e-06
2016-01-04 06:30:00,0.0465,0.0,0.00014700000000000002
2016-01-04 07:00:00,0.073,0.0,0.000288
2016-01-04 07:30:00,0.077,0.0,0.00656799999999995
2016-01-04 08:00:00,0.081,0.0,0.0128479999999999
