,22495.0
2016-01-01 01:00:00+00:00,21272.0
2016-01-01 01:15:00+00:00,20959.5
2016-01-01 01:30:00+00:00,20647.0
2016-01-01 01:45:00+00:00,20334.5
2016-01-01 02:00:00+00:00,20022.0
2016-01-01 02:15:00+00:00,19803.5
2016-01-01 02:30:00+00:00,19585.0
2016-01-01 02:45:00+00:00,19366.5
2016-01-01 03:00:00+00:00,19148.0
2016-01-01 03:15:00+00:00,19048.5
2016-01-01 03:30:00+00:00,18949.0
2016-01-01 03:45:00+00:00,18849.5
2016-01-01 04:00:00+00:00,18750.0
2016-01-01 04:15:00+00:00,18744.75
2016-01-01 04:30:00+00:00,18739.5
2016-01-01 04:45:00+00:00,18734.25
2016-01-01 05:00:00+00:00,18729.0
2016-01-01 05:15:00+00:00,18708.5
2016-01-01 05:30:00+00:00,18688.0
2016-01-01 05:45:00+00:00,18667.5
2016-01-01 06:00:00+00:00,18647.0
2016-01-01 06:15:00+00:00,18545.75
2016-01-01 06:30:00+00:00,18444.5
2016-01-01 06:45:00+00:00,18343.25
2016-01-01 07:00:00+00:00,18242.0
2016-01-01 07:15:00+00:00,18222.5
2016-01-01 07:30:00+00:00,18203.0
2016-01-01 07:45:00+00:00,18183.5
2016-01-01 08:00:00+00:00,18164.0
2016-01-01 08:15:00+00:00,18492.5
2016-01-01 08:30:00+00:00,18821.0
2016-01-01 08:45:00+00:00,19149.5
2016-01-01 09:00:00+00:00,19478.0
2016-01-01 09:15:00+00:00,19763.25
2016-01-01 09:30:00+00:00,20048.5
2016-01-01 09:45:00+00:00,20333.75
2016-01-01 10:00:00+00:00,20619.0
2016-01-01 10:15:00+00:00,20805.75
2016-01-01 10:30:00+00:00,20992.5
2016-01-01 10:45:00+00:00,21179.25
2016-01-01 11:00:00+00:00,21366.0
2016-01-01 11:15:00+00:00,21608.25
2016-01-01 11:30:00+00:00,21850.5
2016-01-01 11:45:00+00:00,22092.75
2016-01-01 12:00:00+00:00,22335.0
2016-01-01 12:15:00+00:00,22418.75
2016-01-01 12:30:00+00:00,22502.5
2016-01-01 12:45:00+00:00,22586.25
2016-01-01 13:00:00+00:00,22670.0
2016-01-01 13:15:00+00:00,22329.75
2016-01-01 13:30:00+00:00,21989.5
2016-01-01 13:45:00+00:00,21649.25
2016-01-01 14:00:00+00:00,21309.0
2016-01-01 14:15:00+00:00,21173.5
2016-01-01 14:30:00+00:00,21038.0
2016-01-01 14:45:00+00:00,20902.5
2016-01-01 15:00:00+00:00,20767.0
2016-01-01 15:15:00+00:00,20873.75
2016-01-01 15:30:00+00:00,20980.5
2016-01-01 15:45:00+00:00,21087.25
2016-01-01 16:00:00+00:00,21194.0
2016-01-01 16:15:00+00:00,21856.75
2016-01-01 16:30:00+00:00,22519.5
2016-01-01 16:45:00+00:00,23182.25
2016-01-01 17:00:00+00:00,23845.0
2016-01-01 17:15:00+00:00,24147.5
2016-01-01 17:30:00+00:00,24450.0
2016-01-01 17:45:00+00:00,24752.5
2016-01-01 18:00:00+00:00,25055.0
2016-01-01 18:15:00+00:00,25271.75
2016-01-01 18:30:00+00:00,25488.5
2016-01-01 18:45:00+00:00,25705.25
2016-01-01 19:00:00+00:00,25922.0
2016-01-01 19:15:00+00:00,26034.5
2016-01-01 19:30:00+00:00,26147.0
2016-01-01 19:45:00+00:00,26259.5
2016-01-01 20:00:00+00:00,26372.0
2016-01-01 20:15:00+00:00,26372.5
2016-01-01 20:30:00+00:00,26373.0
2016-01-01 20:45:00+00:00,26373.5
2016-01-01 21:00:00+00:00,26374.0
2016-01-01 21:15:00+00:00,25890.5
2016-01-01 21:30:00+00:00,25407.0
2016-01-01 21:45:00+00:00,24923.5
2016-01-01 22:00:00+00:00,24440.0
2016-01-01 22:15:00+00:00,23968.0
2016-01-01 22:30:00+00:00,23496.0
2016-01-01 22:45:00+00:00,23024.0
2016-01-01 23:00:00+00:00,22552.0
2016-01-01 23:15:00+00:00,22025.0
2016-01-01 23:30:00+00:00,21498.0
2016-01-01 23:45:00+00:00,20971.0
2016-01-02 00:00:00+00:00,20444.0
2016-01-02 00:15:00+00:00,20091.25
2016-01-02 00:30:00+00:00,19738.5
2016-01-02 00:45:00+00:00,19385.75
2016-01-02 01:00:00+00:00,19033.0
2016-01-02 01:15:00+00:00,18899.25
2016-01-02 01:30:00+00:00,18765.5
2016-01-02 01:45:00+00:00,18631.75
2016-01-02 02:00:00+00:00,18498.0
2016-01-02 02:15:00+00:00,18418.0
2016-01-02 02:30:00+00:00,18338.0
2016-01-02 02:45:00+00:00,18258.0
2016-01-02 03:00:00+00:00,18178.0
2016-01-02 03:15:00+00:00,18292.25
2016-01-02 03:30:00+00:00,18406.5
2016-01-02 03:45:00+00:00,18520.75
2016-01-02 04:00:00+00:00,18635.0
2016-01-02 04:15:00+00:00,18953.0
2016-01-02 04:30:00+00:00,19271.0
2016-01-02 04:45:00+00:00,19589.0
2016-01-02 05:00:00+00:00,19907.0
2016-01-02 05:15:00+00:00,20121.0
2016-01-02 05:30:00+00:00,20335.0
2016-01-02 05:45:00+00:00,20549.0
2016-01-02 06:00:00+00:00,20763.0
2016-01-02 06:15:00+00:00,21148.5
2016-01-02 06:30:00+00:00,21534.0
2016-01-02 06:45:00+00:00,21919.5
2016-01-02 07:00:00+00:00,22305.0
2016-01-02 07:15:00+00:00,22886.0
2016-01-02 07:30:00+00:00,23467.0
2016-01-02 07:45:00+00:00,24048.0
2016-01-02 08:00:00+00:00,24629.0
2016-01-02 08:15:00+00:00,25167.25
2016-01-02 08:30:00+00:00,25705.5
2016-01-02 08:45:00+00:00,26243.75
2016-01-02 09:00:00+00:00,26782.0
2016-01-02 09:15:00+00:00,26951.75
2016-01-02 09:30:00+00:00,27121.5
2016-01-02 09:45:00+00:00,27291.25
2016-01-02 10:00:00+00:00,27461.0
2016-01-02 10:15:00+00:00,27275.0
2016-01-02 10:30:00+00:00,27089.0
2016-01-02 10:45:00+00:00,26903.0
2016-01-02 11:00:00+00:00,26717.0
2016-01-02 11:15:00+00:00,26818.25
2016-01-02 11:30:00+00:00,26919.5
2016-01-02 11:45:00+00:00,27020.75
2016-01-02 12:00:00+00:00,27122.0
2016-01-02 12:15:00+00:00,27168.75
2016-01-02 12:30:00+00:00,27215.5
2016-01-02 12:45:00+00:00,27262.25
2016-01-02 13:00:00+00:00,27309.0
2016-01-02 13:15:00+00:00,27022.5
2016-01-02 13:30:00+00:00,26736.0
2016-01-02 13:45:00+00:00,26449.5
2016-01-02 14:00:00+00:00,26163.0
2016-01-02 14:15:00+00:00,26056.0
2016-01-02 14:30:00+00:00,25949.0
2016-01-02 14:45:00+00:00,25842.0
2016-01-02 15:00:00+00:00,25735.0
2016-01-02 15:15:00+00:00,25779.25
2016-01-02 15:30:00+00:00,25823.5
2016-01-02 15:45:00+00:00,25867.75
2016-01-02 16:00:00+00:00,25912.0
2016-01-02 16:15:00+00:00,26320.75
2016-01-02 16:30:00+00:00,26729.5
2016-01-02 16:45:00+00:00,27138.25
2016-01-02 17:00:00+00:00,27547.0
2016-01-02 17:15:00+00:00,27806.0
2016-01-02 17:30:00+00:00,28065.0
2016-01-02 17:45:00+00:00,28324.0
2016-01-02 18:00:00+00:00,28583.0
2016-01-02 18:15:00+00:00,28644.75
2016-01-02 18:30:00+00:00,28706.5
2016-01-02 18:45:00+00:00,28768.25
2016-01-02 19:00:00+00:00,28830.0
2016-01-02 19:15:00+00:00,28842.5
2016-01-02 19:30:00+00:00,28855.0
2016-01-02 19:45:00+00:00,28867.5
2016-01-02 20:00:00+00:00,28880.0
2016-01-02 20:15:00+00:00,28589.75
2016-01-02 20:30:00+00:00,28299.5
2016-01-02 20:45:00+00:00,28009.25
2016-01-02 21:00:00+00:00,27719.0
2016-01-02 21:15:00+00:00,27228.5
2016-01-02 21:30:00+00:00,26738.0
2016-01-02 21:45:00+00:00,26247.5
2016-01-02 22:00:00+00:00,25757.0
2016-01-02 22:15:00+00:00,25322.0
2016-01-02 22:30:00+00:00,24887.0
2016-01-02 22:45:00+00:00,24452.0
2016-01-02 23:00:00+00:00,24017.0
2016-01-02 23:15:00+00:00,23534.75
2016-01-02 23:30:00+00:00,23052.5
2016-01-02 23:45:00+00:00,22570.25
2016-01-03 00:00:00+00:00,22088.0
2016-01-03 00:15:00+00:00,21739.5
2016-01-03 00:30:00+00:00,21391.0
2016-01-03 00:45:00+00:00,21042.5
2016-01-03 01:00:00+00:00,20694.0
2016-01-03 01:15:00+00:00,20494.25
2016-01-03 01:30:00+00:00,20294.5
2016-01-03 01:45:00+00:00,20094.75
2016-01-03 02:00:00+00:00,19895.0
2016-01-03 02:15:00+00:00,19795.75
2016-01-03 02:30:00+00:00,19696.5
2016-01-03 02:45:00+00:00,19597.25
2016-01-03 03:00:00+00:00,19498.0
2016-01-03 03:15:00+00:00,19499.5
