,1641.0
2018-01-01 01:00:00+00:00,1531.0
2018-01-01 01:15:00+00:00,1509.0
2018-01-01 01:30:00+00:00,1487.0
2018-01-01 01:45:00+00:00,1465.0
2018-01-01 02:00:00+00:00,1443.0
2018-01-01 02:15:00+00:00,1434.0
2018-01-01 02:30:00+00:00,1425.0
2018-01-01 02:45:00+00:00,1416.0
2018-01-01 03:00:00+00:00,1407.0
2018-01-01 03:15:00+00:00,1405.25
2018-01-01 03:30:00+00:00,1403.5
2018-01-01 03:45:00+00:00,1401.75
2018-01-01 04:00:00+00:00,1400.0
2018-01-01 04:15:00+00:00,1407.0
2018-01-01 04:30:00+00:00,1414.0
2018-01-01 04:45:00+00:00,1421.0
2018-01-01 05:00:00+00:00,1428.0
2018-01-01 05:15:00+00:00,1430.75
2018-01-01 05:30:00+00:00,1433.5
2018-01-01 05:45:00+00:00,1436.25
2018-01-01 06:00:00+00:00,1439.0
2018-01-01 06:15:00+00:00,1464.5
2018-01-01 06:30:00+00:00,1490.0
2018-01-01 06:45:00+00:00,1515.5
2018-01-01 07:00:00+00:00,1541.0
2018-01-01 07:15:00+00:00,1582.25
2018-01-01 07:30:00+00:00,1623.5
2018-01-01 07:45:00+00:00,1664.75
2018-01-01 08:00:00+00:00,1706.0
2018-01-01 08:15:00+00:00,1742.0
2018-01-01 08:30:00+00:00,1778.0
2018-01-01 08:45:00+00:00,1814.0
2018-01-01 09:00:00+00:00,1850.0
2018-01-01 09:15:00+00:00,1872.75
2018-01-01 09:30:00+00:00,1895.5
2018-01-01 09:45:00+00:00,1918.25
2018-01-01 10:00:00+00:00,1941.0
2018-01-01 10:15:00+00:00,1948.25
2018-01-01 10:30:00+00:00,1955.5
2018-01-01 10:45:00+00:00,1962.75
2018-01-01 11:00:00+00:00,1970.0
2018-01-01 11:15:00+00:00,1966.75
2018-01-01 11:30:00+00:00,1963.5
2018-01-01 11:45:00+00:00,1960.25
2018-01-01 12:00:00+00:00,1957.0
2018-01-01 12:15:00+00:00,1930.75
2018-01-01 12:30:00+00:00,1904.5
2018-01-01 12:45:00+00:00,1878.25
2018-01-01 13:00:00+00:00,1852.0
2018-01-01 13:15:00+00:00,1852.0
2018-01-01 13:30:00+00:00,1852.0
2018-01-01 13:45:00+00:00,1852.0
2018-01-01 14:00:00+00:00,1852.0
2018-01-01 14:15:00+00:00,1893.5
2018-01-01 14:30:00+00:00,1935.0
2018-01-01 14:45:00+00:00,1976.5
2018-01-01 15:00:00+00:00,2018.0
2018-01-01 15:15:00+00:00,2064.0
2018-01-01 15:30:00+00:00,2110.0
2018-01-01 15:45:00+00:00,2156.0
2018-01-01 16:00:00+00:00,2202.0
2018-01-01 16:15:00+00:00,2196.5
2018-01-01 16:30:00+00:00,2191.0
2018-01-01 16:45:00+00:00,2185.5
2018-01-01 17:00:00+00:00,2180.0
2018-01-01 17:15:00+00:00,2194.75
2018-01-01 17:30:00+00:00,2209.5
2018-01-01 17:45:00+00:00,2224.25
2018-01-01 18:00:00+00:00,2239.0
2018-01-01 18:15:00+00:00,2213.0
2018-01-01 18:30:00+00:00,2187.0
2018-01-01 18:45:00+00:00,2161.0
2018-01-01 19:00:00+00:00,2135.0
2018-01-01 19:15:00+00:00,2135.75
2018-01-01 19:30:00+00:00,2136.5
2018-01-01 19:45:00+00:00,2137.25
2018-01-01 20:00:00+00:00,2138.0
2018-01-01 20:15:00+00:00,2118.75
2018-01-01 20:30:00+00:00,2099.5
2018-01-01 20:45:00+00:00,2080.25
2018-01-01 21:00:00+00:00,2061.0
2018-01-01 21:15:00+00:00,2016.5
2018-01-01 21:30:00+00:00,1972.0
2018-01-01 21:45:00+00:00,1927.5
2018-01-01 22:00:00+00:00,1883.0
2018-01-01 22:15:00+00:00,1833.75
2018-01-01 22:30:00+00:00,1784.5
2018-01-01 22:45:00+00:00,1735.25
2018-01-01 23:00:00+00:00,1686.0
2018-01-01 23:15:00+00:00,1646.5
2018-01-01 23:30:00+00:00,1607.0
2018-01-01 23:45:00+00:00,1567.5
2018-01-02 00:00:00+00:00,1528.0
2018-01-02 00:15:00+00:00,1512.5
2018-01-02 00:30:00+00:00,1497.0
2018-01-02 00:45:00+00:00,1481.5
2018-01-02 01:00:00+00:00,1466.0
2018-01-02 01:15:00+00:00,1465.5
2018-01-02 01:30:00+00:00,1465.0
2018-01-02 01:45:00+00:00,1464.5
2018-01-02 02:00:00+00:00,1464.0
2018-01-02 02:15:00+00:00,1469.25
2018-01-02 02:30:00+00:00,1474.5
2018-01-02 02:45:00+00:00,1479.75
2018-01-02 03:00:00+00:00,1485.0
2018-01-02 03:15:00+00:00,1512.0
2018-01-02 03:30:00+00:00,1539.0
2018-01-02 03:45:00+00:00,1566.0
2018-01-02 04:00:00+00:00,1593.0
2018-01-02 04:15:00+00:00,1658.5
2018-01-02 04:30:00+00:00,1724.0
2018-01-02 04:45:00+00:00,1789.5
2018-01-02 05:00:00+00:00,1855.0
2018-01-02 05:15:00+00:00,1916.25
2018-01-02 05:30:00+00:00,1977.5
2018-01-02 05:45:00+00:00,2038.75
2018-01-02 06:00:00+00:00,2100.0
2018-01-02 06:15:00+00:00,2141.5
2018-01-02 06:30:00+00:00,2183.0
2018-01-02 06:45:00+00:00,2224.5
2018-01-02 07:00:00+00:00,2266.0
2018-01-02 07:15:00+00:00,2292.5
2018-01-02 07:30:00+00:00,2319.0
2018-01-02 07:45:00+00:00,2345.5
2018-01-02 08:00:00+00:00,2372.0
2018-01-02 08:15:00+00:00,2382.0
2018-01-02 08:30:00+00:00,2392.0
2018-01-02 08:45:00+00:00,2402.0
2018-01-02 09:00:00+00:00,2412.0
2018-01-02 09:15:00+00:00,2417.5
2018-01-02 09:30:00+00:00,2423.0
2018-01-02 09:45:00+00:00,2428.5
2018-01-02 10:00:00+00:00,2434.0
2018-01-02 10:15:00+00:00,2431.5
2018-01-02 10:30:00+00:00,2429.0
