,21673.0
2018-01-01 01:00:00+00:00,20333.0
2018-01-01 01:15:00+00:00,20110.5
2018-01-01 01:30:00+00:00,19888.0
2018-01-01 01:45:00+00:00,19665.5
2018-01-01 02:00:00+00:00,19443.0
2018-01-01 02:15:00+00:00,19318.0
2018-01-01 02:30:00+00:00,19193.0
2018-01-01 02:45:00+00:00,19068.0
2018-01-01 03:00:00+00:00,18943.0
2018-01-01 03:15:00+00:00,18955.25
2018-01-01 03:30:00+00:00,18967.5
2018-01-01 03:45:00+00:00,18979.75
2018-01-01 04:00:00+00:00,18992.0
2018-01-01 04:15:00+00:00,19149.0
2018-01-01 04:30:00+00:00,19306.0
2018-01-01 04:45:00+00:00,19463.0
2018-01-01 05:00:00+00:00,19620.0
2018-01-01 05:15:00+00:00,19709.0
2018-01-01 05:30:00+00:00,19798.0
2018-01-01 05:45:00+00:00,19887.0
2018-01-01 06:00:00+00:00,19976.0
2018-01-01 06:15:00+00:00,19884.75
2018-01-01 06:30:00+00:00,19793.5
2018-01-01 06:45:00+00:00,19702.25
2018-01-01 07:00:00+00:00,19611.0
2018-01-01 07:15:00+00:00,19933.0
2018-01-01 07:30:00+00:00,20255.0
2018-01-01 07:45:00+00:00,20577.0
2018-01-01 08:00:00+00:00,20899.0
2018-01-01 08:15:00+00:00,21242.25
2018-01-01 08:30:00+00:00,21585.5
2018-01-01 08:45:00+00:00,21928.75
2018-01-01 09:00:00+00:00,22272.0
2018-01-01 09:15:00+00:00,22704.5
2018-01-01 09:30:00+00:00,23137.0
2018-01-01 09:45:00+00:00,23569.5
2018-01-01 10:00:00+00:00,24002.0
2018-01-01 10:15:00+00:00,24169.75
2018-01-01 10:30:00+00:00,24337.5
2018-01-01 10:45:00+00:00,24505.25
2018-01-01 11:00:00+00:00,24673.0
2018-01-01 11:15:00+00:00,24346.25
2018-01-01 11:30:00+00:00,24019.5
2018-01-01 11:45:00+00:00,23692.75
2018-01-01 12:00:00+00:00,23366.0
2018-01-01 12:15:00+00:00,23063.5
2018-01-01 12:30:00+00:00,22761.0
2018-01-01 12:45:00+00:00,22458.5
2018-01-01 13:00:00+00:00,22156.0
2018-01-01 13:15:00+00:00,22283.0
2018-01-01 13:30:00+00:00,22410.0
2018-01-01 13:45:00+00:00,22537.0
2018-01-01 14:00:00+00:00,22664.0
2018-01-01 14:15:00+00:00,23077.5
2018-01-01 14:30:00+00:00,23491.0
2018-01-01 14:45:00+00:00,23904.5
2018-01-01 15:00:00+00:00,24318.0
2018-01-01 15:15:00+00:00,25143.75
2018-01-01 15:30:00+00:00,25969.5
2018-01-01 15:45:00+00:00,26795.25
2018-01-01 16:00:00+00:00,27621.0
2018-01-01 16:15:00+00:00,27949.5
2018-01-01 16:30:00+00:00,28278.0
2018-01-01 16:45:00+00:00,28606.5
2018-01-01 17:00:00+00:00,28935.0
2018-01-01 17:15:00+00:00,29123.5
2018-01-01 17:30:00+00:00,29312.0
2018-01-01 17:45:00+00:00,29500.5
2018-01-01 18:00:00+00:00,29689.0
2018-01-01 18:15:00+00:00,29723.5
2018-01-01 18:30:00+00:00,29758.0
2018-01-01 18:45:00+00:00,29792.5
2018-01-01 19:00:00+00:00,29827.0
2018-01-01 19:15:00+00:00,29433.5
2018-01-01 19:30:00+00:00,29040.0
2018-01-01 19:45:00+00:00,28646.5
2018-01-01 20:00:00+00:00,28253.0
2018-01-01 20:15:00+00:00,27784.5
2018-01-01 20:30:00+00:00,27316.0
2018-01-01 20:45:00+00:00,26847.5
2018-01-01 21:00:00+00:00,26379.0
2018-01-01 21:15:00+00:00,25834.75
2018-01-01 21:30:00+00:00,25290.5
2018-01-01 21:45:00+00:00,24746.25
2018-01-01 22:00:00+00:00,24202.0
2018-01-01 22:15:00+00:00,23408.75
2018-01-01 22:30:00+00:00,22615.5
2018-01-01 22:45:00+00:00,21822.25
2018-01-01 23:00:00+00:00,21029.0
2018-01-01 23:15:00+00:00,20692.25
2018-01-01 23:30:00+00:00,20355.5
2018-01-01 23:45:00+00:00,20018.75
2018-01-02 00:00:00+00:00,19682.0
2018-01-02 00:15:00+00:00,19447.25
2018-01-02 00:30:00+00:00,19212.5
2018-01-02 00:45:00+00:00,18977.75
2018-01-02 01:00:00+00:00,18743.0
2018-01-02 01:15:00+00:00,18686.5
2018-01-02 01:30:00+00:00,18630.0
2018-01-02 01:45:00+00:00,18573.5
2018-01-02 02:00:00+00:00,18517.0
2018-01-02 02:15:00+00:00,18565.75
2018-01-02 02:30:00+00:00,18614.5
2018-01-02 02:45:00+00:00,18663.25
2018-01-02 03:00:00+00:00,18712.0
2018-01-02 03:15:00+00:00,19306.75
2018-01-02 03:30:00+00:00,19901.5
2018-01-02 03:45:00+00:00,20496.25
2018-01-02 04:00:00+00:00,21091.0
2018-01-02 04:15:00+00:00,22036.0
2018-01-02 04:30:00+00:00,22981.0
2018-01-02 04:45:00+00:00,23926.0
2018-01-02 05:00:00+00:00,24871.0
2018-01-02 05:15:00+00:00,25988.25
2018-01-02 05:30:00+00:00,27105.5
2018-01-02 05:45:00+00:00,28222.75
2018-01-02 06:00:00+00:00,29340.0
2018-01-02 06:15:00+00:00,30422.0
2018-01-02 06:30:00+00:00,31504.0
2018-01-02 06:45:00+00:00,32586.0
2018-01-02 07:00:00+00:00,33668.0
2018-01-02 07:15:00+00:00,34357.25
2018-01-02 07:30:00+00:00,35046.5
2018-01-02 07:45:00+00:00,35735.75
2018-01-02 08:00:00+00:00,36425.0
2018-01-02 08:15:00+00:00,36567.25
2018-01-02 08:30:00+00:00,36709.5
2018-01-02 08:45:00+00:00,36851.75
2018-01-02 09:00:00+00:00,36994.0
2018-01-02 09:15:00+00:00,36998.0
2018-01-02 09:30:00+00:00,37002.0
2018-01-02 09:45:00+00:00,37006.0
