,5850.0
2018-01-01 01:00:00+00:00,5650.0
2018-01-01 01:15:00+00:00,5620.0
2018-01-01 01:30:00+00:00,5590.0
2018-01-01 01:45:00+00:00,5560.0
2018-01-01 02:00:00+00:00,5530.0
2018-01-01 02:15:00+00:00,5512.5
2018-01-01 02:30:00+00:00,5495.0
2018-01-01 02:45:00+00:00,5477.5
2018-01-01 03:00:00+00:00,5460.0
2018-01-01 03:15:00+00:00,5452.5
2018-01-01 03:30:00+00:00,5445.0
2018-01-01 03:45:00+00:00,5437.5
2018-01-01 04:00:00+00:00,5430.0
2018-01-01 04:15:00+00:00,5422.5
2018-01-01 04:30:00+00:00,5415.0
2018-01-01 04:45:00+00:00,5407.5
2018-01-01 05:00:00+00:00,5400.0
2018-01-01 05:15:00+00:00,5380.0
2018-01-01 05:30:00+00:00,5360.0
2018-01-01 05:45:00+00:00,5340.0
2018-01-01 06:00:00+00:00,5320.0
2018-01-01 06:15:00+00:00,5330.0
2018-01-01 06:30:00+00:00,5340.0
2018-01-01 06:45:00+00:00,5350.0
2018-01-01 07:00:00+00:00,5360.0
2018-01-01 07:15:00+00:00,5365.0
2018-01-01 07:30:00+00:00,5370.0
2018-01-01 07:45:00+00:00,5375.0
2018-01-01 08:00:00+00:00,5380.0
2018-01-01 08:15:00+00:00,5380.0
2018-01-01 08:30:00+00:00,5380.0
2018-01-01 08:45:00+00:00,5380.0
2018-01-01 09:00:00+00:00,5380.0
2018-01-01 09:15:00+00:00,5385.0
2018-01-01 09:30:00+00:00,5390.0
2018-01-01 09:45:00+00:00,5395.0
2018-01-01 10:00:00+00:00,5400.0
2018-01-01 10:15:00+00:00,5405.0
2018-01-01 10:30:00+00:00,5410.0
2018-01-01 10:45:00+00:00,5415.0
2018-01-01 11:00:00+00:00,5420.0
2018-01-01 11:15:00+00:00,5440.0
2018-01-01 11:30:00+00:00,5460.0
2018-01-01 11:45:00+00:00,5480.0
2018-01-01 12:00:00+00:00,5500.0
2018-01-01 12:15:00+00:00,5515.0
2018-01-01 12:30:00+00:00,5530.0
2018-01-01 12:45:00+00:00,5545.0
2018-01-01 13:00:00+00:00,5560.0
2018-01-01 13:15:00+00:00,5627.5
2018-01-01 13:30:00+00:00,5695.0
2018-01-01 13:45:00+00:00,5762.5
2018-01-01 14:00:00+00:00,5830.0
2018-01-01 14:15:00+00:00,6012.5
2018-01-01 14:30:00+00:00,6195.0
2018-01-01 14:45:00+00:00,6377.5
2018-01-01 15:00:00+00:00,6560.0
2018-01-01 15:15:00+00:00,6607.5
2018-01-01 15:30:00+00:00,6655.0
2018-01-01 15:45:00+00:00,6702.5
2018-01-01 16:00:00+00:00,6750.0
2018-01-01 16:15:00+00:00,6750.0
2018-01-01 16:30:00+00:00,6750.0
2018-01-01 16:45:00+00:00,6750.0
2018-01-01 17:00:00+00:00,6750.0
2018-01-01 17:15:00+00:00,6725.0
2018-01-01 17:30:00+00:00,6700.0
2018-01-01 17:45:00+00:00,6675.0
2018-01-01 18:00:00+00:00,6650.0
2018-01-01 18:15:00+00:00,6602.5
2018-01-01 18:30:00+00:00,6555.0
2018-01-01 18:45:00+00:00,6507.5
2018-01-01 19:00:00+00:00,6460.0
2018-01-01 19:15:00+00:00,6395.0
2018-01-01 19:30:00+00:00,6330.0
2018-01-01 19:45:00+00:00,6265.0
2018-01-01 20:00:00+00:00,6200.0
2018-01-01 20:15:00+00:00,6115.0
2018-01-01 20:30:00+00:00,6030.0
2018-01-01 20:45:00+00:00,5945.0
2018-01-01 21:00:00+00:00,5860.0
2018-01-01 21:15:00+00:00,5777.5
2018-01-01 21:30:00+00:00,5695.0
2018-01-01 21:45:00+00:00,5612.5
2018-01-01 22:00:00+00:00,5530.0
2018-01-01 22:15:00+00:00,5485.0
2018-01-01 22:30:00+00:00,5440.0
2018-01-01 22:45:00+00:00,5395.0
2018-01-01 23:00:00+00:00,5350.0
2018-01-01 23:15:00+00:00,5320.0
2018-01-01 23:30:00+00:00,5290.0
2018-01-01 23:45:00+00:00,5260.0
2018-01-02 00:00:00+00:00,5230.0
2018-01-02 00:15:00+00:00,5215.0
2018-01-02 00:30:00+00:00,5200.0
2018-01-02 00:45:00+00:00,5185.0
2018-01-02 01:00:00+00:00,5170.0
2018-01-02 01:15:00+00:00,5165.0
2018-01-02 01:30:00+00:00,5160.0
2018-01-02 01:45:00+00:00,5155.0
2018-01-02 02:00:00+00:00,5150.0
2018-01-02 02:15:00+00:00,5172.5
2018-01-02 02:30:00+00:00,5195.0
2018-01-02 02:45:00+00:00,5217.5
2018-01-02 03:00:00+00:00,5240.0
2018-01-02 03:15:00+00:00,5285.0
2018-01-02 03:30:00+00:00,5330.0
2018-01-02 03:45:00+00:00,5375.0
2018-01-02 04:00:00+00:00,5420.0
2018-01-02 04:15:00+00:00,5467.5
2018-01-02 04:30:00+00:00,5515.0
2018-01-02 04:45:00+00:00,5562.5
2018-01-02 05:00:00+00:00,5610.0
2018-01-02 05:15:00+00:00,5645.0
2018-01-02 05:30:00+00:00,5680.0
2018-01-02 05:45:00+00:00,5715.0
2018-01-02 06:00:00+00:00,5750.0
2018-01-02 06:15:00+00:00,5792.5
2018-01-02 06:30:00+00:00,5835.0
2018-01-02 06:45:00+00:00,5877.5
2018-01-02 07:00:00+00:00,5920.0
2018-01-02 07:15:00+00:00,5935.0
2018-01-02 07:30:00+00:00,5950.0
2018-01-02 07:45:00+00:00,5965.0
2018-01-02 08:00:00+00:00,5980.0
2018-01-02 08:15:00+00:00,5985.0
2018-01-02 08:30:00+00:00,5990.0
2018-01-02 08:45:00+00:00,5995.0
2018-01-02 09:00:00+00:00,6000.0
2018-01-02 09:15:00+00:00,6005.0
2018-01-02 09:30:00+00:00,6010.0
2018-01-02 09:45:00+00:00,6015.0
2018-01-02 10:00:00+00:00,6020.0
2018-01-02 10:15:00+00:00,6015.0
2018-01-02 10:30:00+00:00,6010.0
2018-01-02 10:45:00+00:00,6005.0
2018-01-02 11:00:00+00:00,6000.0
2018-01-02 11:15:00+00:00,5987.5
2018-01-02 11:30:00+00:00,5975.0
2018-01-02 11:45:00+00:00,5962.5
2018-01-02 12:00:00+00:00,5950.0
2018-01-02 12:15:00+00:00,5957.5
2018-01-02 12:30:00+00:00,5965.0
2018-01-02 12:45:00+00:00,5972.5
2018-01-02 13:00:00+00:00,5980.0
2018-01-02 13:15:00+00:00,6045.0
2018-01-02 13:30:00+00:00,6110.0
2018-01-02 13:45:00+00:00,6175.0
2018-01-02 14:00:00+00:00,6240.0
2018-01-02 14:15:00+00:00,6400.0
2018-01-02 14:30:00+00:00,6560.0
2018-01-02 14:45:00+00:00,6720.0
2018-01-02 15:00:00+00:00,6880.0
2018-01-02 15:15:00+00:00,6925.0
2018-01-02 15:30:00+00:00,6970.0
2018-01-02 15:45:00+00:00,7015.0
2018-01-02 16:00:00+00:00,7060.0
2018-01-02 16:15:00+00:00,7057.5
2018-01-02 16:30:00+00:00,7055.0
2018-01-02 16:45:00+00:00,7052.5
2018-01-02 17:00:00+00:00,7050.0
2018-01-02 17:15:00+00:00,7025.0
2018-01-02 17:30:00+00:00,7000.0
2018-01-02 17:45:00+00:00,6975.0
2018-01-02 18:00:00+00:00,6950.0
2018-01-02 18:15:00+00:00,6887.5
2018-01-02 18:30:00+00:00,6825.0
2018-01-02 18:45:00+00:00,6762.5
2018-01-02 19:00:00+00:00,6700.0
2018-01-02 19:15:00+00:00,6612.5
