,14965.0
2018-01-01 01:00:00+00:00,14723.0
2018-01-01 01:30:00+00:00,14643.0
2018-01-01 02:00:00+00:00,14563.0
2018-01-01 02:30:00+00:00,14544.0
2018-01-01 03:00:00+00:00,14525.0
2018-01-01 03:30:00+00:00,14588.0
2018-01-01 04:00:00+00:00,14651.0
2018-01-01 04:30:00+00:00,14787.0
2018-01-01 05:00:00+00:00,14923.0
2018-01-01 05:30:00+00:00,15051.5
2018-01-01 06:00:00+00:00,15180.0
2018-01-01 06:30:00+00:00,15284.5
2018-01-01 07:00:00+00:00,15389.0
2018-01-01 07:30:00+00:00,15502.5
2018-01-01 08:00:00+00:00,15616.0
2018-01-01 08:30:00+00:00,15830.0
2018-01-01 09:00:00+00:00,16044.0
2018-01-01 09:30:00+00:00,16244.5
2018-01-01 10:00:00+00:00,16445.0
2018-01-01 10:30:00+00:00,16534.0
2018-01-01 11:00:00+00:00,16623.0
2018-01-01 11:30:00+00:00,16698.0
2018-01-01 12:00:00+00:00,16773.0
2018-01-01 12:30:00+00:00,16890.0
2018-01-01 13:00:00+00:00,17007.0
2018-01-01 13:30:00+00:00,17269.0
2018-01-01 14:00:00+00:00,17531.0
2018-01-01 14:30:00+00:00,17755.5
2018-01-01 15:00:00+00:00,17980.0
2018-01-01 15:30:00+00:00,18024.0
2018-01-01 16:00:00+00:00,18068.0
2018-01-01 16:30:00+00:00,17962.5
2018-01-01 17:00:00+00:00,17857.0
2018-01-01 17:30:00+00:00,17674.0
2018-01-01 18:00:00+00:00,17491.0
2018-01-01 18:30:00+00:00,17253.0
2018-01-01 19:00:00+00:00,17015.0
2018-01-01 19:30:00+00:00,16749.0
2018-01-01 20:00:00+00:00,16483.0
2018-01-01 20:30:00+00:00,16186.5
2018-01-01 21:00:00+00:00,15890.0
2018-01-01 21:30:00+00:00,15617.5
2018-01-01 22:00:00+00:00,15345.0
2018-01-01 22:30:00+00:00,15317.0
2018-01-01 23:00:00+00:00,15289.0
2018-01-01 23:30:00+00:00,15128.5
2018-01-02 00:00:00+00:00,14968.0
2018-01-02 00:30:00+00:00,14923.5
2018-01-02 01:00:00+00:00,14879.0
2018-01-02 01:30:00+00:00,14877.0
2018-01-02 02:00:00+00:00,14875.0
2018-01-02 02:30:00+00:00,14964.5
2018-01-02 03:00:00+00:00,15054.0
2018-01-02 03:30:00+00:00,15378.5
2018-01-02 04:00:00+00:00,15703.0
2018-01-02 04:30:00+00:00,16359.0
2018-01-02 05:00:00+00:00,17015.0
2018-01-02 05:30:00+00:00,17678.0
2018-01-02 06:00:00+00:00,18341.0
2018-01-02 06:30:00+00:00,18668.5
2018-01-02 07:00:00+00:00,18996.0
2018-01-02 07:30:00+00:00,19069.0
2018-01-02 08:00:00+00:00,19142.0
2018-01-02 08:30:00+00:00,19250.0
2018-01-02 09:00:00+00:00,19358.0
2018-01-02 09:30:00+00:00,19381.0
2018-01-02 10:00:00+00:00,19404.0
2018-01-02 10:30:00+00:00,19359.5
2018-01-02 11:00:00+00:00,19315.0
2018-01-02 11:30:00+00:00,19288.5
2018-01-02 12:00:00+00:00,19262.0
2018-01-02 12:30:00+00:00,19312.5
2018-01-02 13:00:00+00:00,19363.0
2018-01-02 13:30:00+00:00,19598.0
2018-01-02 14:00:00+00:00,19833.0
2018-01-02 14:30:00+00:00,19967.0
2018-01-02 15:00:00+00:00,20101.0
2018-01-02 15:30:00+00:00,20124.0
2018-01-02 16:00:00+00:00,20147.0
2018-01-02 16:30:00+00:00,19981.0
2018-01-02 17:00:00+00:00,19815.0
2018-01-02 17:30:00+00:00,19599.0
2018-01-02 18:00:00+00:00,19383.0
2018-01-02 18:30:00+00:00,19085.5
2018-01-02 19:00:00+00:00,18788.0
2018-01-02 19:30:00+00:00,18445.0
2018-01-02 20:00:00+00:00,18102.0
2018-01-02 20:30:00+00:00,17704.5
2018-01-02 21:00:00+00:00,17307.0
2018-01-02 21:30:00+00:00,16918.0
2018-01-02 22:00:00+00:00,16529.0
2018-01-02 22:30:00+00:00,16099.0
2018-01-02 23:00:00+00:00,15669.0
2018-01-02 23:30:00+00:00,15500.5
2018-01-03 00:00:00+00:00,15332.0
2018-01-03 00:30:00+00:00,15281.0
2018-01-03 01:00:00+00:00,15230.0
2018-01-03 01:30:00+00:00,15238.0
2018-01-03 02:00:00+00:00,15246.0
2018-01-03 02:30:00+00:00,15341.0
2018-01-03 03:00:00+00:00,15436.0
2018-01-03 03:30:00+00:00,15799.5
2018-01-03 04:00:00+00:00,16163.0
2018-01-03 04:30:00+00:00,16836.5
2018-01-03 05:00:00+00:00,17510.0
2018-01-03 05:30:00+00:00,18152.0
2018-01-03 06:00:00+00:00,18794.0
2018-01-03 06:30:00+00:00,19212.0
2018-01-03 07:00:00+00:00,19630.0
2018-01-03 07:30:00+00:00,19846.0
2018-01-03 08:00:00+00:00,20062.0
2018-01-03 08:30:00+00:00,20186.5
2018-01-03 09:00:00+00:00,20311.0
2018-01-03 09:30:00+00:00,20377.0
2018-01-03 10:00:00+00:00,20443.0
2018-01-03 10:30:00+00:00,20419.5
2018-01-03 11:00:00+00:00,20396.0
2018-01-03 11:30:00+00:00,20384.0
2018-01-03 12:00:00+00:00,20372.0
2018-01-03 12:30:00+00:00,20405.5
2018-01-03 13:00:00+00:00,20439.0
2018-01-03 13:30:00+00:00,20627.0
2018-01-03 14:00:00+00:00,20815.0
2018-01-03 14:30:00+00:00,20910.0
2018-01-03 15:00:00+00:00,21005.0
2018-01-03 15:30:00+00:00,20987.0
2018-01-03 16:00:00+00:00,20969.0
2018-01-03 16:30:00+00:00,20771.0
2018-01-03 17:00:00+00:00,20573.0
2018-01-03 17:30:00+00:00,20340.5
2018-01-03 18:00:00+00:00,20108.0
2018-01-03 18:30:00+00:00,19785.0
2018-01-03 19:00:00+00:00,19462.0
2018-01-03 19:30:00+00:00,19101.0
2018-01-03 20:00:00+00:00,18740.0
2018-01-03 20:30:00+00:00,18328.0
2018-01-03 21:00:00+00:00,17916.0
2018-01-03 21:30:00+00:00,17502.5
2018-01-03 22:00:00+00:00,17089.0
2018-01-03 22:30:00+00:00,16401.0
2018-01-03 23:00:00+00:00,15713.0
2018-01-03 23:30:00+00:00,15513.0
2018-01-04 00:00:00+00:00,15313.0
2018-01-04 00:30:00+00:00,15241.5
2018-01-04 01:00:00+00:00,15170.0
2018-01-04 01:30:00+00:00,15172.5
2018-01-04 02:00:00+00:00,15175.0
2018-01-04 02:30:00+00:00,15257.0
2018-01-04 03:00:00+00:00,15339.0
2018-01-04 03:30:00+00:00,15675.5
2018-01-04 04:00:00+00:00,16012.0
2018-01-04 04:30:00+00:00,16631.0
2018-01-04 05:00:00+00:00,17250.0
2018-01-04 05:30:00+00:00,17890.5
2018-01-04 06:00:00+00:00,18531.0
2018-01-04 06:30:00+00:00,18976.5
2018-01-04 07:00:00+00:00,19422.0
2018-01-04 07:30:00+00:00,19626.5
2018-01-04 08:00:00+00:00,19831.0
2018-01-04 08:30:00+00:00,19958.0
2018-01-04 09:00:00+00:00,20085.0
2018-01-04 09:30:00+00:00,20170.5
2018-01-04 10:00:00+00:00,20256.0
2018-01-04 10:30:00+00:00,20254.0
2018-01-04 11:00:00+00:00,20252.0
2018-01-04 11:30:00+00:00,20244.5
2018-01-04 12:00:00+00:00,20237.0
2018-01-04 12:30:00+00:00,20252.0
2018-01-04 13:00:00+00:00,20267.0
2018-01-04 13:30:00+00:00,20427.0
2018-01-04 14:00:00+00:00,20587.0
2018-01-04 14:30:00+00:00,20713.5
2018-01-04 15:00:00+00:00,20840.0
2018-01-04 15:30:00+00:00,20843.5
2018-01-04 16:00:00+00:00,20847.0
2018-01-04 16:30:00+00:00,20690.0
2018-01-04 17:00:00+00:00,20533.0
2018-01-04 17:30:00+00:00,20321.5
2018-01-04 18:00:00+00:00,20110.0
2018-01-04 18:30:00+00:00,19774.5
2018-01-04 19:00:00+00:00,19439.0
2018-01-04 19:30:00+00:00,19056.5
2018-01-04 20:00:00+00:00,18674.0
2018-01-04 20:30:00+00:00,18266.0
2018-01-04 21:00:00+00:00,17858.0
2018-01-04 21:30:00+00:00,17432.5
2018-01-04 22:00:00+00:00,17007.0
2018-01-04 22:30:00+00:00,16589.0
2018-01-04 23:00:00+00:00,16171.0
2018-01-04 23:30:00+00:00,16037.5
2018-01-05 00:00:00+00:00,15904.0
2018-01-05 00:30:00+00:00,15846.5
2018-01-05 01:00:00+00:00,15789.0
2018-01-05 01:30:00+00:00,15800.0
2018-01-05 02:00:00+00:00,15811.0
2018-01-05 02:30:00+00:00,15913.0
2018-01-05 03:00:00+00:00,16015.0
2018-01-05 03:30:00+00:00,16360.5
2018-01-05 04:00:00+00:00,16706.0
2018-01-05 04:30:00+00:00,17415.5
2018-01-05 05:00:00+00:00,18125.0
2018-01-05 05:30:00+00:00,18808.5
2018-01-05 06:00:00+00:00,19492.0
2018-01-05 06:30:00+00:00,19847.5
2018-01-05 07:00:00+00:00,20203.0
2018-01-05 07:30:00+00:00,20297.0
2018-01-05 08:00:00+00:00,20391.0
2018-01-05 08:30:00+00:00,20471.5
2018-01-05 09:00:00+00:00,20552.0
2018-01-05 09:30:00+00:00,20573.5
2018-01-05 10:00:00+00:00,20595.0
2018-01-05 10:30:00+00:00,20530.5
2018-01-05 11:00:00+00:00,20466.0
2018-01-05 11:30:00+00:00,20378.5
2018-01-05 12:00:00+00:00,20291.0
2018-01-05 12:30:00+00:00,20317.5
2018-01-05 13:00:00+00:00,20344.0
2018-01-05 13:30:00+00:00,20534.5
2018-01-05 14:00:00+00:00,20725.0
2018-01-05 14:30:00+00:00,20959.5
2018-01-05 15:00:00+00:00,21194.0
2018-01-05 15:30:00+00:00,21202.5
2018-01-05 16:00:00+00:00,21211.0
2018-01-05 16:30:00+00:00,21021.0
2018-01-05 17:00:00+00:00,20831.0
2018-01-05 17:30:00+00:00,20557.5
2018-01-05 18:00:00+00:00,20284.0
2018-01-05 18:30:00+00:00,19964.0
2018-01-05 19:00:00+00:00,19644.0
2018-01-05 19:30:00+00:00,19288.5
2018-01-05 20:00:00+00:00,18933.0
2018-01-05 20:30:00+00:00,18535.0
2018-01-05 21:00:00+00:00,18137.0
2018-01-05 21:30:00+00:00,17760.0
2018-01-05 22:00:00+00:00,17383.0
2018-01-05 22:30:00+00:00,17089.0
2018-01-05 23:00:00+00:00,16795.0
2018-01-05 23:30:00+00:00,16630.5
2018-01-06 00:00:00+00:00,16466.0
2018-01-06 00:30:00+00:00,16363.0
2018-01-06 01:00:00+00:00,16260.0
2018-01-06 01:30:00+00:00,16258.0
2018-01-06 02:00:00+00:00,16256.0
2018-01-06 02:30:00+00:00,16372.5
2018-01-06 03:00:00+00:00,16489.0
2018-01-06 03:30:00+00:00,16667.0
2018-01-06 04:00:00+00:00,16845.0
2018-01-06 04:30:00+00:00,17231.0
2018-01-06 05:00:00+00:00,17617.0
2018-01-06 05:30:00+00:00,18016.0
2018-01-06 06:00:00+00:00,18415.0
2018-01-06 06:30:00+00:00,18732.0
2018-01-06 07:00:00+00:00,19049.0
2018-01-06 07:30:00+00:00,19309.0
2018-01-06 08:00:00+00:00,19569.0
2018-01-06 08:30:00+00:00,19793.0
2018-01-06 09:00:00+00:00,20017.0
2018-01-06 09:30:00+00:00,20152.5
2018-01-06 10:00:00+00:00,20288.0
2018-01-06 10:30:00+00:00,20286.5
2018-01-06 11:00:00+00:00,20285.0
2018-01-06 11:30:00+00:00,20265.0
2018-01-06 12:00:00+00:00,20245.0
2018-01-06 12:30:00+00:00,20302.5
2018-01-06 13:00:00+00:00,20360.0
2018-01-06 13:30:00+00:00,20691.5
2018-01-06 14:00:00+00:00,21023.0
2018-01-06 14:30:00+00:00,21333.0
2018-01-06 15:00:00+00:00,21643.0
2018-01-06 15:30:00+00:00,21772.0
2018-01-06 16:00:00+00:00,21901.0
2018-01-06 16:30:00+00:00,21739.5
2018-01-06 17:00:00+00:00,21578.0
2018-01-06 17:30:00+00:00,21391.0
2018-01-06 18:00:00+00:00,21204.0
2018-01-06 18:30:00+00:00,20903.5
2018-01-06 19:00:00+00:00,20603.0
2018-01-06 19:30:00+00:00,20284.5
2018-01-06 20:00:00+00:00,19966.0
2018-01-06 20:30:00+00:00,19585.0
2018-01-06 21:00:00+00:00,19204.0
2018-01-06 21:30:00+00:00,18884.5
2018-01-06 22:00:00+00:00,18565.0
2018-01-06 22:30:00+00:00,18183.5
2018-01-06 23:00:00+00:00,17802.0
2018-01-06 23:30:00+00:00,17651.5
2018-01-07 00:00:00+00:00,17501.0
2018-01-07 00:30:00+00:00,17459.5
2018-01-07 01:00:00+00:00,17418.0
2018-01-07 01:30:00+00:00,17429.5
2018-01-07 02:00:00+00:00,17441.0
2018-01-07 02:30:00+00:00,17518.5
2018-01-07 03:00:00+00:00,17596.0
2018-01-07 03:30:00+00:00,17717.5
2018-01-07 04:00:00+00:00,17839.0
2018-01-07 04:30:00+00:00,18099.0
2018-01-07 05:00:00+00:00,18359.0
2018-01-07 05:30:00+00:00,18697.5
2018-01-07 06:00:00+00:00,19036.0
2018-01-07 06:30:00+00:00,19379.0
2018-01-07 07:00:00+00:00,19722.0
2018-01-07 07:30:00+00:00,20078.5
2018-01-07 08:00:00+00:00,20435.0
2018-01-07 08:30:00+00:00,20668.0
2018-01-07 09:00:00+00:00,20901.0
2018-01-07 09:30:00+00:00,21010.0
2018-01-07 10:00:00+00:00,21119.0
2018-01-07 10:30:00+00:00,21009.5
2018-01-07 11:00:00+00:00,20900.0
2018-01-07 11:30:00+00:00,20782.0
2018-01-07 12:00:00+00:00,20664.0
2018-01-07 12:30:00+00:00,20642.0
2018-01-07 13:00:00+00:00,20620.0
2018-01-07 13:30:00+00:00,20770.0
2018-01-07 14:00:00+00:00,20920.0
2018-01-07 14:30:00+00:00,21262.5
2018-01-07 15:00:00+00:00,21605.0
2018-01-07 15:30:00+00:00,21730.5
2018-01-07 16:00:00+00:00,21856.0
2018-01-07 16:30:00+00:00,21754.5
2018-01-07 17:00:00+00:00,21653.0
2018-01-07 17:30:00+00:00,21444.0
2018-01-07 18:00:00+00:00,21235.0
2018-01-07 18:30:00+00:00,20966.0
2018-01-07 19:00:00+00:00,20697.0
2018-01-07 19:30:00+00:00,20328.5
2018-01-07 20:00:00+00:00,19960.0
2018-01-07 20:30:00+00:00,19528.0
2018-01-07 21:00:00+00:00,19096.0
2018-01-07 21:30:00+00:00,18703.5
2018-01-07 22:00:00+00:00,18311.0
2018-01-07 22:30:00+00:00,17912.0
2018-01-07 23:00:00+00:00,17513.0
2018-01-07 23:30:00+00:00,17392.0
2018-01-08 00:00:00+00:00,17271.0
2018-01-08 00:30:00+00:00,17257.5
2018-01-08 01:00:00+00:00,17244.0
2018-01-08 01:30:00+00:00,17312.5
2018-01-08 02:00:00+00:00,17381.0
2018-01-08 02:30:00+00:00,17551.5
2018-01-08 03:00:00+00:00,17722.0
2018-01-08 03:30:00+00:00,18509.5
