,22009.0
2018-01-01 01:00:00+00:00,20589.0
2018-01-01 01:15:00+00:00,20328.5
2018-01-01 01:30:00+00:00,20068.0
2018-01-01 01:45:00+00:00,19807.5
2018-01-01 02:00:00+00:00,19547.0
2018-01-01 02:15:00+00:00,19378.0
2018-01-01 02:30:00+00:00,19209.0
2018-01-01 02:45:00+00:00,19040.0
2018-01-01 03:00:00+00:00,18871.0
2018-01-01 03:15:00+00:00,18825.25
2018-01-01 03:30:00+00:00,18779.5
2018-01-01 03:45:00+00:00,18733.75
2018-01-01 04:00:00+00:00,18688.0
2018-01-01 04:15:00+00:00,18733.25
2018-01-01 04:30:00+00:00,18778.5
2018-01-01 04:45:00+00:00,18823.75
2018-01-01 05:00:00+00:00,18869.0
2018-01-01 05:15:00+00:00,18967.5
2018-01-01 05:30:00+00:00,19066.0
2018-01-01 05:45:00+00:00,19164.5
2018-01-01 06:00:00+00:00,19263.0
2018-01-01 06:15:00+00:00,19208.75
2018-01-01 06:30:00+00:00,19154.5
2018-01-01 06:45:00+00:00,19100.25
2018-01-01 07:00:00+00:00,19046.0
2018-01-01 07:15:00+00:00,19175.25
2018-01-01 07:30:00+00:00,19304.5
2018-01-01 07:45:00+00:00,19433.75
2018-01-01 08:00:00+00:00,19563.0
2018-01-01 08:15:00+00:00,19938.0
2018-01-01 08:30:00+00:00,20313.0
2018-01-01 08:45:00+00:00,20688.0
2018-01-01 09:00:00+00:00,21063.0
2018-01-01 09:15:00+00:00,21409.25
2018-01-01 09:30:00+00:00,21755.5
2018-01-01 09:45:00+00:00,22101.75
2018-01-01 10:00:00+00:00,22448.0
2018-01-01 10:15:00+00:00,22594.25
2018-01-01 10:30:00+00:00,22740.5
2018-01-01 10:45:00+00:00,22886.75
2018-01-01 11:00:00+00:00,23033.0
2018-01-01 11:15:00+00:00,23194.75
2018-01-01 11:30:00+00:00,23356.5
2018-01-01 11:45:00+00:00,23518.25
2018-01-01 12:00:00+00:00,23680.0
2018-01-01 12:15:00+00:00,23739.5
2018-01-01 12:30:00+00:00,23799.0
2018-01-01 12:45:00+00:00,23858.5
2018-01-01 13:00:00+00:00,23918.0
2018-01-01 13:15:00+00:00,23595.0
2018-01-01 13:30:00+00:00,23272.0
2018-01-01 13:45:00+00:00,22949.0
2018-01-01 14:00:00+00:00,22626.0
2018-01-01 14:15:00+00:00,22502.0
2018-01-01 14:30:00+00:00,22378.0
2018-01-01 14:45:00+00:00,22254.0
2018-01-01 15:00:00+00:00,22130.0
2018-01-01 15:15:00+00:00,22249.25
2018-01-01 15:30:00+00:00,22368.5
2018-01-01 15:45:00+00:00,22487.75
2018-01-01 16:00:00+00:00,22607.0
2018-01-01 16:15:00+00:00,23254.75
2018-01-01 16:30:00+00:00,23902.5
2018-01-01 16:45:00+00:00,24550.25
2018-01-01 17:00:00+00:00,25198.0
2018-01-01 17:15:00+00:00,25517.75
2018-01-01 17:30:00+00:00,25837.5
2018-01-01 17:45:00+00:00,26157.25
2018-01-01 18:00:00+00:00,26477.0
2018-01-01 18:15:00+00:00,26689.25
2018-01-01 18:30:00+00:00,26901.5
2018-01-01 18:45:00+00:00,27113.75
2018-01-01 19:00:00+00:00,27326.0
2018-01-01 19:15:00+00:00,27378.0
2018-01-01 19:30:00+00:00,27430.0
2018-01-01 19:45:00+00:00,27482.0
2018-01-01 20:00:00+00:00,27534.0
2018-01-01 20:15:00+00:00,27387.0
2018-01-01 20:30:00+00:00,27240.0
2018-01-01 20:45:00+00:00,27093.0
2018-01-01 21:00:00+00:00,26946.0
2018-01-01 21:15:00+00:00,26429.0
2018-01-01 21:30:00+00:00,25912.0
2018-01-01 21:45:00+00:00,25395.0
2018-01-01 22:00:00+00:00,24878.0
2018-01-01 22:15:00+00:00,24322.75
2018-01-01 22:30:00+00:00,23767.5
2018-01-01 22:45:00+00:00,23212.25
2018-01-01 23:00:00+00:00,22657.0
2018-01-01 23:15:00+00:00,22197.25
2018-01-01 23:30:00+00:00,21737.5
2018-01-01 23:45:00+00:00,21277.75
2018-01-02 00:00:00+00:00,20818.0
2018-01-02 00:15:00+00:00,20548.75
2018-01-02 00:30:00+00:00,20279.5
2018-01-02 00:45:00+00:00,20010.25
2018-01-02 01:00:00+00:00,19741.0
2018-01-02 01:15:00+00:00,19624.75
2018-01-02 01:30:00+00:00,19508.5
2018-01-02 01:45:00+00:00,19392.25
2018-01-02 02:00:00+00:00,19276.0
2018-01-02 02:15:00+00:00,19255.0
2018-01-02 02:30:00+00:00,19234.0
2018-01-02 02:45:00+00:00,19213.0
2018-01-02 03:00:00+00:00,19192.0
2018-01-02 03:15:00+00:00,19394.75
2018-01-02 03:30:00+00:00,19597.5
2018-01-02 03:45:00+00:00,19800.25
2018-01-02 04:00:00+00:00,20003.0
2018-01-02 04:15:00+00:00,20715.25
2018-01-02 04:30:00+00:00,21427.5
2018-01-02 04:45:00+00:00,22139.75
2018-01-02 05:00:00+00:00,22852.0
2018-01-02 05:15:00+00:00,23758.75
2018-01-02 05:30:00+00:00,24665.5
2018-01-02 05:45:00+00:00,25572.25
2018-01-02 06:00:00+00:00,26479.0
2018-01-02 06:15:00+00:00,27218.5
2018-01-02 06:30:00+00:00,27958.0
2018-01-02 06:45:00+00:00,28697.5
2018-01-02 07:00:00+00:00,29437.0
2018-01-02 07:15:00+00:00,29987.5
2018-01-02 07:30:00+00:00,30538.0
2018-01-02 07:45:00+00:00,31088.5
2018-01-02 08:00:00+00:00,31639.0
2018-01-02 08:15:00+00:00,32013.5
2018-01-02 08:30:00+00:00,32388.0
2018-01-02 08:45:00+00:00,32762.5
2018-01-02 09:00:00+00:00,33137.0
2018-01-02 09:15:00+00:00,33203.75
2018-01-02 09:30:00+00:00,33270.5
2018-01-02 09:45:00+00:00,33337.25
2018-01-02 10:00:00+00:00,33404.0
2018-01-02 10:15:00+00:00,33345.75
2018-01-02 10:30:00+00:00,33287.5
2018-01-02 10:45:00+00:00,33229.25
2018-01-02 11:00:00+00:00,33171.0
2018-01-02 11:15:00+00:00,33170.75
2018-01-02 11:30:00+00:00,33170.5
2018-01-02 11:45:00+00:00,33170.25
2018-01-02 12:00:00+00:00,33170.0
2018-01-02 12:15:00+00:00,32934.25
2018-01-02 12:30:00+00:00,32698.5
2018-01-02 12:45:00+00:00,32462.75
2018-01-02 13:00:00+00:00,32227.0
2018-01-02 13:15:00+00:00,32012.75
2018-01-02 13:30:00+00:00,31798.5
2018-01-02 13:45:00+00:00,31584.25
2018-01-02 14:00:00+00:00,31370.0
2018-01-02 14:15:00+00:00,31314.5
2018-01-02 14:30:00+00:00,31259.0
2018-01-02 14:45:00+00:00,31203.5
2018-01-02 15:00:00+00:00,31148.0
2018-01-02 15:15:00+00:00,31236.75
2018-01-02 15:30:00+00:00,31325.5
2018-01-02 15:45:00+00:00,31414.25
2018-01-02 16:00:00+00:00,31503.0
