,73330.0
2017-01-01 01:00:00+00:00,71806.0
2017-01-01 01:30:00+00:00,70000.5
2017-01-01 02:00:00+00:00,68195.0
2017-01-01 02:30:00+00:00,66933.5
2017-01-01 03:00:00+00:00,65672.0
2017-01-01 03:30:00+00:00,65257.0
2017-01-01 04:00:00+00:00,64842.0
2017-01-01 04:30:00+00:00,64648.0
2017-01-01 05:00:00+00:00,64454.0
2017-01-01 05:30:00+00:00,64489.0
2017-01-01 06:00:00+00:00,64524.0
2017-01-01 06:30:00+00:00,64689.5
2017-01-01 07:00:00+00:00,64855.0
2017-01-01 07:30:00+00:00,65550.5
2017-01-01 08:00:00+00:00,66246.0
2017-01-01 08:30:00+00:00,67234.0
2017-01-01 09:00:00+00:00,68222.0
2017-01-01 09:30:00+00:00,68955.0
2017-01-01 10:00:00+00:00,69688.0
2017-01-01 10:30:00+00:00,70848.0
2017-01-01 11:00:00+00:00,72008.0
2017-01-01 11:30:00+00:00,71532.0
2017-01-01 12:00:00+00:00,71056.0
2017-01-01 12:30:00+00:00,69649.5
2017-01-01 13:00:00+00:00,68243.0
2017-01-01 13:30:00+00:00,67323.0
2017-01-01 14:00:00+00:00,66403.0
2017-01-01 14:30:00+00:00,66228.0
2017-01-01 15:00:00+00:00,66053.0
2017-01-01 15:30:00+00:00,67678.0
2017-01-01 16:00:00+00:00,69303.0
2017-01-01 16:30:00+00:00,71333.5
2017-01-01 17:00:00+00:00,73364.0
2017-01-01 17:30:00+00:00,74029.5
2017-01-01 18:00:00+00:00,74695.0
2017-01-01 18:30:00+00:00,73984.5
2017-01-01 19:00:00+00:00,73274.0
2017-01-01 19:30:00+00:00,72126.0
2017-01-01 20:00:00+00:00,70978.0
2017-01-01 20:30:00+00:00,71340.0
2017-01-01 21:00:00+00:00,71702.0
2017-01-01 21:30:00+00:00,72065.0
2017-01-01 22:00:00+00:00,72428.0
2017-01-01 22:30:00+00:00,70897.0
2017-01-01 23:00:00+00:00,69366.0
2017-01-01 23:30:00+00:00,68177.0
2017-01-02 00:00:00+00:00,66988.0
2017-01-02 00:30:00+00:00,66331.5
2017-01-02 01:00:00+00:00,65675.0
2017-01-02 01:30:00+00:00,64370.5
2017-01-02 02:00:00+00:00,63066.0
2017-01-02 02:30:00+00:00,62681.5
2017-01-02 03:00:00+00:00,62297.0
2017-01-02 03:30:00+00:00,63296.5
2017-01-02 04:00:00+00:00,64296.0
2017-01-02 04:30:00+00:00,66136.0
2017-01-02 05:00:00+00:00,67976.0
2017-01-02 05:30:00+00:00,69985.5
2017-01-02 06:00:00+00:00,71995.0
2017-01-02 06:30:00+00:00,73444.0
2017-01-02 07:00:00+00:00,74893.0
2017-01-02 07:30:00+00:00,75884.0
2017-01-02 08:00:00+00:00,76875.0
2017-01-02 08:30:00+00:00,77749.5
2017-01-02 09:00:00+00:00,78624.0
2017-01-02 09:30:00+00:00,79230.5
2017-01-02 10:00:00+00:00,79837.0
2017-01-02 10:30:00+00:00,80392.0
2017-01-02 11:00:00+00:00,80947.0
2017-01-02 11:30:00+00:00,80233.0
2017-01-02 12:00:00+00:00,79519.0
2017-01-02 12:30:00+00:00,78666.0
2017-01-02 13:00:00+00:00,77813.0
2017-01-02 13:30:00+00:00,76776.0
2017-01-02 14:00:00+00:00,75739.0
2017-01-02 14:30:00+00:00,75625.0
2017-01-02 15:00:00+00:00,75511.0
2017-01-02 15:30:00+00:00,77155.0
2017-01-02 16:00:00+00:00,78799.0
2017-01-02 16:30:00+00:00,80680.5
2017-01-02 17:00:00+00:00,82562.0
2017-01-02 17:30:00+00:00,82548.5
2017-01-02 18:00:00+00:00,82535.0
2017-01-02 18:30:00+00:00,80480.0
2017-01-02 19:00:00+00:00,78425.0
2017-01-02 19:30:00+00:00,76630.5
2017-01-02 20:00:00+00:00,74836.0
2017-01-02 20:30:00+00:00,74918.0
2017-01-02 21:00:00+00:00,75000.0
2017-01-02 21:30:00+00:00,75341.0
2017-01-02 22:00:00+00:00,75682.0
2017-01-02 22:30:00+00:00,74433.5
2017-01-02 23:00:00+00:00,73185.0
2017-01-02 23:30:00+00:00,72062.5
2017-01-03 00:00:00+00:00,70940.0
2017-01-03 00:30:00+00:00,70397.5
2017-01-03 01:00:00+00:00,69855.0
2017-01-03 01:30:00+00:00,68706.0
2017-01-03 02:00:00+00:00,67557.0
2017-01-03 02:30:00+00:00,67188.0
2017-01-03 03:00:00+00:00,66819.0
2017-01-03 03:30:00+00:00,68049.5
2017-01-03 04:00:00+00:00,69280.0
2017-01-03 04:30:00+00:00,72214.0
2017-01-03 05:00:00+00:00,75148.0
2017-01-03 05:30:00+00:00,78214.5
2017-01-03 06:00:00+00:00,81281.0
2017-01-03 06:30:00+00:00,82515.0
2017-01-03 07:00:00+00:00,83749.0
2017-01-03 07:30:00+00:00,84070.0
2017-01-03 08:00:00+00:00,84391.0
2017-01-03 08:30:00+00:00,84484.0
2017-01-03 09:00:00+00:00,84577.0
2017-01-03 09:30:00+00:00,84608.0
2017-01-03 10:00:00+00:00,84639.0
2017-01-03 10:30:00+00:00,84453.5
2017-01-03 11:00:00+00:00,84268.0
2017-01-03 11:30:00+00:00,83420.0
2017-01-03 12:00:00+00:00,82572.0
2017-01-03 12:30:00+00:00,81560.0
2017-01-03 13:00:00+00:00,80548.0
2017-01-03 13:30:00+00:00,79583.5
2017-01-03 14:00:00+00:00,78619.0
2017-01-03 14:30:00+00:00,78606.5
2017-01-03 15:00:00+00:00,78594.0
2017-01-03 15:30:00+00:00,80468.0
2017-01-03 16:00:00+00:00,82342.0
2017-01-03 16:30:00+00:00,84581.0
2017-01-03 17:00:00+00:00,86820.0
