,22305.0
2018-01-01 01:00:00+00:00,20971.0
2018-01-01 01:30:00+00:00,20423.0
2018-01-01 02:00:00+00:00,19875.0
2018-01-01 02:30:00+00:00,19474.5
2018-01-01 03:00:00+00:00,19074.0
2018-01-01 03:30:00+00:00,19210.0
2018-01-01 04:00:00+00:00,19346.0
2018-01-01 04:30:00+00:00,19757.0
2018-01-01 05:00:00+00:00,20168.0
2018-01-01 05:30:00+00:00,20489.0
2018-01-01 06:00:00+00:00,20810.0
2018-01-01 06:30:00+00:00,20956.0
2018-01-01 07:00:00+00:00,21102.0
2018-01-01 07:30:00+00:00,21765.5
2018-01-01 08:00:00+00:00,22429.0
2018-01-01 08:30:00+00:00,23381.5
2018-01-01 09:00:00+00:00,24334.0
2018-01-01 09:30:00+00:00,25277.5
2018-01-01 10:00:00+00:00,26221.0
2018-01-01 10:30:00+00:00,26586.0
2018-01-01 11:00:00+00:00,26951.0
2018-01-01 11:30:00+00:00,26327.5
2018-01-01 12:00:00+00:00,25704.0
2018-01-01 12:30:00+00:00,25161.5
2018-01-01 13:00:00+00:00,24619.0
2018-01-01 13:30:00+00:00,24540.5
2018-01-01 14:00:00+00:00,24462.0
2018-01-01 14:30:00+00:00,25051.5
2018-01-01 15:00:00+00:00,25641.0
2018-01-01 15:30:00+00:00,27039.0
2018-01-01 16:00:00+00:00,28437.0
2018-01-01 16:30:00+00:00,28871.5
2018-01-01 17:00:00+00:00,29306.0
2018-01-01 17:30:00+00:00,29666.0
2018-01-01 18:00:00+00:00,30026.0
2018-01-01 18:30:00+00:00,29723.5
2018-01-01 19:00:00+00:00,29421.0
2018-01-01 19:30:00+00:00,28782.0
2018-01-01 20:00:00+00:00,28143.0
2018-01-01 20:30:00+00:00,27150.5
2018-01-01 21:00:00+00:00,26158.0
2018-01-01 21:30:00+00:00,25026.0
2018-01-01 22:00:00+00:00,23894.0
2018-01-01 22:30:00+00:00,22591.0
2018-01-01 23:00:00+00:00,21288.0
2018-01-01 23:30:00+00:00,20449.0
2018-01-02 00:00:00+00:00,19610.0
2018-01-02 00:30:00+00:00,19253.5
2018-01-02 01:00:00+00:00,18897.0
2018-01-02 01:30:00+00:00,18769.5
2018-01-02 02:00:00+00:00,18642.0
2018-01-02 02:30:00+00:00,18819.0
