,14398.0
2018-01-01 01:00:00+00:00,13789.0
2018-01-01 01:30:00+00:00,13611.5
2018-01-01 02:00:00+00:00,13434.0
2018-01-01 02:30:00+00:00,13359.5
2018-01-01 03:00:00+00:00,13285.0
2018-01-01 03:30:00+00:00,13239.0
2018-01-01 04:00:00+00:00,13193.0
2018-01-01 04:30:00+00:00,13215.0
2018-01-01 05:00:00+00:00,13237.0
2018-01-01 05:30:00+00:00,13225.5
2018-01-01 06:00:00+00:00,13214.0
2018-01-01 06:30:00+00:00,13119.5
2018-01-01 07:00:00+00:00,13025.0
2018-01-01 07:30:00+00:00,13365.5
2018-01-01 08:00:00+00:00,13706.0
2018-01-01 08:30:00+00:00,14018.0
2018-01-01 09:00:00+00:00,14330.0
2018-01-01 09:30:00+00:00,14577.0
2018-01-01 10:00:00+00:00,14824.0
2018-01-01 10:30:00+00:00,15071.5
2018-01-01 11:00:00+00:00,15319.0
2018-01-01 11:30:00+00:00,15576.5
2018-01-01 12:00:00+00:00,15834.0
2018-01-01 12:30:00+00:00,15889.5
2018-01-01 13:00:00+00:00,15945.0
2018-01-01 13:30:00+00:00,16002.0
2018-01-01 14:00:00+00:00,16059.0
2018-01-01 14:30:00+00:00,16683.0
2018-01-01 15:00:00+00:00,17307.0
2018-01-01 15:30:00+00:00,17503.0
2018-01-01 16:00:00+00:00,17699.0
2018-01-01 16:30:00+00:00,17698.0
2018-01-01 17:00:00+00:00,17697.0
2018-01-01 17:30:00+00:00,17766.5
2018-01-01 18:00:00+00:00,17836.0
2018-01-01 18:30:00+00:00,17650.0
2018-01-01 19:00:00+00:00,17464.0
2018-01-01 19:30:00+00:00,17007.5
2018-01-01 20:00:00+00:00,16551.0
2018-01-01 20:30:00+00:00,16205.5
2018-01-01 21:00:00+00:00,15860.0
2018-01-01 21:30:00+00:00,15358.0
2018-01-01 22:00:00+00:00,14856.0
2018-01-01 22:30:00+00:00,14448.0
2018-01-01 23:00:00+00:00,14040.0
2018-01-01 23:30:00+00:00,13790.5
2018-01-02 00:00:00+00:00,13541.0
2018-01-02 00:30:00+00:00,13474.0
2018-01-02 01:00:00+00:00,13407.0
2018-01-02 01:30:00+00:00,13437.5
2018-01-02 02:00:00+00:00,13468.0
2018-01-02 02:30:00+00:00,13632.5
2018-01-02 03:00:00+00:00,13797.0
2018-01-02 03:30:00+00:00,14278.5
2018-01-02 04:00:00+00:00,14760.0
2018-01-02 04:30:00+00:00,16159.5
2018-01-02 05:00:00+00:00,17559.0
2018-01-02 05:30:00+00:00,18532.0
2018-01-02 06:00:00+00:00,19505.0
2018-01-02 06:30:00+00:00,19995.0
2018-01-02 07:00:00+00:00,20485.0
2018-01-02 07:30:00+00:00,20881.0
2018-01-02 08:00:00+00:00,21277.0
2018-01-02 08:30:00+00:00,21396.0
2018-01-02 09:00:00+00:00,21515.0
2018-01-02 09:30:00+00:00,21586.5
2018-01-02 10:00:00+00:00,21658.0
2018-01-02 10:30:00+00:00,21716.0
2018-01-02 11:00:00+00:00,21774.0
2018-01-02 11:30:00+00:00,22015.0
2018-01-02 12:00:00+00:00,22256.0
2018-01-02 12:30:00+00:00,22164.5
2018-01-02 13:00:00+00:00,22073.0
2018-01-02 13:30:00+00:00,22151.5
2018-01-02 14:00:00+00:00,22230.0
2018-01-02 14:30:00+00:00,22694.0
2018-01-02 15:00:00+00:00,23158.0
2018-01-02 15:30:00+00:00,23120.0
2018-01-02 16:00:00+00:00,23082.0
2018-01-02 16:30:00+00:00,22914.5
2018-01-02 17:00:00+00:00,22747.0
2018-01-02 17:30:00+00:00,22694.5
2018-01-02 18:00:00+00:00,22642.0
2018-01-02 18:30:00+00:00,22307.0
2018-01-02 19:00:00+00:00,21972.0
2018-01-02 19:30:00+00:00,21326.5
2018-01-02 20:00:00+00:00,20681.0
2018-01-02 20:30:00+00:00,19962.5
2018-01-02 21:00:00+00:00,19244.0
