index,Forecasted Load,Actual Load
2020-01-01 00:00:00+00:00,840.0,805.0
2020-01-01 01:00:00+00:00,818.0,779.0
2020-01-01 02:00:00+00:00,804.0,759.0
2020-01-01 03:00:00+00:00,808.0,743.0
2020-01-01 04:00:00+00:00,830.0,730.0
2020-01-01 05:00:00+00:00,880.0,748.0
2020-01-01 06:00:00+00:00,956.0,760.0
2020-01-01 07:00:00+00:00,1032.0,769.0
2020-01-01 08:00:00+00:00,1060.0,776.0
2020-01-01 09:00:00+00:00,1089.0,819.0
2020-01-01 10:00:00+00:00,1100.0,832.0
2020-01-01 11:00:00+00:00,1090.0,849.0
2020-01-01 12:00:00+00:00,1093.0,866.0
2020-01-01 13:00:00+00:00,1096.0,866.0
2020-01-01 14:00:00+00:00,1129.0,910.0
2020-01-01 15:00:00+00:00,1183.0,969.0
2020-01-01 16:00:00+00:00,1186.0,961.0
2020-01-01 17:00:00+00:00,1150.0,961.0
2020-01-01 18:00:00+00:00,1092.0,947.0
2020-01-01 19:00:00+00:00,1021.0,930.0
2020-01-01 20:00:00+00:00,974.0,900.0
2020-01-01 21:00:00+00:00,932.0,852.0
2020-01-01 22:00:00+00:00,881.0,811.0
2020-01-01 23:00:00+00:00,912.0,770.0
2020-01-02 00:00:00+00:00,870.0,735.0
2020-01-02 01:00:00+00:00,858.0,713.0
2020-01-02 02:00:00+00:00,845.0,705.0
2020-01-02 03:00:00+00:00,840.0,704.0
2020-01-02 04:00:00+00:00,837.0,725.0
2020-01-02 05:00:00+00:00,840.0,809.0
2020-01-02 06:00:00+00:00,867.0,916.0
2020-01-02 07:00:00+00:00,899.0,1033.0
2020-01-02 08:00:00+00:00,919.0,1071.0
2020-01-02 09:00:00+00:00,942.0,1095.0
2020-01-02 10:00:00+00:00,961.0,1102.0
2020-01-02 11:00:00+00:00,970.0,1104.0
2020-01-02 12:00:00+00:00,968.0,1108.0
2020-01-02 13:00:00+00:00,980.0,1106.0
2020-01-02 14:00:00+00:00,1018.0,1131.0
2020-01-02 15:00:00+00:00,1077.0,1165.0
2020-01-02 16:00:00+00:00,1084.0,1142.0
2020-01-02 17:00:00+00:00,1083.0,1117.0
2020-01-02 18:00:00+00:00,1075.0,1080.0
2020-01-02 19:00:00+00:00,1058.0,1046.0
2020-01-02 20:00:00+00:00,1033.0,996.0
2020-01-02 21:00:00+00:00,982.0,928.0
2020-01-02 22:00:00+00:00,920.0,867.0
2020-01-02 23:00:00+00:00,876.0,809.0
2020-01-03 00:00:00+00:00,972.0,781.0
2020-01-03 01:00:00+00:00,959.0,770.0
2020-01-03 02:00:00+00:00,950.0,757.0
2020-01-03 03:00:00+00:00,952.0,755.0
2020-01-03 04:00:00+00:00,985.0,783.0
2020-01-03 05:00:00+00:00,1083.0,858.0
2020-01-03 06:00:00+00:00,1203.0,969.0
2020-01-03 07:00:00+00:00,1315.0,1064.0
2020-01-03 08:00:00+00:00,1342.0,1109.0
2020-01-03 09:00:00+00:00,1374.0,1122.0
2020-01-03 10:00:00+00:00,1379.0,1131.0
2020-01-03 11:00:00+00:00,1373.0,1131.0
2020-01-03 12:00:00+00:00,1374.0,1144.0
2020-01-03 13:00:00+00:00,1372.0,1143.0
2020-01-03 14:00:00+00:00,1407.0,1158.0
2020-01-03 15:00:00+00:00,1422.0,1178.0
2020-01-03 16:00:00+00:00,1414.0,1165.0
2020-01-03 17:00:00+00:00,1373.0,1125.0
2020-01-03 18:00:00+00:00,1344.0,1085.0
2020-01-03 19:00:00+00:00,1296.0,1053.0
2020-01-03 20:00:00+00:00,1260.0,1000.0
2020-01-03 21:00:00+00:00,1188.0,939.0
2020-01-03 22:00:00+00:00,1121.0,889.0
2020-01-03 23:00:00+00:00,1070.0,845.0
2020-01-04 00:00:00+00:00,890.0,796.0
2020-01-04 01:00:00+00:00,860.0,780.0
2020-01-04 02:00:00+00:00,836.0,777.0
2020-01-04 03:00:00+00:00,829.0,778.0
2020-01-04 04:00:00+00:00,839.0,784.0
2020-01-04 05:00:00+00:00,873.0,805.0
2020-01-04 06:00:00+00:00,936.0,860.0
2020-01-04 07:00:00+00:00,998.0,928.0
2020-01-04 08:00:00+00:00,1046.0,968.0
2020-01-04 09:00:00+00:00,1072.0,1008.0
2020-01-04 10:00:00+00:00,1083.0,1030.0
2020-01-04 11:00:00+00:00,1081.0,1016.0
2020-01-04 12:00:00+00:00,1087.0,1015.0
2020-01-04 13:00:00+00:00,1093.0,1029.0
2020-01-04 14:00:00+00:00,1129.0,1055.0
2020-01-04 15:00:00+00:00,1179.0,1106.0
2020-01-04 16:00:00+00:00,1182.0,1116.0
2020-01-04 17:00:00+00:00,1163.0,1097.0
2020-01-04 18:00:00+00:00,1142.0,1073.0
2020-01-04 19:00:00+00:00,1108.0,1043.0
2020-01-04 20:00:00+00:00,1071.0,1011.0
2020-01-04 21:00:00+00:00,1010.0,945.0
2020-01-04 22:00:00+00:00,954.0,883.0
2020-01-04 23:00:00+00:00,900.0,836.0
2020-01-05 00:00:00+00:00,881.0,804.0
2020-01-05 01:00:00+00:00,860.0,786.0
2020-01-05 02:00:00+00:00,843.0,771.0
2020-01-05 03:00:00+00:00,844.0,768.0
