index,Forecasted Load,Actual Load
2023-01-01 00:00:00+00:00,14037.0,13272.0
2023-01-01 01:00:00+00:00,13136.0,12509.0
2023-01-01 02:00:00+00:00,12580.0,11845.0
2023-01-01 03:00:00+00:00,12110.0,11462.0
2023-01-01 04:00:00+00:00,11967.0,11454.0
2023-01-01 05:00:00+00:00,12004.0,11561.0
2023-01-01 06:00:00+00:00,12123.0,11651.0
2023-01-01 07:00:00+00:00,12033.0,11707.0
2023-01-01 08:00:00+00:00,11945.0,11897.0
2023-01-01 09:00:00+00:00,12375.0,12449.0
2023-01-01 10:00:00+00:00,12980.0,13042.0
2023-01-01 11:00:00+00:00,13533.0,13588.0
2023-01-01 12:00:00+00:00,14068.0,14027.0
2023-01-01 13:00:00+00:00,14662.0,14417.0
2023-01-01 14:00:00+00:00,14870.0,14699.0
2023-01-01 15:00:00+00:00,15100.0,15123.0
2023-01-01 16:00:00+00:00,16545.0,16191.0
2023-01-01 17:00:00+00:00,17002.0,16482.0
2023-01-01 18:00:00+00:00,17078.0,16577.0
2023-01-01 19:00:00+00:00,17097.0,16507.0
2023-01-01 20:00:00+00:00,16855.0,16161.0
2023-01-01 21:00:00+00:00,16237.0,15468.0
2023-01-01 22:00:00+00:00,15549.0,14698.0
2023-01-01 23:00:00+00:00,14589.0,13749.0
2023-01-02 00:00:00+00:00,13750.0,13061.0
2023-01-02 01:00:00+00:00,13200.0,12670.0
2023-01-02 02:00:00+00:00,12900.0,12463.0
2023-01-02 03:00:00+00:00,12950.0,12498.0
2023-01-02 04:00:00+00:00,13750.0,12941.0
2023-01-02 05:00:00+00:00,15500.0,14033.0
2023-01-02 06:00:00+00:00,19150.0,17060.0
2023-01-02 07:00:00+00:00,20350.0,19174.0
2023-01-02 08:00:00+00:00,21450.0,20275.0
2023-01-02 09:00:00+00:00,22250.0,20899.0
2023-01-02 10:00:00+00:00,22600.0,20931.0
2023-01-02 11:00:00+00:00,22750.0,20995.0
2023-01-02 12:00:00+00:00,23000.0,21084.0
2023-01-02 13:00:00+00:00,23300.0,21115.0
