,15191.0
2016-01-01 01:00:00+00:00,14780.0
2016-01-01 01:30:00+00:00,14631.0
2016-01-01 02:00:00+00:00,14482.0
2016-01-01 02:30:00+00:00,14430.5
2016-01-01 03:00:00+00:00,14379.0
2016-01-01 03:30:00+00:00,14419.5
2016-01-01 04:00:00+00:00,14460.0
2016-01-01 04:30:00+00:00,14689.5
2016-01-01 05:00:00+00:00,14919.0
2016-01-01 05:30:00+00:00,15029.0
2016-01-01 06:00:00+00:00,15139.0
2016-01-01 06:30:00+00:00,15384.0
2016-01-01 07:00:00+00:00,15629.0
2016-01-01 07:30:00+00:00,15680.0
2016-01-01 08:00:00+00:00,15731.0
2016-01-01 08:30:00+00:00,15918.0
2016-01-01 09:00:00+00:00,16105.0
2016-01-01 09:30:00+00:00,16405.5
2016-01-01 10:00:00+00:00,16706.0
2016-01-01 10:30:00+00:00,16898.5
2016-01-01 11:00:00+00:00,17091.0
2016-01-01 11:30:00+00:00,17165.0
2016-01-01 12:00:00+00:00,17239.0
2016-01-01 12:30:00+00:00,17360.0
2016-01-01 13:00:00+00:00,17481.0
2016-01-01 13:30:00+00:00,17755.5
2016-01-01 14:00:00+00:00,18030.0
2016-01-01 14:30:00+00:00,18304.5
2016-01-01 15:00:00+00:00,18579.0
2016-01-01 15:30:00+00:00,18623.0
2016-01-01 16:00:00+00:00,18667.0
2016-01-01 16:30:00+00:00,18493.0
2016-01-01 17:00:00+00:00,18319.0
2016-01-01 17:30:00+00:00,18055.0
2016-01-01 18:00:00+00:00,17791.0
2016-01-01 18:30:00+00:00,17605.5
2016-01-01 19:00:00+00:00,17420.0
2016-01-01 19:30:00+00:00,17238.0
2016-01-01 20:00:00+00:00,17056.0
2016-01-01 20:30:00+00:00,16772.0
2016-01-01 21:00:00+00:00,16488.0
2016-01-01 21:30:00+00:00,16258.0
2016-01-01 22:00:00+00:00,16028.0
2016-01-01 22:30:00+00:00,15702.0
2016-01-01 23:00:00+00:00,15376.0
2016-01-01 23:30:00+00:00,15203.0
2016-01-02 00:00:00+00:00,15030.0
2016-01-02 00:30:00+00:00,14925.0
2016-01-02 01:00:00+00:00,14820.0
2016-01-02 01:30:00+00:00,14798.0
2016-01-02 02:00:00+00:00,14776.0
2016-01-02 02:30:00+00:00,14938.5
2016-01-02 03:00:00+00:00,15101.0
2016-01-02 03:30:00+00:00,15349.5
2016-01-02 04:00:00+00:00,15598.0
2016-01-02 04:30:00+00:00,15804.0
2016-01-02 05:00:00+00:00,16010.0
2016-01-02 05:30:00+00:00,16389.0
2016-01-02 06:00:00+00:00,16768.0
2016-01-02 06:30:00+00:00,17080.0
2016-01-02 07:00:00+00:00,17392.0
2016-01-02 07:30:00+00:00,17759.5
2016-01-02 08:00:00+00:00,18127.0
2016-01-02 08:30:00+00:00,18488.5
2016-01-02 09:00:00+00:00,18850.0
2016-01-02 09:30:00+00:00,18899.5
2016-01-02 10:00:00+00:00,18949.0
2016-01-02 10:30:00+00:00,19196.5
2016-01-02 11:00:00+00:00,19444.0
2016-01-02 11:30:00+00:00,19467.5
2016-01-02 12:00:00+00:00,19491.0
2016-01-02 12:30:00+00:00,19586.5
2016-01-02 13:00:00+00:00,19682.0
2016-01-02 13:30:00+00:00,19990.5
2016-01-02 14:00:00+00:00,20299.0
2016-01-02 14:30:00+00:00,20581.0
2016-01-02 15:00:00+00:00,20863.0
2016-01-02 15:30:00+00:00,20898.5
2016-01-02 16:00:00+00:00,20934.0
2016-01-02 16:30:00+00:00,20834.0
2016-01-02 17:00:00+00:00,20734.0
2016-01-02 17:30:00+00:00,20461.5
2016-01-02 18:00:00+00:00,20189.0
2016-01-02 18:30:00+00:00,19860.5
2016-01-02 19:00:00+00:00,19532.0
2016-01-02 19:30:00+00:00,19215.0
2016-01-02 20:00:00+00:00,18898.0
2016-01-02 20:30:00+00:00,18613.0
2016-01-02 21:00:00+00:00,18328.0
2016-01-02 21:30:00+00:00,17999.0
2016-01-02 22:00:00+00:00,17670.0
2016-01-02 22:30:00+00:00,17412.5
2016-01-02 23:00:00+00:00,17155.0
2016-01-02 23:30:00+00:00,16977.0
2016-01-03 00:00:00+00:00,16799.0
2016-01-03 00:30:00+00:00,16655.5
