,34393.0
2016-01-01 00:30:00+00:00,35357.0
2016-01-01 00:45:00+00:00,35069.5
2016-01-01 01:00:00+00:00,34782.0
2016-01-01 01:15:00+00:00,34077.0
2016-01-01 01:30:00+00:00,33372.0
2016-01-01 01:45:00+00:00,32800.5
2016-01-01 02:00:00+00:00,32229.0
2016-01-01 02:15:00+00:00,31925.0
2016-01-01 02:30:00+00:00,31621.0
2016-01-01 02:45:00+00:00,30852.5
2016-01-01 03:00:00+00:00,30084.0
2016-01-01 03:15:00+00:00,29332.0
2016-01-01 03:30:00+00:00,28580.0
2016-01-01 03:45:00+00:00,28289.5
2016-01-01 04:00:00+00:00,27999.0
2016-01-01 04:15:00+00:00,27776.0
2016-01-01 04:30:00+00:00,27553.0
2016-01-01 04:45:00+00:00,27544.0
2016-01-01 05:00:00+00:00,27535.0
2016-01-01 05:15:00+00:00,27409.0
2016-01-01 05:30:00+00:00,27283.0
2016-01-01 05:45:00+00:00,27698.5
2016-01-01 06:00:00+00:00,28114.0
2016-01-01 06:15:00+00:00,28457.0
2016-01-01 06:30:00+00:00,28800.0
2016-01-01 06:45:00+00:00,28895.0
2016-01-01 07:00:00+00:00,28990.0
2016-01-01 07:15:00+00:00,29174.0
2016-01-01 07:30:00+00:00,29358.0
2016-01-01 07:45:00+00:00,30150.0
2016-01-01 08:00:00+00:00,30942.0
2016-01-01 08:15:00+00:00,31452.0
2016-01-01 08:30:00+00:00,31962.0
2016-01-01 08:45:00+00:00,33369.5
2016-01-01 09:00:00+00:00,34777.0
2016-01-01 09:15:00+00:00,35424.0
2016-01-01 09:30:00+00:00,36071.0
2016-01-01 09:45:00+00:00,36817.5
2016-01-01 10:00:00+00:00,37564.0
2016-01-01 10:15:00+00:00,38071.0
2016-01-01 10:30:00+00:00,38578.0
2016-01-01 10:45:00+00:00,39078.5
2016-01-01 11:00:00+00:00,39579.0
2016-01-01 11:15:00+00:00,39987.0
2016-01-01 11:30:00+00:00,40395.0
2016-01-01 11:45:00+00:00,40818.0
2016-01-01 12:00:00+00:00,41241.0
2016-01-01 12:15:00+00:00,41358.0
2016-01-01 12:30:00+00:00,41475.0
2016-01-01 12:45:00+00:00,41451.5
2016-01-01 13:00:00+00:00,41428.0
2016-01-01 13:15:00+00:00,41434.5
2016-01-01 13:30:00+00:00,41441.0
2016-01-01 13:45:00+00:00,41516.0
2016-01-01 14:00:00+00:00,41591.0
2016-01-01 14:15:00+00:00,41649.5
2016-01-01 14:30:00+00:00,41708.0
2016-01-01 14:45:00+00:00,41896.0
2016-01-01 15:00:00+00:00,42084.0
2016-01-01 15:15:00+00:00,42393.5
2016-01-01 15:30:00+00:00,42703.0
2016-01-01 15:45:00+00:00,43543.0
2016-01-01 16:00:00+00:00,44383.0
2016-01-01 16:15:00+00:00,45092.0
2016-01-01 16:30:00+00:00,45801.0
2016-01-01 16:45:00+00:00,46024.0
2016-01-01 17:00:00+00:00,46247.0
2016-01-01 17:15:00+00:00,46048.0
2016-01-01 17:30:00+00:00,45849.0
2016-01-01 17:45:00+00:00,45399.5
2016-01-01 18:00:00+00:00,44950.0
2016-01-01 18:15:00+00:00,44471.5
2016-01-01 18:30:00+00:00,43993.0
2016-01-01 18:45:00+00:00,43513.5
2016-01-01 19:00:00+00:00,43034.0
2016-01-01 19:15:00+00:00,42510.0
2016-01-01 19:30:00+00:00,41986.0
2016-01-01 19:45:00+00:00,41534.5
2016-01-01 20:00:00+00:00,41083.0
2016-01-01 20:15:00+00:00,40577.5
2016-01-01 20:30:00+00:00,40072.0
2016-01-01 20:45:00+00:00,39555.5
2016-01-01 21:00:00+00:00,39039.0
2016-01-01 21:15:00+00:00,38565.0
2016-01-01 21:30:00+00:00,38091.0
2016-01-01 21:45:00+00:00,37298.0
2016-01-01 22:00:00+00:00,36505.0
2016-01-01 22:15:00+00:00,35924.0
2016-01-01 22:30:00+00:00,35343.0
2016-01-01 22:45:00+00:00,34226.0
2016-01-01 23:00:00+00:00,33109.0
2016-01-01 23:15:00+00:00,32436.5
2016-01-01 23:30:00+00:00,31764.0
2016-01-01 23:45:00+00:00,31708.5
2016-01-02 00:00:00+00:00,31653.0
2016-01-02 00:15:00+00:00,31539.0
2016-01-02 00:30:00+00:00,31425.0
2016-01-02 00:45:00+00:00,30786.5
2016-01-02 01:00:00+00:00,30148.0
2016-01-02 01:15:00+00:00,29542.0
2016-01-02 01:30:00+00:00,28936.0
2016-01-02 01:45:00+00:00,28397.5
2016-01-02 02:00:00+00:00,27859.0
2016-01-02 02:15:00+00:00,27512.0
2016-01-02 02:30:00+00:00,27165.0
2016-01-02 02:45:00+00:00,26655.5
2016-01-02 03:00:00+00:00,26146.0
2016-01-02 03:15:00+00:00,25801.0
2016-01-02 03:30:00+00:00,25456.0
2016-01-02 03:45:00+00:00,25283.0
2016-01-02 04:00:00+00:00,25110.0
2016-01-02 04:15:00+00:00,25092.5
2016-01-02 04:30:00+00:00,25075.0
2016-01-02 04:45:00+00:00,25162.0
2016-01-02 05:00:00+00:00,25249.0
2016-01-02 05:15:00+00:00,25642.5
2016-01-02 05:30:00+00:00,26036.0
2016-01-02 05:45:00+00:00,27128.0
2016-01-02 06:00:00+00:00,28220.0
2016-01-02 06:15:00+00:00,28976.5
2016-01-02 06:30:00+00:00,29733.0
2016-01-02 06:45:00+00:00,30311.5
2016-01-02 07:00:00+00:00,30890.0
2016-01-02 07:15:00+00:00,31353.5
2016-01-02 07:30:00+00:00,31817.0
2016-01-02 07:45:00+00:00,32587.0
2016-01-02 08:00:00+00:00,33357.0
2016-01-02 08:15:00+00:00,34194.5
2016-01-02 08:30:00+00:00,35032.0
2016-01-02 08:45:00+00:00,36376.0
2016-01-02 09:00:00+00:00,37720.0
2016-01-02 09:15:00+00:00,38416.0
2016-01-02 09:30:00+00:00,39112.0
2016-01-02 09:45:00+00:00,39699.5
2016-01-02 10:00:00+00:00,40287.0
2016-01-02 10:15:00+00:00,40709.0
2016-01-02 10:30:00+00:00,41131.0
2016-01-02 10:45:00+00:00,41428.5
2016-01-02 11:00:00+00:00,41726.0
2016-01-02 11:15:00+00:00,41954.5
2016-01-02 11:30:00+00:00,42183.0
2016-01-02 11:45:00+00:00,42425.0
2016-01-02 12:00:00+00:00,42667.0
2016-01-02 12:15:00+00:00,42770.5
2016-01-02 12:30:00+00:00,42874.0
2016-01-02 12:45:00+00:00,42872.5
2016-01-02 13:00:00+00:00,42871.0
2016-01-02 13:15:00+00:00,42884.0
2016-01-02 13:30:00+00:00,42897.0
2016-01-02 13:45:00+00:00,42899.0
2016-01-02 14:00:00+00:00,42901.0
2016-01-02 14:15:00+00:00,42765.5
2016-01-02 14:30:00+00:00,42630.0
2016-01-02 14:45:00+00:00,42739.0
2016-01-02 15:00:00+00:00,42848.0
2016-01-02 15:15:00+00:00,43175.5
2016-01-02 15:30:00+00:00,43503.0
2016-01-02 15:45:00+00:00,43502.0
2016-01-02 16:00:00+00:00,43501.0
2016-01-02 16:15:00+00:00,45484.0
2016-01-02 16:30:00+00:00,47467.0
2016-01-02 16:45:00+00:00,48123.0
2016-01-02 17:00:00+00:00,48779.0
2016-01-02 17:15:00+00:00,48773.0
2016-01-02 17:30:00+00:00,48767.0
2016-01-02 17:45:00+00:00,48480.5
2016-01-02 18:00:00+00:00,48194.0
2016-01-02 18:15:00+00:00,47676.0
2016-01-02 18:30:00+00:00,47158.0
2016-01-02 18:45:00+00:00,46564.0
2016-01-02 19:00:00+00:00,45970.0
2016-01-02 19:15:00+00:00,45406.5
2016-01-02 19:30:00+00:00,44843.0
2016-01-02 19:45:00+00:00,44304.5
2016-01-02 20:00:00+00:00,43766.0
2016-01-02 20:15:00+00:00,42986.5
2016-01-02 20:30:00+00:00,42207.0
2016-01-02 20:45:00+00:00,41573.5
2016-01-02 21:00:00+00:00,40940.0
2016-01-02 21:15:00+00:00,40129.0
