end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity
2022-01-09 11:00:00+00:00,AET Leventina,2022-01-09 07:00:00+00:00,56.0,226.0,226
2022-01-11 10:00:00+00:00,AET Leventina,2022-01-11 06:00:00+00:00,105.0,226.0,226
2022-01-18 10:00:00+00:00,AET Leventina,2022-01-18 06:00:00+00:00,105.0,226.0,226
2022-02-15 10:00:00+00:00,AET Leventina,2022-02-15 06:00:00+00:00,105.0,226.0,226
2022-02-16 14:00:00+00:00,AET Leventina,2022-02-16 09:30:00+00:00,90.0,226.0,226
2022-02-17 10:00:00+00:00,AET Leventina,2022-02-17 06:00:00+00:00,121.0,226.0,226
2022-02-22 10:00:00+00:00,AET Leventina,2022-02-22 06:00:00+00:00,105.0,226.0,226
2022-02-24 10:00:00+00:00,AET Leventina,2022-02-24 06:00:00+00:00,124.0,226.0,226
2022-03-31 22:30:00+00:00,AET Leventina,2022-03-28 19:30:00+00:00,56.0,226.0,226
2022-05-12 14:30:00+00:00,AET Leventina,2022-05-12 12:30:00+00:00,71.0,226.0,226
2022-12-06 10:00:00+00:00,AET Leventina,2022-12-06 06:00:00+00:00,91.0,226.0,226
2022-12-14 10:00:00+00:00,AET Leventina,2022-12-14 06:00:00+00:00,117.0,226.0,226
2022-12-20 10:00:00+00:00,AET Leventina,2022-12-20 06:00:00+00:00,98.0,226.0,226
2022-01-19 05:00:00+00:00,Blenio (OFIBLE),2022-01-15 08:00:00+00:00,72.0,540.0,540
2022-01-15 08:00:00+00:00,Blenio (OFIBLE),2022-01-14 23:00:00+00:00,0.0,120.0,540
2022-01-24 05:00:00+00:00,Blenio (OFIBLE),2022-01-19 05:00:00+00:00,150.0,420.0,540
2022-02-21 23:00:00+00:00,Blenio (OFIBLE),2022-02-13 15:00:00+00:00,0.0,120.0,540
2022-02-23 16:00:00+00:00,Blenio (OFIBLE),2022-02-22 06:00:00+00:00,304.0,420.0,540
2022-04-21 16:00:00+00:00,Blenio (OFIBLE),2022-04-21 04:00:00+00:00,304.0,420.0,540
2022-04-28 15:00:00+00:00,Blenio (OFIBLE),2022-04-27 05:00:00+00:00,0.0,120.0,540
2022-05-10 22:00:00+00:00,Blenio (OFIBLE),2022-05-09 05:00:00+00:00,260.0,420.0,540
2022-05-25 15:00:00+00:00,Blenio (OFIBLE),2022-05-23 05:00:00+00:00,253.0,420.0,540
2022-06-07 18:00:00+00:00,Blenio (OFIBLE),2022-06-07 17:45:00+00:00,505.0,840.0,540
2022-06-07 17:45:00+00:00,Blenio (OFIBLE),2022-06-07 05:00:00+00:00,201.0,420.0,540
2022-06-07 18:45:00+00:00,Blenio (OFIBLE),2022-06-07 18:45:00+00:00,304.0,420.0,540
2022-06-08 18:00:00+00:00,Blenio (OFIBLE),2022-06-08 04:00:00+00:00,201.0,420.0,540
2022-06-09 18:00:00+00:00,Blenio (OFIBLE),2022-06-09 04:00:00+00:00,201.0,420.0,540
2022-06-10 15:00:00+00:00,Blenio (OFIBLE),2022-06-10 04:00:00+00:00,201.0,420.0,540
2022-06-22 13:30:00+00:00,Blenio (OFIBLE),2022-06-22 12:00:00+00:00,0.0,120.0,540
2022-07-17 15:00:00+00:00,Blenio (OFIBLE),2022-07-16 05:00:00+00:00,251.0,420.0,540
2022-08-06 18:00:00+00:00,Blenio (OFIBLE),2022-08-06 04:00:00+00:00,176.0,420.0,540
2022-08-15 15:00:00+00:00,Blenio (OFIBLE),2022-08-08 05:00:00+00:00,223.0,420.0,540
2022-08-20 22:00:00+00:00,Blenio (OFIBLE),2022-08-18 09:00:00+00:00,291.0,900.0,540
2022-08-18 09:00:00+00:00,Blenio (OFIBLE),2022-08-16 05:00:00+00:00,291.0,420.0,540
2022-08-27 22:00:00+00:00,Blenio (OFIBLE),2022-08-21 22:00:00+00:00,90.0,420.0,540
2022-08-30 16:00:00+00:00,Blenio (OFIBLE),2022-08-28 22:00:00+00:00,295.0,420.0,540
2022-09-09 16:00:00+00:00,Blenio (OFIBLE),2022-09-06 22:00:00+00:00,304.0,540.0,540
