Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,Gde-Dixence (GD),1926.0,1.0,CH,,,HDAM,WAT,0.85,0.0,0.0,0.046728972,0.046728972,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,388010.0116790944,,,,,,,,,,,
,KLL - KW Linth-Limmern AG,1524.0,1.0,CH,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,307023.49833797506,,,,,,,,,,,
,KW Oberhasli AG (KWO),1307.0,1.0,CH,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,263306.8978528434,,,,,,,,,,,
,KKL - KernKW Leibstadt AG,1233.0,1.0,CH,,,STUR,NUC,0.405,24.0,24.0,0.0027550201,0.0027550201,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,Kernkraftwerk Gösgen,1020.0,1.0,CH,,,STUR,NUC,0.405,24.0,24.0,0.0033627451,0.0033627451,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,Nant de Drance (NDD),930.0,1.0,CH,,,HPHS,WAT,0.86,0.0,0.0,0.3296703297,0.3296703297,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,187356.85922199264,,,,,,,,,,,
,KKB - KernKW Beznau,730.0,1.0,CH,,,STUR,NUC,0.405,24.0,24.0,0.0046986301,0.0046986301,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,KHR - KW Hinterrhein AG,640.0,1.0,CH,,,HPHS,WAT,0.86,0.0,0.0,0.46875,0.46875,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,128933.75258287665,,,,,,,,,,,
,Maggia (OFIMA),605.0,1.0,CH,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,121882.68798850058,,,,,,,,,,,
,Blenio (OFIBLE),540.0,1.0,CH,,,HDAM,WAT,0.85,0.0,0.0,0.1648351648,0.1648351648,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,108787.85374180217,,,,,,,,,,,
,Hongrin-Léman (FMHL),484.0,1.0,CH,,,HPHS,WAT,0.86,0.0,0.0,0.618556701,0.618556701,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,97506.15039080047,,,,,,,,,,,
,Emosson (ESA),420.0,1.0,CH,,,HDAM,WAT,0.85,0.0,0.0,0.2142857143,0.2142857143,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,107740.0,,,,,,,,,,,
,Kraftwerke Mauvoisin AG,421.0,1.0,CH,,,HDAM,WAT,0.85,0.0,0.0,0.2137767221,0.2137767221,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,84814.23412092356,,,,,,,,,,,
,EKW - Engadiner KW AG,416.0,1.0,CH,,,HPHS,WAT,0.86,0.0,0.0,0.7211538462,0.7211538462,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,83806.93917886983,,,,,,,,,,,
