Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,GRAND MAISON,1690.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.1775147929,0.1775147929,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,34800.0,0.0,1690.0,0.86,,,,,,,,
,CHOOZ 2,1500.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0022866667,0.0022866667,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CHOOZ 1,1500.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0022866667,0.0022866667,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CIVAUX 2,1495.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0022943144,0.0022943144,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CIVAUX 1,1495.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0022943144,0.0022943144,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 2,1335.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025692884,0.0025692884,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 1,1335.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025692884,0.0025692884,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,PENLY 2,1330.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025789474,0.0025789474,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 1,1330.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025789474,0.0025789474,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,PENLY 1,1330.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025789474,0.0025789474,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,PALUEL 4,1330.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025789474,0.0025789474,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,PALUEL 2,1330.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0025789474,0.0025789474,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
