Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,IM_S01ENTRUP_ETQCHIOTAS_1,1064.0,1.0,IT,,,HPHS,WAT,0.86,0.0,0.0,0.2830188679,0.2830188679,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,16860.0,,,,,,,,,,,
,IM_S03RNCVUP_RONCOVALG_1,1000.0,1.0,IT,,,HPHS,WAT,0.86,0.0,0.0,0.3042596349,0.3042596349,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,33955.47445255474,,,,,,,,,,,
,IM_S15PRSNUP_PRESENZAN_1,985.0,1.0,IT,,,HPHS,WAT,0.86,0.0,0.0,0.3042596349,0.3042596349,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,33446.142335766424,,,,,,,,,,,
,IM_S03EDLOUP_EDOLO_1,950.0,1.0,IT,,,HPHS,WAT,0.86,0.0,0.0,0.3042596349,0.3042596349,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,32257.700729927008,,,,,,,,,,,
,IM_S08PLCNUP_PIACENZA_4,806.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0140326633,0.0140326633,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S18SCMRUP_SMRICRICHI_1,885.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.012853855,0.012853855,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S06TRVCUP_TORVISCOSA_1,867.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0128983834,0.0128983834,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S03SRMDUP_SERMIDE_4,766.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S03ACMNUP_CASSANO_2,748.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S01CHVSUP_CHIVASSO_1,820.0,1.0,IT,,,COMC,GAS,0.5,5.0,1.0,0.013297619,0.013297619,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S05PMARUP_LEVANTE_5,817.0,1.0,IT,,,COMC,GAS,0.5,5.0,1.0,0.013297619,0.013297619,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S16CDMNUP_SRGNPGLCNT_1,810.0,1.0,IT,,,COMC,GAS,0.5,5.0,1.0,0.013297619,0.013297619,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S18EADSUP_ALTOMONTE_1,808.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0140326633,0.0140326633,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S03CDTLUP_CNTRLDTRNL_1,800.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0140326633,0.0140326633,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S03TRBGUP_TURBIGO_4,800.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0140326633,0.0140326633,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S12TRRVUP_TRRVLDLIGA_5,790.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0142292994,0.0142292994,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_0300653UP_CCGTPRILIA_1,787.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0142292994,0.0142292994,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S07VTDRUP_VADOTERM_5,760.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S01ECLFUP_NCTLVRNFRR_1,776.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0144315245,0.0144315245,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S14TERMUP_NRGAMOLISE_1,769.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S03TVZZUP_TAVAZZANO_5,740.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,IM_S19TCRMUP_TERMINI_I_6,756.0,1.0,IT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
