Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,Ribatejo,1176,1.0,PT,,,COMC,GAS,0.525,5.0,1.0,0.0087814465,0.0087814465,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,T.Outeiro C.C.,990,1.0,PT,,,COMC,GAS,0.525,5.0,1.0,0.0112261307,0.0112261307,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Gouvães,880,1.0,PT,,,HPHS,WAT,0.86,0.0,0.0,0.3448275862,0.3448275862,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,61600.0,0.0,880.0,0.86,,,,,,,,
,Pego C.C.,837,1.0,PT,,,COMC,GAS,0.525,5.0,1.0,0.0133293556,0.0133293556,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Lares,826,1.0,PT,,,COMC,GAS,0.525,5.0,1.0,0.0135722965,0.0135722965,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Frades II,780,1.0,PT,,,HPHS,WAT,0.86,0.0,0.0,0.3712871287,0.3712871287,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,54600.0,0.0,780.0,0.86,,,,,,,,
,Alto Lindoso,630,1.0,PT,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,224600.0,0.0,0.0,0.0,,,,,,,,
,Alqueva,508,1.0,PT,,,HPHS,WAT,0.86,0.0,0.0,0.618556701,0.618556701,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,35560.0,0.0,508.0,0.86,,,,,,,,
,Aguieira,336,1.0,PT,,,HPHS,WAT,0.86,0.0,0.0,0.9375,0.9375,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,39200.0,0.0,336.0,0.86,,,,,,,,
,Foz Tua,268,1.0,PT,,,HPHS,WAT,0.86,0.0,0.0,1.1583011583,1.1583011583,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,18760.0,0.0,268.0,0.86,,,,,,,,
