Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
,generators offwind_UK,13924,1,UK,,,WTOF,WIN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators offwind-ac_UK,0.269327923363649,1,UK,,,WTOF,WIN,1,0,0,1.2962962963,1.2962962963,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators offwind-dc_UK,0.132547547364402,1,UK,,,WTOF,WIN,1,0,0,1.2962962963,1.2962962963,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators onwind_UK,73338.7219080253,1,UK,,,WTON,WIN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators ror_UK,3636.175,1,UK,,,HROR,WAT,1,0,0,0.0709677419,0.0709677419,0,0,0,0,1,0.3,0,,,,,,,,,,,,,,,,,,,,
,generators solar_UK,14649.1095396778,1,UK,,,PHOT,SUN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators solar rooftop_UK,26693.0581218695,1,UK,,,PHOT,SUN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,links nuclear_UK,10650.0774038415,1,UK,,,STUR,NUC,0.45,8,6,0.0007565441,0.0007565441,2000,0,0,0.2,0.45,7,0,,,,,,,,,,,,,,,,,,,,
,links urban central gas CHP_UK_1,5795.36174248999,1,UK,,,COMC,GAS,0.525,5,1,0.0013141176,0.0013141176,112542.12,0,0,0.4,0.525,1,0.45,,1,0,5795.36174248999,,,,,,,,,,,,,,,,
,links urban central gas CHP_UK_2,2897.68087124499,1,UK,,,GTUR,GAS,0.4,5,1,0.085923077,0.085923077,112542.12,0,0,0.2,0.525,1,0.65,,1.5,0,1931.78724749666,,,,,,,,,,,,,,,,
,links urban central gas CHP_UK_3,1448.8404356225,1,UK,,,STUR,GAS,0.405,24,24,0.0024326241,0.0024326241,200000,0,0,0.9,0.405,72,0,,1.5,0,965.893623748331,,,,,,,,,,,,,,,,
,links urban central gas CHP_UK_4,724.420217811248,1,UK,,,ICEN,GAS,0.421,,,0.0572,0.0572,1200,85,0,0.8581,0.4063,0,0,,2,0,362.210108905624,,,,,,,,,,,,,,,,
,links urban central gas CHP CC_UK,0.20995440841221,1,UK,,,COMC,GAS,0.525,5,1,0.2482222222,0.2482222222,112542.12,0,0,0.4,0.525,1,0.45,,1,0,0.20995440841221,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_UK_1,1642.53529218864,1,UK,,,STUR,BIO,0.395,8,6,0.003125,0.003125,117242.17,0,0,0.3,0.395,7,0.95,,1.5,0,1095.02352812576,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_UK_2,821.267646094322,1,UK,,,ICEN,BIO,0.421,,,0.0572,0.0572,1200,85,0,0.8581,0.4063,0,0,,2,0,410.633823047161,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP CC_UK_1,0.0860886170073549,1,UK,,,STUR,BIO,0.38,1,1,0.33366435,0.33366435,1.108186813,42.68538462,0,0.49652433,0.39,0,0,,1.5,0,0.0573924113382366,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP CC_UK_2,0.0430443085036775,1,UK,,,ICEN,BIO,0.49,0,0,1,1,,,0,0.3,0.49,0,0.489795918367347,,2,0,0.0215221542518387,,,,,,,,,,,,,,,,
,storage_units PHS_UK,440,1,UK,,,HPHS,WAT,0.86,0,0,0.6593406593,0.6593406593,0,0,0,0,0.86,0.3,0,,,,,,,,,6999.99544191639,0,440,0.86,,,,,,,,
,storage_units hydro_UK,221.5,1,UK,,,HDAM,WAT,0.85,0,0,0.3982300885,0.3982300885,0,0,0,0,0.85,0.3,0,,,,,,,,,145210.650864101,0,0,0.85,,,,,,,,
,links CCGT_UK_1,31314.1141639713,1,UK,,,COMC,GAS,0.525,5,1,0.0012681653,0.0012681653,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,links CCGT_UK_3,2722.96644904098,1,UK,,,COMC,BIO,0.525,5,1,0.0055710723,0.0055710723,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,links OCGT_UK_1,12447.4271428113,1,UK,,,GTUR,GAS,0.4,5,1,0.085923077,0.085923077,112542.12,0,0,0.2,0.525,1,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_UK_3,1464.40319327191,1,UK,,,GTUR,OIL,0.4,5,1,0.085923077,0.085923077,112542.12,0,0,0.2,0.525,1,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_UK_5,732.201596635956,1,UK,,,GTUR,BIO,0.4,5,1,0.085923077,0.085923077,112542.12,0,0,0.2,0.525,1,0.65,,,,,,,,,,,,,,,,,,,,
