Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,generators offwind,2261.8,1,BE,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-ac,1738.1990459051528,1,BE,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-dc,4000.000445154381,1,BE,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators onwind,8549.408909783677,1,BE,,,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators ror,59.015339742579165,1,BE,,,HROR,WAT,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar,12000.027940812071,1,BE,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar rooftop,36199.86858217105,1,BE,,,PHOT,SUN,1.0,0.0,0.0,0.0230804739,0.0230804739,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_1,3463.718185968432,1,BE,,,PEME,ELE,0.7,2.25,1.0,0.6,0.6,20.0,6.0,3.5,0.2,0.55,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_2,1731.859092984216,1,BE,,,ALKE,ELE,0.7875000000000001,7.0,4.5,0.175,0.175,100.0,12.5,9.0,0.3,0.575,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_3,865.929546492108,1,BE,,,SOXE,ELE,0.9624999999999999,14.0,7.0,0.06,0.06,400.0,25.0,15.0,0.4,0.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_1,2.3543744424051747,1,BE,,,PEFC,HYD,0.7,0.5,1.05,0.6,0.6,30.0,7.5,6.0,0.2,0.44,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_2,1.1771872212025873,1,BE,,,SOFC,HYD,0.75,14.0,7.0,0.075,0.075,300.0,19.0,12.0,0.3,0.54,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_3,0.5885936106012937,1,BE,,,MCFC,HYD,0.7250000000000001,24.0,14.0,0.065,0.065,600.0,31.0,18.0,0.35,0.49,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_4,0.29429680530064684,1,BE,,,PAFC,HYD,0.675,7.0,3.5,0.25,0.25,200.0,15.5,9.0,0.25,0.39,0.5,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_5,0.14714840265032342,1,BE,,,ALFC,HYD,0.75,4.5,2.25,0.375,0.375,100.0,10.0,6.0,0.3,0.49,100.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_6,0.07357420132516171,1,BE,,,REFC,HYD,0.675,2.25,1.1,0.25,0.25,60.0,7.5,6.0,0.25,0.44,0.166666667,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_1,1909.1663063843562,1,BE,,,GTUR,HYD,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_2,954.5831531921781,1,BE,,,COMC,HYD,0.525,5.0,1.0,0.0112261307,0.0112261307,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_3,477.29157659608904,1,BE,,,ICEN,HYD,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links Haber-Bosch,0.0119942074141282,1,BE,,,HBBS,ELE,0.875,168.0,72.0,0.6,0.6,4000.0,37.5,30.0,0.6,0.6,12.0,0.0,,,,,,,,,,,,,,,,,,,,
,links V2G,13609.06118,1,BE,,,BEVS,ELE,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,,,,,,,,,95263.42826,0.0,2276.0,0.95,,,,,,,,
,links ammonia cracker,0.0350116809422304,1,BE,,,P2BS,ELE,0.5,24.0,12.0,0.03,0.03,500.0,15.0,17.5,0.35,0.35,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links battery discharger,10603.403317388658,1,BE,,,BATS,ELE,0.935,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,82601.64040930456,0.0008,5.0,0.935,,,,,,,,
,links methanolisation,941.7296252290008,1,BE,,,P2BS,ELE,0.55,48.0,39.0,0.0225,0.0225,1600.0,18.75,24.0,0.5,0.4,6.0,0.0,,,,,,,,,,,,,,,,,,,,
,links nuclear,0.0740366103455024,1,BE,,,STUR,NUC,0.38,1.0,1.0,0.33366435,0.33366435,1.108186813,42.68538462,0.0,0.49652433,0.39,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links residential rural air heat pump,0.0405712421489107,1,BE,,,ASHP,ELE,1.0,0.175,0.175,0.925,0.79,2.5,,0.0,0.325,1.0,0.125,0.0,p2h,,0.0,0.11359947801694995,2.8,,,,,,,,,,,,,,,
,links residential rural ground heat pump,148.4088734563767,1,BE,,,GSHP,ELE,1.0,0.125,0.125,0.8,0.8,0.0,,0.0,0.2,1.0,0.25,0.0,p2h,,0.0,519.4310570973184,3.5,,,,,,,,,,,,,,,
,links residential rural resistive heater,53.87425964224446,1,BE,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links residential urban decentral air heat pump,2692.3120614695854,1,BE,,,ASHP,ELE,1.0,0.375,0.375,0.6,0.6,125.0,,0.0,0.3,1.0,0.75,0.0,p2h,,0.0,7538.4737721148385,2.8,,,,,,,,,,,,,,,
,links residential urban decentral resistive heater,1637.4417279802665,1,BE,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links services rural air heat pump,0.0462542304336355,1,BE,,,ASHP,ELE,1.0,0.175,0.175,0.9,0.9,0.0,,0.0,0.2,1.0,0.166666666666667,0.0,p2h,,0.0,0.1295118452141794,2.8,,,,,,,,,,,,,,,
,links services rural ground heat pump,160.36406999287772,1,BE,,,GSHP,ELE,1.0,0.125,0.125,0.8,0.8,0.0,,0.0,0.2,1.0,0.25,0.0,p2h,,0.0,561.274244975072,3.5,,,,,,,,,,,,,,,
,links services rural resistive heater,44.62030497324716,1,BE,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links services urban decentral air heat pump,644.5449670579002,1,BE,,,ASHP,ELE,1.0,0.375,0.375,0.6,0.6,125.0,,0.0,0.3,1.0,0.75,0.0,p2h,,0.0,1804.7259077621204,2.8,,,,,,,,,,,,,,,
,links services urban decentral resistive heater,698.5763753252397,1,BE,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,p2h,,0.0,698.5763753252397,1.0,,,,,,,,,,,,,,,
,links urban central air heat pump,97.12745236850286,1,BE,,,ASHP,ELE,1.0,0.375,0.375,0.6,0.6,125.0,,0.0,0.3,1.0,0.75,0.0,p2h,,0.0,271.956866631808,2.8,,,,,,,,,,,,,,,
,links urban central gas CHP_1,1720.8176557116278,1,BE,,,COMC,GAS,0.525,5.0,1.0,0.0061678631,0.0061678631,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,back-pressure,0.65,0.0,2647.411778017889,,,,,,,,,,,,,,,,
,links urban central gas CHP_2,860.4088278558139,1,BE,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,back-pressure,0.55,0.0,1564.3796870105707,,,,,,,,,,,,,,,,
,links urban central gas CHP_3,430.20441392790696,1,BE,,,STUR,GAS,0.46,8.0,8.0,0.0177777777777778,0.0177777777777778,,,0.0,0.3,0.46,2.0,0.81,back-pressure,0.6,0.0,717.0073565465116,,,,,,,,,,,,,,,,
,links urban central gas CHP_4,215.10220696395348,1,BE,,,ICEN,GAS,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,back-pressure,0.45,0.0,478.00490436434103,,,,,,,,,,,,,,,,
,links urban central resistive heater,7197.1245150900495,1,BE,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,p2h,,0.0,7197.1245150900495,1.0,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_1,1340.0359536642804,1,BE,,,STUR,BIO,0.405,24.0,24.0,0.0025692884,0.0025692884,200000.0,0.0,0.0,0.9,0.405,72.0,0.0,back-pressure,0.6,0.0,2233.393256107134,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_2,670.0179768321402,1,BE,,,ICEN,BIO,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,back-pressure,0.45,0.0,1488.928837404756,,,,,,,,,,,,,,,,
,storage_units PHS,1308.0,1,BE,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,5709.999812752517,0.0,1308.0,0.8,,,,,,,,
,storage_units hydro,12.73566878980889,1,BE,,,HDAM,WAT,0.8,0.0,0.0,0.0666666666666667,0.0666666666666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,108416.72369857934,0.0,0.0,0.8,,,,,,,,
,links CCGT_1,2885.4909729067112,1,BE,,,COMC,GAS,0.525,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links CCGT_3,151.86794594245848,1,BE,,,COMC,BIO,0.525,5.0,1.0,0.0734868421,0.0734868421,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links OCGT_1,4767.449217803348,1,BE,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_3,264.8582898779638,1,BE,,,GTUR,OIL,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_5,264.8582898779638,1,BE,,,GTUR,BIO,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
