Fossil Peat,0,0,0,0,0,0,0,0,0,0
Nuclear,0,0,0,0,0,0,0,0,0,0
Fossil Hard coal,1756,1756,1756,1756,1756,1756,1756,0,0,0
Wind Onshore,4486,4617,5028,5073,5127,5181,5183,5328,5328,5333
Fossil Brown coal/Lignite,0,0,0,0,0,0,0,0,0,0
Geothermal,0,0,0,0,0,0,0,0,0,0
Hydro Run-of-river and poundage,2979,2987,2844,2834,2858,2858,2857,2856,2856,2856
Hydro Water Reservoir,1436,1511,1515,1515,1515,1515,1515,1515,1633,1629
Wind Offshore,0,0,0,0,0,0,25,25,25,25
Hydro Pumped Storage,1245,1623,2559,2820,2820,2820,2820,2827,3707,3707
Other renewable,0,0,0,0,0,0,0,0,0,0
Solar,221,251,261,272,324,413,569,1032,1332,1811
Fossil Oil shale,0,0,0,0,0,0,0,0,0,0
Waste,0,0,0,0,0,0,0,0,0,0
Fossil Gas,4719,4695,4657,4621,4606,4606,4585,4520,4585,4433
Fossil Coal-derived gas,0,0,0,0,0,0,0,0,0,0
Fossil Oil,0,0,0,0,0,0,0,0,0,0
Marine,0,0,0,0,0,0,0,0,0,0
Other,167,79,60,40,36,8,28,28,28,28
Biomass,582,582,598,594,605,679,684,681,647,681
Total Grand capacity,17591,18101,19278,19525,19647,19836,20022,18812,20141,20503
