Hydro Water Reservoir,3800,4006,3800,3803,3373,3390,3388,3357,3356,3359,3352
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Gas,4861,4879,5020,5142,3033,2666,2184,2218,1988,2238,2179
Fossil Oil shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,1298,1298,1300,1300,1300,1300,1300,1300,1300,1300,1300
Fossil Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Coal-derived gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,1101,1152,1210,1211,1150,1163,1145,1160,1185,1293,1588
Hydro Pumped Storage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Hard coal,1348,1348,1232,1227,1032,1032,986,176,176,176,135
Fossil Oil,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind Onshore,2896,2938,2985,2987,2968,2972,2957,2957,2957,2958,3027
Wind Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Brown coal/Lignite,4524,4546,4622,4578,3096,3071,2483,2497,2497,1733,2027
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,92,95,115,116,115,117,117,116,118,118,119
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro Run-of-river and poundage,2670,2697,2681,2687,2770,2750,2746,2780,2780,2780,2780
Total Grand capacity,22590,22959,22965,23051,18837,18461,17306,16561,16357,15955,16644
