Week,2023,Dispa-SET_Date
1,0.7231867080932922,2023-01-01 00:00:00+00:00
2,0.7163641272267193,2023-01-08 00:00:00+00:00
3,0.7028287857087293,2023-01-15 00:00:00+00:00
4,0.6859324880227328,2023-01-22 00:00:00+00:00
5,0.658649028319888,2023-01-29 00:00:00+00:00
6,0.6405195411345344,2023-02-05 00:00:00+00:00
7,0.6108383400674479,2023-02-12 00:00:00+00:00
8,0.5705160177359647,2023-02-19 00:00:00+00:00
9,0.5418758207917123,2023-02-26 00:00:00+00:00
10,0.4929966733626492,2023-03-05 00:00:00+00:00
11,0.4664613638755553,2023-03-12 00:00:00+00:00
12,0.4522419339339889,2023-03-19 00:00:00+00:00
13,0.4196482092441166,2023-03-26 00:00:00+00:00
14,0.3853133765597902,2023-04-02 00:00:00+00:00
15,0.3834921913251182,2023-04-09 00:00:00+00:00
16,0.3868188286758885,2023-04-16 00:00:00+00:00
17,0.4391024027747908,2023-04-23 00:00:00+00:00
18,0.5106777280027821,2023-04-30 00:00:00+00:00
19,0.6581205185344492,2023-05-07 00:00:00+00:00
20,0.834235536906456,2023-05-14 00:00:00+00:00
21,0.8848146097492896,2023-05-21 00:00:00+00:00
22,0.9040468749285024,2023-05-28 00:00:00+00:00
23,0.9111920526770966,2023-06-04 00:00:00+00:00
24,0.9012967937073016,2023-06-11 00:00:00+00:00
25,0.8940875541665332,2023-06-18 00:00:00+00:00
26,0.8782070934707307,2023-06-25 00:00:00+00:00
27,0.883489903403969,2023-07-02 00:00:00+00:00
28,0.8736838733589886,2023-07-09 00:00:00+00:00
29,0.8711076741451182,2023-07-16 00:00:00+00:00
30,0.894082978324235,2023-07-23 00:00:00+00:00
31,0.9210690082776988,2023-07-30 00:00:00+00:00
32,0.9347301854588884,2023-08-06 00:00:00+00:00
33,0.9252902227977616,2023-08-13 00:00:00+00:00
34,0.9041589830648076,2023-08-20 00:00:00+00:00
35,0.902241705141874,2023-08-27 00:00:00+00:00
36,0.903362786504926,2023-09-03 00:00:00+00:00
37,0.8984140130594539,2023-09-10 00:00:00+00:00
38,0.9339317009778576,2023-09-17 00:00:00+00:00
39,0.9508440141118976,2023-09-24 00:00:00+00:00
40,0.9682070477123076,2023-10-01 00:00:00+00:00
41,0.9899445865497692,2023-10-08 00:00:00+00:00
42,1.0,2023-10-15 00:00:00+00:00
43,0.9823349608079108,2023-10-22 00:00:00+00:00
44,0.9734807059609496,2023-10-29 00:00:00+00:00
45,0.9671111334818956,2023-11-05 00:00:00+00:00
46,0.9491326490923816,2023-11-12 00:00:00+00:00
47,0.9284178110085614,2023-11-19 00:00:00+00:00
48,0.9103272184827422,2023-11-26 00:00:00+00:00
49,0.8778364502445788,2023-12-03 00:00:00+00:00
50,0.8556481909407474,2023-12-10 00:00:00+00:00
51,0.8422478367705536,2023-12-17 00:00:00+00:00
52,0.8204485240620667,2023-12-24 00:00:00+00:00
53,0.7803092354225104,2023-12-31 00:00:00+00:00
54,0.7498020948206041,2024-01-07 00:00:00+00:00
