Week,2023,Dispa-SET_Date
1,0.7771445166442806,2023-01-01 00:00:00+00:00
2,0.7854938831814716,2023-01-08 00:00:00+00:00
3,0.8263694776200675,2023-01-15 00:00:00+00:00
4,0.8319599230406215,2023-01-22 00:00:00+00:00
5,0.82411877881439,2023-01-29 00:00:00+00:00
6,0.8125022688496025,2023-02-05 00:00:00+00:00
7,0.8119577449450031,2023-02-12 00:00:00+00:00
8,0.8356263839982575,2023-02-19 00:00:00+00:00
9,0.8422332740407303,2023-02-26 00:00:00+00:00
10,0.839873670454133,2023-03-05 00:00:00+00:00
11,0.84266889316441,2023-03-12 00:00:00+00:00
12,0.8532689585072785,2023-03-19 00:00:00+00:00
13,0.8598032453624714,2023-03-26 00:00:00+00:00
14,0.8628888808218681,2023-04-02 00:00:00+00:00
15,0.863869023850147,2023-04-09 00:00:00+00:00
16,0.8857225832214034,2023-04-16 00:00:00+00:00
17,0.913856318292373,2023-04-23 00:00:00+00:00
18,0.9435873234835008,2023-04-30 00:00:00+00:00
19,0.9585072784695248,2023-05-07 00:00:00+00:00
20,0.9921588557737684,2023-05-14 00:00:00+00:00
21,1.0,2023-05-21 00:00:00+00:00
22,0.9978582059752424,2023-05-28 00:00:00+00:00
23,0.9841362035793372,2023-06-04 00:00:00+00:00
24,0.9927396812720078,2023-06-11 00:00:00+00:00
25,0.9874396486005736,2023-06-18 00:00:00+00:00
26,0.9792717900315824,2023-06-25 00:00:00+00:00
27,0.982393727084619,2023-07-02 00:00:00+00:00
28,0.9762587577594656,2023-07-09 00:00:00+00:00
29,0.9673648673176752,2023-07-16 00:00:00+00:00
30,0.955639452571968,2023-07-23 00:00:00+00:00
31,0.9575634370348858,2023-07-30 00:00:00+00:00
32,0.9572367226921262,2023-08-06 00:00:00+00:00
33,0.9466729589428976,2023-08-13 00:00:00+00:00
34,0.9300468290557956,2023-08-20 00:00:00+00:00
35,0.923222129451483,2023-08-27 00:00:00+00:00
36,0.9202453987730062,2023-09-03 00:00:00+00:00
37,0.9163611282535304,2023-09-10 00:00:00+00:00
38,0.9108432860202564,2023-09-17 00:00:00+00:00
39,0.909318619087378,2023-09-24 00:00:00+00:00
40,0.8905869967691582,2023-10-01 00:00:00+00:00
41,0.8693142628961411,2023-10-08 00:00:00+00:00
42,0.8421606708534505,2023-10-15 00:00:00+00:00
43,0.8220858895705522,2023-10-22 00:00:00+00:00
44,0.8151522851853197,2023-10-29 00:00:00+00:00
45,0.8133735070969615,2023-11-05 00:00:00+00:00
46,0.8176570951464769,2023-11-12 00:00:00+00:00
47,0.8065851090862889,2023-11-19 00:00:00+00:00
48,0.820307111482194,2023-11-26 00:00:00+00:00
49,0.8105419827930446,2023-12-03 00:00:00+00:00
50,0.8094529349838457,2023-12-10 00:00:00+00:00
51,0.7956583294006607,2023-12-17 00:00:00+00:00
52,0.7954405198388209,2023-12-24 00:00:00+00:00
53,0.7891966457327476,2023-12-31 00:00:00+00:00
54,0.7751842305877228,2024-01-07 00:00:00+00:00
