Dispa_SET_Time_Step,Biomass_Actual_Aggregated,Biomass_Actual_Consumption,Fossil_Brown_coal-Lignite_Actual_Aggregated,Fossil_Brown_coal-Lignite_Actual_Consumption,Fossil_Coal-derived_gas_Actual_Aggregated,Fossil_Coal-derived_gas_Actual_Consumption,Fossil_Gas_Actual_Aggregated,Fossil_Gas_Actual_Consumption,Fossil_Hard_coal_Actual_Aggregated,Fossil_Hard_coal_Actual_Consumption,Fossil_Oil_Actual_Aggregated,Fossil_Oil_Actual_Consumption,Fossil_Oil_shale_Actual_Aggregated,Fossil_Oil_shale_Actual_Consumption,Fossil_Peat_Actual_Aggregated,Fossil_Peat_Actual_Consumption,Geothermal_Actual_Aggregated,Geothermal_Actual_Consumption,Hydro_Pumped_Storage_Actual_Aggregated,Hydro_Pumped_Storage_Actual_Consumption,Hydro_Run-of-river_and_poundage_Actual_Aggregated,Hydro_Run-of-river_and_poundage_Actual_Consumption,Hydro_Water_Reservoir_Actual_Aggregated,Hydro_Water_Reservoir_Actual_Consumption,Marine_Actual_Aggregated,Marine_Actual_Consumption,Nuclear_Actual_Aggregated,Nuclear_Actual_Consumption,Other_Actual_Aggregated,Other_Actual_Consumption,Other_renewable_Actual_Aggregated,Other_renewable_Actual_Consumption,Solar_Actual_Aggregated,Solar_Actual_Consumption,Waste_Actual_Aggregated,Waste_Actual_Consumption,Wind_Offshore_Actual_Aggregated,Wind_Offshore_Actual_Consumption,Wind_Onshore_Actual_Aggregated,Wind_Onshore_Actual_Consumption
2023-01-01 00:00:00+00:00,110,,313,,n/e,n/e,385,,34,,,0.0,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1954,,29,,11,,0,,16,,n/e,n/e,64,
2023-01-01 00:30:00+00:00,111,,287,,n/e,n/e,374,,34,,0.0,,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1917,,27,,11,,0,,15,,n/e,n/e,53,
2023-01-01 01:00:00+00:00,109,,299,,n/e,n/e,328,,34,,0.0,,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1816,,26,,11,,0,,17,,n/e,n/e,46,
2023-01-01 01:30:00+00:00,109,,286,,n/e,n/e,316,,35,,0.0,,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1706,,26,,11,,0,,15,,n/e,n/e,38,
2023-01-01 02:00:00+00:00,109,,227,,n/e,n/e,249,,35,,0.0,,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1656,,28,,11,,0,,14,,n/e,n/e,57,
2023-01-01 02:30:00+00:00,109,,200,,n/e,n/e,177,,36,,0.0,,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1656,,27,,9,,0,,15,,n/e,n/e,61,
2023-01-01 03:00:00+00:00,109,,200,,n/e,n/e,168,,35,,,0.0,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1655,,27,,10,,0,,13,,n/e,n/e,85,
2023-01-01 03:30:00+00:00,109,,200,,n/e,n/e,222,,34,,,0.0,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1655,,26,,9,,0,,13,,n/e,n/e,85,
2023-01-01 04:00:00+00:00,109,,200,,n/e,n/e,162,,36,,,0.0,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1656,,26,,9,,0,,13,,n/e,n/e,103,
2023-01-01 04:30:00+00:00,109,,200,,n/e,n/e,205,,35,,0.0,,n/e,n/e,n/e,n/e,0,,n/e,n/e,9,,,0.0,n/e,n/e,1657,,28,,9,,0,,13,,n/e,n/e,64,
