index,Forecasted Load,Actual Load
2017-01-01 00:00:00+00:00,12178,11521
2017-01-01 00:15:00+00:00,12001,11417
2017-01-01 00:30:00+00:00,11770,11332
2017-01-01 00:45:00+00:00,11511,11245
2017-01-01 01:00:00+00:00,10774,10903
2017-01-01 01:15:00+00:00,10610,10849
2017-01-01 01:30:00+00:00,10389,10757
2017-01-01 01:45:00+00:00,10198,10667
2017-01-01 02:00:00+00:00,10088,10503
2017-01-01 02:15:00+00:00,9962,10365
2017-01-01 02:30:00+00:00,9824,10262
2017-01-01 02:45:00+00:00,9701,10148
2017-01-01 03:00:00+00:00,9610,10096
2017-01-01 03:15:00+00:00,9540,9972
2017-01-01 03:30:00+00:00,9498,9863
2017-01-01 03:45:00+00:00,9471,9790
2017-01-01 04:00:00+00:00,9414,9743
2017-01-01 04:15:00+00:00,9425,9684
2017-01-01 04:30:00+00:00,9488,9646
2017-01-01 04:45:00+00:00,9582,9644
2017-01-01 05:00:00+00:00,9707,9639
2017-01-01 05:15:00+00:00,9790,9629
2017-01-01 05:30:00+00:00,9818,9657
2017-01-01 05:45:00+00:00,9817,9681
2017-01-01 06:00:00+00:00,9878,9735
2017-01-01 06:15:00+00:00,9941,9789
2017-01-01 06:30:00+00:00,10040,9773
2017-01-01 06:45:00+00:00,10133,9837
2017-01-01 07:00:00+00:00,10257,9988
2017-01-01 07:15:00+00:00,10451,10052
2017-01-01 07:30:00+00:00,10608,10169
2017-01-01 07:45:00+00:00,10844,10259
2017-01-01 08:00:00+00:00,11130,10371
2017-01-01 08:15:00+00:00,11476,10461
2017-01-01 08:30:00+00:00,11716,10517
2017-01-01 08:45:00+00:00,11829,10508
2017-01-01 09:00:00+00:00,11953,10628
2017-01-01 09:15:00+00:00,12150,10761
2017-01-01 09:30:00+00:00,12345,10932
2017-01-01 09:45:00+00:00,12592,11089
2017-01-01 10:00:00+00:00,12710,11314
2017-01-01 10:15:00+00:00,12882,11479
2017-01-01 10:30:00+00:00,13018,11630
2017-01-01 10:45:00+00:00,13122,11796
2017-01-01 11:00:00+00:00,13151,11958
2017-01-01 11:15:00+00:00,13213,12087
2017-01-01 11:30:00+00:00,13276,12199
2017-01-01 11:45:00+00:00,13321,12299
2017-01-01 12:00:00+00:00,13407,12436
2017-01-01 12:15:00+00:00,13506,12508
2017-01-01 12:30:00+00:00,13565,12570
2017-01-01 12:45:00+00:00,13570,12584
2017-01-01 13:00:00+00:00,13614,12608
2017-01-01 13:15:00+00:00,13623,12648
2017-01-01 13:30:00+00:00,13636,12697
2017-01-01 13:45:00+00:00,13618,12657
2017-01-01 14:00:00+00:00,13618,12676
2017-01-01 14:15:00+00:00,13651,12703
2017-01-01 14:30:00+00:00,13610,12681
2017-01-01 14:45:00+00:00,13605,12717
