index,Forecasted Load,Actual Load
2017-12-31 23:00:00+0000,638.0,663.0
2018-01-01 00:00:00+0000,602.0,640.0
2018-01-01 01:00:00+0000,582.0,615.0
2018-01-01 02:00:00+0000,565.0,595.0
2018-01-01 03:00:00+0000,568.0,599.0
2018-01-01 04:00:00+0000,573.0,613.0
2018-01-01 05:00:00+0000,605.0,628.0
2018-01-01 06:00:00+0000,628.0,640.0
2018-01-01 07:00:00+0000,656.0,640.0
2018-01-01 08:00:00+0000,683.0,684.0
2018-01-01 09:00:00+0000,712.0,720.0
2018-01-01 10:00:00+0000,735.0,738.0
2018-01-01 11:00:00+0000,740.0,747.0
2018-01-01 12:00:00+0000,737.0,759.0
2018-01-01 13:00:00+0000,761.0,766.0
2018-01-01 14:00:00+0000,827.0,817.0
2018-01-01 15:00:00+0000,849.0,840.0
2018-01-01 16:00:00+0000,835.0,843.0
2018-01-01 17:00:00+0000,830.0,833.0
2018-01-01 18:00:00+0000,794.0,817.0
2018-01-01 19:00:00+0000,763.0,795.0
2018-01-01 20:00:00+0000,709.0,735.0
2018-01-01 21:00:00+0000,638.0,669.0
2018-01-01 22:00:00+0000,602.0,614.0
2018-01-01 23:00:00+0000,577.0,575.0
2018-01-02 00:00:00+0000,571.0,555.0
2018-01-02 01:00:00+0000,565.0,550.0
2018-01-02 02:00:00+0000,575.0,557.0
2018-01-02 03:00:00+0000,623.0,600.0
2018-01-02 04:00:00+0000,735.0,700.0
2018-01-02 05:00:00+0000,868.0,827.0
2018-01-02 06:00:00+0000,969.0,917.0
2018-01-02 07:00:00+0000,998.0,961.0
2018-01-02 08:00:00+0000,1009.0,992.0
2018-01-02 09:00:00+0000,1010.0,997.0
2018-01-02 10:00:00+0000,1008.0,973.0
2018-01-02 11:00:00+0000,1015.0,992.0
2018-01-02 12:00:00+0000,1028.0,993.0
2018-01-02 13:00:00+0000,1041.0,1001.0
2018-01-02 14:00:00+0000,1078.0,1055.0
2018-01-02 15:00:00+0000,1071.0,1055.0
2018-01-02 16:00:00+0000,1043.0,1042.0
2018-01-02 17:00:00+0000,1017.0,1005.0
2018-01-02 18:00:00+0000,974.0,969.0
2018-01-02 19:00:00+0000,910.0,915.0
2018-01-02 20:00:00+0000,816.0,828.0
2018-01-02 21:00:00+0000,733.0,751.0
2018-01-02 22:00:00+0000,692.0,681.0
2018-01-02 23:00:00+0000,607.0,644.0
2018-01-03 00:00:00+0000,595.0,621.0
2018-01-03 01:00:00+0000,594.0,613.0
2018-01-03 02:00:00+0000,585.0,619.0
2018-01-03 03:00:00+0000,628.0,661.0
2018-01-03 04:00:00+0000,757.0,764.0
2018-01-03 05:00:00+0000,897.0,904.0
2018-01-03 06:00:00+0000,996.0,1022.0
2018-01-03 07:00:00+0000,1033.0,1063.0
2018-01-03 08:00:00+0000,1042.0,1081.0
2018-01-03 09:00:00+0000,1032.0,1090.0
2018-01-03 10:00:00+0000,1004.0,1069.0
2018-01-03 11:00:00+0000,1023.0,1087.0
2018-01-03 12:00:00+0000,1022.0,1083.0
2018-01-03 13:00:00+0000,1027.0,1083.0
2018-01-03 14:00:00+0000,1066.0,1120.0
2018-01-03 15:00:00+0000,1073.0,1099.0
2018-01-03 16:00:00+0000,1055.0,1076.0
2018-01-03 17:00:00+0000,1013.0,1034.0
2018-01-03 18:00:00+0000,964.0,993.0
2018-01-03 19:00:00+0000,906.0,938.0
2018-01-03 20:00:00+0000,837.0,853.0
2018-01-03 21:00:00+0000,741.0,766.0
2018-01-03 22:00:00+0000,671.0,695.0
2018-01-03 23:00:00+0000,649.0,648.0
2018-01-04 00:00:00+0000,633.0,637.0
2018-01-04 01:00:00+0000,628.0,628.0
2018-01-04 02:00:00+0000,639.0,637.0
2018-01-04 03:00:00+0000,675.0,678.0
2018-01-04 04:00:00+0000,791.0,780.0
2018-01-04 05:00:00+0000,937.0,920.0
2018-01-04 06:00:00+0000,1089.0,1047.0
2018-01-04 07:00:00+0000,1097.0,1098.0
2018-01-04 08:00:00+0000,1102.0,1107.0
2018-01-04 09:00:00+0000,1110.0,1099.0
2018-01-04 10:00:00+0000,1064.0,1071.0
2018-01-04 11:00:00+0000,1080.0,1089.0
2018-01-04 12:00:00+0000,1069.0,1095.0
2018-01-04 13:00:00+0000,1078.0,1099.0
2018-01-04 14:00:00+0000,1140.0,1141.0
2018-01-04 15:00:00+0000,1140.0,1113.0
2018-01-04 16:00:00+0000,1111.0,1092.0
2018-01-04 17:00:00+0000,1050.0,1048.0
2018-01-04 18:00:00+0000,1034.0,1011.0
2018-01-04 19:00:00+0000,987.0,957.0
2018-01-04 20:00:00+0000,867.0,864.0
2018-01-04 21:00:00+0000,771.0,785.0
2018-01-04 22:00:00+0000,649.0,708.0
2018-01-04 23:00:00+0000,660.0,659.0
2018-01-05 00:00:00+0000,636.0,640.0
2018-01-05 01:00:00+0000,633.0,632.0
2018-01-05 02:00:00+0000,647.0,646.0
2018-01-05 03:00:00+0000,692.0,681.0
2018-01-05 04:00:00+0000,805.0,788.0
2018-01-05 05:00:00+0000,948.0,920.0
2018-01-05 06:00:00+0000,1080.0,1036.0
2018-01-05 07:00:00+0000,1136.0,1078.0
2018-01-05 08:00:00+0000,1127.0,1091.0
2018-01-05 09:00:00+0000,1159.0,1091.0
2018-01-05 10:00:00+0000,1093.0,1063.0
2018-01-05 11:00:00+0000,1106.0,1091.0
2018-01-05 12:00:00+0000,1061.0,1088.0
2018-01-05 13:00:00+0000,1087.0,1102.0
2018-01-05 14:00:00+0000,1111.0,1135.0
2018-01-05 15:00:00+0000,1132.0,1131.0
2018-01-05 16:00:00+0000,1073.0,1116.0
2018-01-05 17:00:00+0000,1043.0,1042.0
2018-01-05 18:00:00+0000,1011.0,998.0
2018-01-05 19:00:00+0000,959.0,935.0
2018-01-05 20:00:00+0000,851.0,851.0
2018-01-05 21:00:00+0000,801.0,777.0
2018-01-05 22:00:00+0000,700.0,704.0
2018-01-05 23:00:00+0000,650.0,654.0
2018-01-06 00:00:00+0000,629.0,627.0
2018-01-06 01:00:00+0000,621.0,613.0
2018-01-06 02:00:00+0000,625.0,613.0
2018-01-06 03:00:00+0000,649.0,638.0
2018-01-06 04:00:00+0000,705.0,678.0
2018-01-06 05:00:00+0000,786.0,745.0
2018-01-06 06:00:00+0000,855.0,806.0
2018-01-06 07:00:00+0000,904.0,844.0
2018-01-06 08:00:00+0000,939.0,893.0
2018-01-06 09:00:00+0000,937.0,918.0
2018-01-06 10:00:00+0000,927.0,924.0
2018-01-06 11:00:00+0000,928.0,923.0
2018-01-06 12:00:00+0000,926.0,919.0
2018-01-06 13:00:00+0000,930.0,920.0
2018-01-06 14:00:00+0000,988.0,966.0
2018-01-06 15:00:00+0000,999.0,1007.0
2018-01-06 16:00:00+0000,980.0,990.0
2018-01-06 17:00:00+0000,946.0,954.0
2018-01-06 18:00:00+0000,922.0,942.0
2018-01-06 19:00:00+0000,878.0,901.0
2018-01-06 20:00:00+0000,812.0,820.0
2018-01-06 21:00:00+0000,753.0,748.0
2018-01-06 22:00:00+0000,688.0,685.0
2018-01-06 23:00:00+0000,640.0,642.0
2018-01-07 00:00:00+0000,616.0,622.0
2018-01-07 01:00:00+0000,607.0,608.0
2018-01-07 02:00:00+0000,611.0,612.0
2018-01-07 03:00:00+0000,629.0,637.0
2018-01-07 04:00:00+0000,671.0,674.0
2018-01-07 05:00:00+0000,729.0,720.0
2018-01-07 06:00:00+0000,776.0,761.0
2018-01-07 07:00:00+0000,841.0,805.0
2018-01-07 08:00:00+0000,876.0,858.0
2018-01-07 09:00:00+0000,895.0,879.0
2018-01-07 10:00:00+0000,894.0,875.0
2018-01-07 11:00:00+0000,890.0,870.0
2018-01-07 12:00:00+0000,870.0,868.0
2018-01-07 13:00:00+0000,903.0,870.0
2018-01-07 14:00:00+0000,968.0,934.0
2018-01-07 15:00:00+0000,990.0,985.0
2018-01-07 16:00:00+0000,978.0,976.0
2018-01-07 17:00:00+0000,960.0,963.0
2018-01-07 18:00:00+0000,943.0,939.0
2018-01-07 19:00:00+0000,903.0,892.0
2018-01-07 20:00:00+0000,825.0,814.0
2018-01-07 21:00:00+0000,731.0,727.0
2018-01-07 22:00:00+0000,687.0,660.0
2018-01-07 23:00:00+0000,654.0,623.0
2018-01-08 00:00:00+0000,622.0,606.0
2018-01-08 01:00:00+0000,618.0,603.0
2018-01-08 02:00:00+0000,628.0,616.0
2018-01-08 03:00:00+0000,686.0,660.0
2018-01-08 04:00:00+0000,827.0,793.0
2018-01-08 05:00:00+0000,974.0,965.0
2018-01-08 06:00:00+0000,1094.0,1076.0
2018-01-08 07:00:00+0000,1137.0,1107.0
2018-01-08 08:00:00+0000,1139.0,1115.0
2018-01-08 09:00:00+0000,1127.0,1094.0
2018-01-08 10:00:00+0000,1103.0,1061.0
2018-01-08 11:00:00+0000,1126.0,1079.0
2018-01-08 12:00:00+0000,1123.0,1080.0
2018-01-08 13:00:00+0000,1125.0,1073.0
2018-01-08 14:00:00+0000,1170.0,1113.0
2018-01-08 15:00:00+0000,1145.0,1134.0
2018-01-08 16:00:00+0000,1124.0,1107.0
2018-01-08 17:00:00+0000,1076.0,1067.0
2018-01-08 18:00:00+0000,1043.0,1029.0
2018-01-08 19:00:00+0000,977.0,961.0
2018-01-08 20:00:00+0000,870.0,866.0
2018-01-08 21:00:00+0000,778.0,772.0
2018-01-08 22:00:00+0000,710.0,694.0
2018-01-08 23:00:00+0000,654.0,657.0
2018-01-09 00:00:00+0000,633.0,637.0
2018-01-09 01:00:00+0000,632.0,631.0
2018-01-09 02:00:00+0000,644.0,642.0
2018-01-09 03:00:00+0000,694.0,688.0
2018-01-09 04:00:00+0000,822.0,813.0
2018-01-09 05:00:00+0000,989.0,979.0
2018-01-09 06:00:00+0000,1109.0,1086.0
2018-01-09 07:00:00+0000,1139.0,1110.0
2018-01-09 08:00:00+0000,1147.0,1116.0
2018-01-09 09:00:00+0000,1128.0,1102.0
2018-01-09 10:00:00+0000,1106.0,1072.0
2018-01-09 11:00:00+0000,1128.0,1100.0
2018-01-09 12:00:00+0000,1124.0,1096.0
2018-01-09 13:00:00+0000,1126.0,1095.0
2018-01-09 14:00:00+0000,1166.0,1124.0
2018-01-09 15:00:00+0000,1149.0,1119.0
2018-01-09 16:00:00+0000,1132.0,1101.0
2018-01-09 17:00:00+0000,1094.0,1059.0
2018-01-09 18:00:00+0000,1057.0,1028.0
2018-01-09 19:00:00+0000,983.0,970.0
2018-01-09 20:00:00+0000,885.0,871.0
2018-01-09 21:00:00+0000,793.0,777.0
2018-01-09 22:00:00+0000,712.0,707.0
2018-01-09 23:00:00+0000,672.0,667.0
2018-01-10 00:00:00+0000,649.0,646.0
2018-01-10 01:00:00+0000,646.0,644.0
2018-01-10 02:00:00+0000,659.0,653.0
2018-01-10 03:00:00+0000,692.0,695.0
2018-01-10 04:00:00+0000,827.0,819.0
2018-01-10 05:00:00+0000,998.0,983.0
2018-01-10 06:00:00+0000,1117.0,1100.0
2018-01-10 07:00:00+0000,1141.0,1131.0
2018-01-10 08:00:00+0000,1155.0,1136.0
2018-01-10 09:00:00+0000,1143.0,1118.0
2018-01-10 10:00:00+0000,1103.0,1087.0
2018-01-10 11:00:00+0000,1125.0,1108.0
2018-01-10 12:00:00+0000,1117.0,1104.0
2018-01-10 13:00:00+0000,1126.0,1108.0
2018-01-10 14:00:00+0000,1171.0,1142.0
2018-01-10 15:00:00+0000,1161.0,1132.0
2018-01-10 16:00:00+0000,1133.0,1108.0
2018-01-10 17:00:00+0000,1101.0,1067.0
2018-01-10 18:00:00+0000,1057.0,1038.0
2018-01-10 19:00:00+0000,989.0,983.0
2018-01-10 20:00:00+0000,891.0,883.0
2018-01-10 21:00:00+0000,794.0,797.0
2018-01-10 22:00:00+0000,721.0,728.0
2018-01-10 23:00:00+0000,688.0,692.0
2018-01-11 00:00:00+0000,666.0,672.0
2018-01-11 01:00:00+0000,666.0,667.0
2018-01-11 02:00:00+0000,678.0,680.0
2018-01-11 03:00:00+0000,722.0,724.0
2018-01-11 04:00:00+0000,857.0,851.0
