index,Forecasted Load,Actual Load
2018-01-01 00:00:00+01:00,15200.0,14979.0
2018-01-01 01:00:00+01:00,14600.0,14398.0
2018-01-01 02:00:00+01:00,14000.0,13789.0
2018-01-01 03:00:00+01:00,13600.0,13434.0
2018-01-01 04:00:00+01:00,13400.0,13285.0
2018-01-01 05:00:00+01:00,13200.0,13193.0
2018-01-01 06:00:00+01:00,13300.0,13237.0
2018-01-01 07:00:00+01:00,13300.0,13214.0
2018-01-01 08:00:00+01:00,13500.0,13025.0
2018-01-01 09:00:00+01:00,14000.0,13706.0
2018-01-01 10:00:00+01:00,14600.0,14330.0
2018-01-01 11:00:00+01:00,15200.0,14824.0
2018-01-01 12:00:00+01:00,15500.0,15319.0
2018-01-01 13:00:00+01:00,15900.0,15834.0
2018-01-01 14:00:00+01:00,15900.0,15945.0
2018-01-01 15:00:00+01:00,16800.0,16059.0
2018-01-01 16:00:00+01:00,17900.0,17307.0
2018-01-01 17:00:00+01:00,18000.0,17699.0
2018-01-01 18:00:00+01:00,18100.0,17697.0
2018-01-01 19:00:00+01:00,18100.0,17836.0
2018-01-01 20:00:00+01:00,17900.0,17464.0
2018-01-01 21:00:00+01:00,17100.0,16551.0
2018-01-01 22:00:00+01:00,16200.0,15860.0
2018-01-01 23:00:00+01:00,15100.0,14856.0
2018-01-02 00:00:00+01:00,13700.0,14040.0
2018-01-02 01:00:00+01:00,13300.0,13541.0
2018-01-02 02:00:00+01:00,13050.0,13407.0
2018-01-02 03:00:00+01:00,13200.0,13468.0
2018-01-02 04:00:00+01:00,14000.0,13797.0
2018-01-02 05:00:00+01:00,15800.0,14760.0
2018-01-02 06:00:00+01:00,19100.0,17559.0
2018-01-02 07:00:00+01:00,20500.0,19505.0
2018-01-02 08:00:00+01:00,21800.0,20485.0
2018-01-02 09:00:00+01:00,22100.0,21277.0
2018-01-02 10:00:00+01:00,22400.0,21515.0
2018-01-02 11:00:00+01:00,22600.0,21658.0
2018-01-02 12:00:00+01:00,22900.0,21774.0
2018-01-02 13:00:00+01:00,23000.0,22256.0
2018-01-02 14:00:00+01:00,22600.0,22073.0
2018-01-02 15:00:00+01:00,23000.0,22230.0
2018-01-02 16:00:00+01:00,23900.0,23158.0
2018-01-02 17:00:00+01:00,23700.0,23082.0
2018-01-02 18:00:00+01:00,23400.0,22747.0
2018-01-02 19:00:00+01:00,23300.0,22642.0
2018-01-02 20:00:00+01:00,22600.0,21972.0
2018-01-02 21:00:00+01:00,21300.0,20681.0
2018-01-02 22:00:00+01:00,19500.0,19244.0
2018-01-02 23:00:00+01:00,18100.0,17862.0
2018-01-03 00:00:00+01:00,17500.0,16710.0
2018-01-03 01:00:00+01:00,17000.0,16198.0
2018-01-03 02:00:00+01:00,16800.0,15878.0
2018-01-03 03:00:00+01:00,16900.0,15840.0
2018-01-03 04:00:00+01:00,17300.0,16161.0
2018-01-03 05:00:00+01:00,18600.0,16890.0
2018-01-03 06:00:00+01:00,21800.0,19564.0
2018-01-03 07:00:00+01:00,22600.0,21727.0
2018-01-03 08:00:00+01:00,23500.0,22419.0
2018-01-03 09:00:00+01:00,23600.0,22749.0
2018-01-03 10:00:00+01:00,23900.0,22748.0
2018-01-03 11:00:00+01:00,24000.0,23178.0
2018-01-03 12:00:00+01:00,24000.0,23317.0
2018-01-03 13:00:00+01:00,24300.0,23538.0
2018-01-03 14:00:00+01:00,23800.0,23317.0
2018-01-03 15:00:00+01:00,24100.0,23473.0
2018-01-03 16:00:00+01:00,25000.0,24282.0
2018-01-03 17:00:00+01:00,24700.0,24188.0
2018-01-03 18:00:00+01:00,24400.0,23922.0
2018-01-03 19:00:00+01:00,24400.0,23829.0
2018-01-03 20:00:00+01:00,23600.0,23012.0
2018-01-03 21:00:00+01:00,22200.0,21403.0
2018-01-03 22:00:00+01:00,20600.0,19851.0
2018-01-03 23:00:00+01:00,19200.0,18520.0
2018-01-04 00:00:00+01:00,17300.0,17371.0
2018-01-04 01:00:00+01:00,16600.0,16813.0
2018-01-04 02:00:00+01:00,16300.0,16475.0
2018-01-04 03:00:00+01:00,16400.0,16548.0
2018-01-04 04:00:00+01:00,17000.0,16739.0
2018-01-04 05:00:00+01:00,18200.0,17455.0
2018-01-04 06:00:00+01:00,21600.0,19951.0
2018-01-04 07:00:00+01:00,22600.0,21894.0
2018-01-04 08:00:00+01:00,23500.0,22638.0
2018-01-04 09:00:00+01:00,23700.0,22886.0
2018-01-04 10:00:00+01:00,23800.0,22893.0
2018-01-04 11:00:00+01:00,23850.0,23075.0
2018-01-04 12:00:00+01:00,24000.0,23171.0
2018-01-04 13:00:00+01:00,24200.0,23423.0
2018-01-04 14:00:00+01:00,23700.0,23132.0
2018-01-04 15:00:00+01:00,24400.0,23158.0
2018-01-04 16:00:00+01:00,24900.0,24183.0
2018-01-04 17:00:00+01:00,24600.0,24057.0
2018-01-04 18:00:00+01:00,24300.0,23745.0
2018-01-04 19:00:00+01:00,24100.0,23656.0
2018-01-04 20:00:00+01:00,23400.0,23030.0
2018-01-04 21:00:00+01:00,22000.0,21602.0
2018-01-04 22:00:00+01:00,20200.0,20029.0
2018-01-04 23:00:00+01:00,18600.0,18718.0
2018-01-05 00:00:00+01:00,17200.0,17468.0
2018-01-05 01:00:00+01:00,16500.0,16855.0
2018-01-05 02:00:00+01:00,16300.0,16594.0
2018-01-05 03:00:00+01:00,16400.0,16718.0
2018-01-05 04:00:00+01:00,16900.0,16845.0
2018-01-05 05:00:00+01:00,18300.0,17663.0
2018-01-05 06:00:00+01:00,21600.0,20093.0
2018-01-05 07:00:00+01:00,22500.0,21965.0
2018-01-05 08:00:00+01:00,23400.0,22564.0
2018-01-05 09:00:00+01:00,23500.0,22860.0
2018-01-05 10:00:00+01:00,23800.0,22807.0
2018-01-05 11:00:00+01:00,23900.0,23014.0
2018-01-05 12:00:00+01:00,24000.0,23075.0
2018-01-05 13:00:00+01:00,24300.0,23360.0
2018-01-05 14:00:00+01:00,23900.0,23088.0
2018-01-05 15:00:00+01:00,24200.0,23188.0
2018-01-05 16:00:00+01:00,24900.0,24072.0
2018-01-05 17:00:00+01:00,24700.0,24062.0
2018-01-05 18:00:00+01:00,24400.0,23710.0
2018-01-05 19:00:00+01:00,24200.0,23504.0
2018-01-05 20:00:00+01:00,23500.0,22733.0
2018-01-05 21:00:00+01:00,22000.0,21331.0
2018-01-05 22:00:00+01:00,20400.0,19870.0
2018-01-05 23:00:00+01:00,19000.0,18516.0
2018-01-06 00:00:00+01:00,17700.0,17261.0
2018-01-06 01:00:00+01:00,16900.0,16546.0
2018-01-06 02:00:00+01:00,16500.0,15997.0
2018-01-06 03:00:00+01:00,16300.0,15879.0
2018-01-06 04:00:00+01:00,16300.0,15774.0
2018-01-06 05:00:00+01:00,16200.0,15547.0
