index,Forecasted Load,Actual Load
2020-12-31 23:00:00+0000,9242.0,9486.0
2020-12-31 23:15:00+0000,9152.0,9392.0
2020-12-31 23:30:00+0000,9062.0,9238.0
2020-12-31 23:45:00+0000,8856.0,9068.0
2021-01-01 00:00:00+0000,8717.0,8993.0
2021-01-01 00:15:00+0000,8642.0,8815.0
2021-01-01 00:30:00+0000,8525.0,8689.0
2021-01-01 00:45:00+0000,8402.0,8533.0
2021-01-01 01:00:00+0000,8291.0,8427.0
2021-01-01 01:15:00+0000,8187.0,8327.0
2021-01-01 01:30:00+0000,8135.0,8217.0
2021-01-01 01:45:00+0000,8031.0,8083.0
2021-01-01 02:00:00+0000,7940.0,7986.0
2021-01-01 02:15:00+0000,7836.0,7916.0
2021-01-01 02:30:00+0000,7801.0,7915.0
2021-01-01 02:45:00+0000,7731.0,7834.0
2021-01-01 03:00:00+0000,7664.0,7799.0
2021-01-01 03:15:00+0000,7608.0,7763.0
2021-01-01 03:30:00+0000,7625.0,7777.0
2021-01-01 03:45:00+0000,7618.0,7723.0
2021-01-01 04:00:00+0000,7595.0,7771.0
2021-01-01 04:15:00+0000,7562.0,7762.0
2021-01-01 04:30:00+0000,7617.0,7782.0
2021-01-01 04:45:00+0000,7603.0,7826.0
2021-01-01 05:00:00+0000,7614.0,7891.0
2021-01-01 05:15:00+0000,7620.0,7949.0
2021-01-01 05:30:00+0000,7715.0,8002.0
2021-01-01 05:45:00+0000,7653.0,8007.0
2021-01-01 06:00:00+0000,7574.0,7955.0
2021-01-01 06:15:00+0000,7503.0,7948.0
2021-01-01 06:30:00+0000,7573.0,7983.0
2021-01-01 06:45:00+0000,7568.0,7999.0
2021-01-01 07:00:00+0000,7568.0,8093.0
2021-01-01 07:15:00+0000,7562.0,8185.0
2021-01-01 07:30:00+0000,7607.0,8181.0
2021-01-01 07:45:00+0000,7646.0,8213.0
2021-01-01 08:00:00+0000,7690.0,8292.0
2021-01-01 08:15:00+0000,7757.0,8396.0
2021-01-01 08:30:00+0000,7795.0,8471.0
2021-01-01 08:45:00+0000,7891.0,8533.0
2021-01-01 09:00:00+0000,7974.0,8627.0
2021-01-01 09:15:00+0000,8081.0,8717.0
2021-01-01 09:30:00+0000,8125.0,8782.0
2021-01-01 09:45:00+0000,8227.0,8799.0
2021-01-01 10:00:00+0000,8320.0,8840.0
2021-01-01 10:15:00+0000,8417.0,8916.0
2021-01-01 10:30:00+0000,8438.0,9003.0
2021-01-01 10:45:00+0000,8527.0,9126.0
2021-01-01 11:00:00+0000,8582.0,9233.0
2021-01-01 11:15:00+0000,8643.0,9201.0
2021-01-01 11:30:00+0000,8616.0,9172.0
2021-01-01 11:45:00+0000,8642.0,9138.0
2021-01-01 12:00:00+0000,8657.0,9040.0
2021-01-01 12:15:00+0000,8682.0,8924.0
2021-01-01 12:30:00+0000,8640.0,8877.0
2021-01-01 12:45:00+0000,8575.0,8801.0
2021-01-01 13:00:00+0000,8530.0,8732.0
2021-01-01 13:15:00+0000,8518.0,8698.0
2021-01-01 13:30:00+0000,8533.0,8672.0
2021-01-01 13:45:00+0000,8514.0,8653.0
2021-01-01 14:00:00+0000,8502.0,8702.0
2021-01-01 14:15:00+0000,8492.0,8774.0
2021-01-01 14:30:00+0000,8494.0,8829.0
2021-01-01 14:45:00+0000,8493.0,8845.0
2021-01-01 15:00:00+0000,8511.0,8898.0
2021-01-01 15:15:00+0000,8544.0,8955.0
2021-01-01 15:30:00+0000,8616.0,8994.0
2021-01-01 15:45:00+0000,8732.0,9176.0
2021-01-01 16:00:00+0000,8880.0,9473.0
2021-01-01 16:15:00+0000,9027.0,9635.0
2021-01-01 16:30:00+0000,9139.0,9790.0
2021-01-01 16:45:00+0000,9217.0,9899.0
2021-01-01 17:00:00+0000,9249.0,9918.0
2021-01-01 17:15:00+0000,9245.0,9887.0
2021-01-01 17:30:00+0000,9198.0,9877.0
2021-01-01 17:45:00+0000,9177.0,9818.0
2021-01-01 18:00:00+0000,9147.0,9722.0
2021-01-01 18:15:00+0000,9133.0,9654.0
2021-01-01 18:30:00+0000,9067.0,9549.0
2021-01-01 18:45:00+0000,9021.0,9428.0
2021-01-01 19:00:00+0000,8964.0,9329.0
2021-01-01 19:15:00+0000,8913.0,9248.0
2021-01-01 19:30:00+0000,8834.0,9202.0
2021-01-01 19:45:00+0000,8793.0,9093.0
2021-01-01 20:00:00+0000,8754.0,9057.0
2021-01-01 20:15:00+0000,8720.0,9048.0
2021-01-01 20:30:00+0000,8639.0,8981.0
2021-01-01 20:45:00+0000,8729.0,8928.0
2021-01-01 21:00:00+0000,8867.0,9098.0
2021-01-01 21:15:00+0000,9033.0,9268.0
2021-01-01 21:30:00+0000,9040.0,9305.0
2021-01-01 21:45:00+0000,9120.0,9227.0
2021-01-01 22:00:00+0000,9173.0,9361.0
2021-01-01 22:15:00+0000,9188.0,9339.0
2021-01-01 22:30:00+0000,9059.0,9234.0
2021-01-01 22:45:00+0000,8894.0,9093.0
2021-01-01 23:00:00+0000,8742.0,9026.0
2021-01-01 23:15:00+0000,8619.0,8951.0
2021-01-01 23:30:00+0000,8507.0,8819.0
2021-01-01 23:45:00+0000,8428.0,8685.0
2021-01-02 00:00:00+0000,8278.0,8670.0
2021-01-02 00:15:00+0000,8211.0,8601.0
2021-01-02 00:30:00+0000,8100.0,8492.0
2021-01-02 00:45:00+0000,8041.0,8342.0
2021-01-02 01:00:00+0000,7982.0,8307.0
2021-01-02 01:15:00+0000,7930.0,8203.0
2021-01-02 01:30:00+0000,7847.0,8124.0
2021-01-02 01:45:00+0000,7830.0,8071.0
2021-01-02 02:00:00+0000,7844.0,8048.0
2021-01-02 02:15:00+0000,7851.0,7978.0
2021-01-02 02:30:00+0000,7803.0,7929.0
2021-01-02 02:45:00+0000,7842.0,7922.0
2021-01-02 03:00:00+0000,7894.0,7891.0
2021-01-02 03:15:00+0000,7957.0,7900.0
2021-01-02 03:30:00+0000,7919.0,7914.0
2021-01-02 03:45:00+0000,7993.0,7904.0
2021-01-02 04:00:00+0000,8092.0,7966.0
2021-01-02 04:15:00+0000,8222.0,8011.0
2021-01-02 04:30:00+0000,8248.0,8055.0
2021-01-02 04:45:00+0000,8351.0,8019.0
2021-01-02 05:00:00+0000,8466.0,8183.0
2021-01-02 05:15:00+0000,8608.0,8314.0
2021-01-02 05:30:00+0000,8672.0,8319.0
2021-01-02 05:45:00+0000,8587.0,8402.0
2021-01-02 06:00:00+0000,8520.0,8444.0
2021-01-02 06:15:00+0000,8494.0,8575.0
2021-01-02 06:30:00+0000,8639.0,8664.0
2021-01-02 06:45:00+0000,8780.0,8680.0
2021-01-02 07:00:00+0000,8912.0,8865.0
2021-01-02 07:15:00+0000,9035.0,9084.0
2021-01-02 07:30:00+0000,9151.0,9184.0
2021-01-02 07:45:00+0000,9125.0,9166.0
2021-01-02 08:00:00+0000,9111.0,9329.0
2021-01-02 08:15:00+0000,9095.0,9541.0
2021-01-02 08:30:00+0000,9174.0,9651.0
2021-01-02 08:45:00+0000,9149.0,9752.0
2021-01-02 09:00:00+0000,9118.0,9816.0
2021-01-02 09:15:00+0000,9107.0,10029.0
2021-01-02 09:30:00+0000,9163.0,10127.0
2021-01-02 09:45:00+0000,9195.0,10161.0
2021-01-02 10:00:00+0000,9242.0,10195.0
2021-01-02 10:15:00+0000,9317.0,10318.0
2021-01-02 10:30:00+0000,9415.0,10349.0
2021-01-02 10:45:00+0000,9422.0,10513.0
2021-01-02 11:00:00+0000,9401.0,10503.0
2021-01-02 11:15:00+0000,9345.0,10425.0
2021-01-02 11:30:00+0000,9343.0,10406.0
2021-01-02 11:45:00+0000,9319.0,10385.0
2021-01-02 12:00:00+0000,9271.0,10331.0
2021-01-02 12:15:00+0000,9224.0,10260.0
2021-01-02 12:30:00+0000,9182.0,10242.0
2021-01-02 12:45:00+0000,9185.0,10106.0
2021-01-02 13:00:00+0000,9157.0,10148.0
2021-01-02 13:15:00+0000,9114.0,10101.0
2021-01-02 13:30:00+0000,9048.0,10100.0
2021-01-02 13:45:00+0000,9039.0,10023.0
2021-01-02 14:00:00+0000,9056.0,10094.0
2021-01-02 14:15:00+0000,9092.0,10088.0
2021-01-02 14:30:00+0000,9090.0,10025.0
2021-01-02 14:45:00+0000,9103.0,10078.0
2021-01-02 15:00:00+0000,9132.0,10050.0
2021-01-02 15:15:00+0000,9215.0,10157.0
2021-01-02 15:30:00+0000,9334.0,10300.0
2021-01-02 15:45:00+0000,9488.0,10439.0
2021-01-02 16:00:00+0000,9637.0,10673.0
2021-01-02 16:15:00+0000,9757.0,10812.0
2021-01-02 16:30:00+0000,9831.0,11088.0
2021-01-02 16:45:00+0000,9924.0,11110.0
2021-01-02 17:00:00+0000,9980.0,11076.0
2021-01-02 17:15:00+0000,9998.0,11038.0
