index,RO -> HU,RO -> BG
2018-01-01 03:00:00+0000,0.0,487.0
2018-01-01 04:00:00+0000,0.0,460.0
2018-01-01 05:00:00+0000,0.0,463.0
2018-01-01 06:00:00+0000,0.0,403.0
2018-01-01 07:00:00+0000,0.0,362.0
2018-01-01 08:00:00+0000,0.0,391.0
2018-01-01 09:00:00+0000,0.0,522.0
2018-01-01 10:00:00+0000,0.0,529.0
2018-01-01 11:00:00+0000,0.0,507.0
2018-01-01 12:00:00+0000,0.0,486.0
2018-01-01 13:00:00+0000,0.0,504.0
2018-01-01 14:00:00+0000,0.0,694.0
2018-01-01 15:00:00+0000,0.0,714.0
2018-01-01 16:00:00+0000,0.0,740.0
2018-01-01 17:00:00+0000,0.0,783.0
2018-01-01 18:00:00+0000,0.0,824.0
2018-01-01 19:00:00+0000,0.0,849.0
2018-01-01 20:00:00+0000,5.0,837.0
2018-01-01 21:00:00+0000,5.0,872.0
2018-01-01 22:00:00+0000,4.0,974.0
2018-01-01 23:00:00+0000,62.0,1034.0
2018-01-02 00:00:00+0000,83.0,982.0
2018-01-02 01:00:00+0000,90.0,944.0
2018-01-02 02:00:00+0000,76.0,910.0
2018-01-02 03:00:00+0000,44.0,951.0
2018-01-02 04:00:00+0000,29.0,970.0
2018-01-02 05:00:00+0000,61.0,939.0
2018-01-02 06:00:00+0000,79.0,880.0
2018-01-02 07:00:00+0000,98.0,895.0
2018-01-02 08:00:00+0000,126.0,875.0
2018-01-02 09:00:00+0000,155.0,865.0
2018-01-02 10:00:00+0000,156.0,885.0
2018-01-02 11:00:00+0000,161.0,884.0
2018-01-02 12:00:00+0000,162.0,881.0
2018-01-02 13:00:00+0000,130.0,867.0
2018-01-02 14:00:00+0000,130.0,825.0
2018-01-02 15:00:00+0000,93.0,778.0
2018-01-02 16:00:00+0000,155.0,693.0
2018-01-02 17:00:00+0000,130.0,620.0
2018-01-02 18:00:00+0000,105.0,549.0
2018-01-02 19:00:00+0000,96.0,608.0
2018-01-02 20:00:00+0000,23.0,654.0
2018-01-02 21:00:00+0000,13.0,801.0
2018-01-02 22:00:00+0000,34.0,914.0
2018-01-02 23:00:00+0000,1.0,856.0
2018-01-03 00:00:00+0000,2.0,786.0
2018-01-03 01:00:00+0000,8.0,725.0
2018-01-03 02:00:00+0000,0.0,607.0
2018-01-03 03:00:00+0000,0.0,622.0
2018-01-03 04:00:00+0000,0.0,631.0
2018-01-03 05:00:00+0000,1.0,615.0
2018-01-03 06:00:00+0000,0.0,609.0
2018-01-03 07:00:00+0000,0.0,554.0
2018-01-03 08:00:00+0000,0.0,570.0
2018-01-03 09:00:00+0000,1.0,568.0
2018-01-03 10:00:00+0000,19.0,564.0
2018-01-03 11:00:00+0000,7.0,522.0
2018-01-03 12:00:00+0000,1.0,509.0
2018-01-03 13:00:00+0000,0.0,437.0
2018-01-03 14:00:00+0000,0.0,438.0
2018-01-03 15:00:00+0000,0.0,375.0
2018-01-03 16:00:00+0000,0.0,340.0
2018-01-03 17:00:00+0000,0.0,311.0
2018-01-03 18:00:00+0000,0.0,329.0
2018-01-03 19:00:00+0000,0.0,412.0
2018-01-03 20:00:00+0000,0.0,565.0
2018-01-03 21:00:00+0000,0.0,688.0
2018-01-03 22:00:00+0000,0.0,845.0
2018-01-03 23:00:00+0000,0.0,721.0
2018-01-04 00:00:00+0000,0.0,675.0
2018-01-04 01:00:00+0000,0.0,650.0
2018-01-04 02:00:00+0000,0.0,573.0
2018-01-04 03:00:00+0000,0.0,475.0
2018-01-04 04:00:00+0000,0.0,413.0
2018-01-04 05:00:00+0000,0.0,447.0
2018-01-04 06:00:00+0000,0.0,337.0
2018-01-04 07:00:00+0000,0.0,305.0
2018-01-04 08:00:00+0000,0.0,356.0
2018-01-04 09:00:00+0000,0.0,343.0
2018-01-04 10:00:00+0000,0.0,395.0
2018-01-04 11:00:00+0000,0.0,379.0
2018-01-04 12:00:00+0000,0.0,390.0
2018-01-04 13:00:00+0000,0.0,368.0
2018-01-04 14:00:00+0000,0.0,322.0
2018-01-04 15:00:00+0000,0.0,150.0
2018-01-04 16:00:00+0000,0.0,165.0
2018-01-04 17:00:00+0000,0.0,201.0
2018-01-04 18:00:00+0000,0.0,295.0
2018-01-04 19:00:00+0000,0.0,425.0
2018-01-04 20:00:00+0000,0.0,493.0
2018-01-04 21:00:00+0000,0.0,721.0
2018-01-04 22:00:00+0000,0.0,747.0
2018-01-04 23:00:00+0000,0.0,589.0
2018-01-05 00:00:00+0000,0.0,634.0
2018-01-05 01:00:00+0000,0.0,609.0
2018-01-05 02:00:00+0000,0.0,542.0
2018-01-05 03:00:00+0000,0.0,494.0
2018-01-05 04:00:00+0000,0.0,345.0
2018-01-05 05:00:00+0000,0.0,270.0
2018-01-05 06:00:00+0000,0.0,282.0
2018-01-05 07:00:00+0000,0.0,333.0
2018-01-05 08:00:00+0000,0.0,434.0
2018-01-05 09:00:00+0000,0.0,404.0
2018-01-05 10:00:00+0000,4.0,422.0
2018-01-05 11:00:00+0000,17.0,407.0
2018-01-05 12:00:00+0000,21.0,466.0
2018-01-05 13:00:00+0000,28.0,487.0
2018-01-05 14:00:00+0000,17.0,444.0
2018-01-05 15:00:00+0000,7.0,295.0
2018-01-05 16:00:00+0000,71.0,287.0
2018-01-05 17:00:00+0000,148.0,298.0
2018-01-05 18:00:00+0000,169.0,372.0
2018-01-05 19:00:00+0000,186.0,521.0
2018-01-05 20:00:00+0000,137.0,725.0
2018-01-05 21:00:00+0000,97.0,893.0
2018-01-05 22:00:00+0000,63.0,855.0
2018-01-05 23:00:00+0000,66.0,784.0
2018-01-06 00:00:00+0000,65.0,767.0
2018-01-06 01:00:00+0000,45.0,736.0
2018-01-06 02:00:00+0000,23.0,704.0
2018-01-06 03:00:00+0000,1.0,606.0
2018-01-06 04:00:00+0000,0.0,543.0
2018-01-06 05:00:00+0000,0.0,529.0
2018-01-06 06:00:00+0000,0.0,513.0
2018-01-06 07:00:00+0000,0.0,454.0
2018-01-06 08:00:00+0000,38.0,461.0
2018-01-06 09:00:00+0000,91.0,463.0
2018-01-06 10:00:00+0000,120.0,448.0
2018-01-06 11:00:00+0000,93.0,497.0
2018-01-06 12:00:00+0000,115.0,512.0
2018-01-06 13:00:00+0000,140.0,526.0
2018-01-06 14:00:00+0000,137.0,574.0
2018-01-06 15:00:00+0000,94.0,572.0
2018-01-06 16:00:00+0000,134.0,590.0
2018-01-06 17:00:00+0000,146.0,631.0
2018-01-06 18:00:00+0000,166.0,728.0
2018-01-06 19:00:00+0000,190.0,790.0
2018-01-06 20:00:00+0000,169.0,856.0
2018-01-06 21:00:00+0000,91.0,974.0
2018-01-06 22:00:00+0000,78.0,899.0
2018-01-06 23:00:00+0000,32.0,992.0
2018-01-07 00:00:00+0000,41.0,938.0
2018-01-07 01:00:00+0000,50.0,879.0
2018-01-07 02:00:00+0000,47.0,798.0
2018-01-07 03:00:00+0000,28.0,714.0
2018-01-07 04:00:00+0000,3.0,607.0
2018-01-07 05:00:00+0000,39.0,593.0
2018-01-07 06:00:00+0000,11.0,563.0
2018-01-07 07:00:00+0000,0.0,571.0
2018-01-07 08:00:00+0000,0.0,532.0
2018-01-07 09:00:00+0000,1.0,549.0
2018-01-07 10:00:00+0000,2.0,589.0
2018-01-07 11:00:00+0000,2.0,609.0
2018-01-07 12:00:00+0000,7.0,649.0
2018-01-07 13:00:00+0000,5.0,658.0
2018-01-07 14:00:00+0000,0.0,618.0
2018-01-07 15:00:00+0000,0.0,581.0
2018-01-07 16:00:00+0000,0.0,554.0
2018-01-07 17:00:00+0000,0.0,549.0
2018-01-07 18:00:00+0000,0.0,545.0
2018-01-07 19:00:00+0000,0.0,677.0
2018-01-07 20:00:00+0000,0.0,701.0
2018-01-07 21:00:00+0000,0.0,780.0
2018-01-07 22:00:00+0000,5.0,780.0
2018-01-07 23:00:00+0000,0.0,633.0
2018-01-08 00:00:00+0000,0.0,575.0
2018-01-08 01:00:00+0000,0.0,462.0
2018-01-08 02:00:00+0000,0.0,388.0
2018-01-08 03:00:00+0000,0.0,332.0
2018-01-08 04:00:00+0000,0.0,264.0
2018-01-08 05:00:00+0000,0.0,253.0
