index,BG -> RO,BG -> EL
2021-01-01 03:00:00+0000,121.0,217.0
2021-01-01 04:00:00+0000,152.0,227.0
2021-01-01 05:00:00+0000,176.0,231.0
2021-01-01 06:00:00+0000,154.0,240.0
2021-01-01 07:00:00+0000,69.0,272.0
2021-01-01 08:00:00+0000,66.0,283.0
2021-01-01 09:00:00+0000,77.0,300.0
2021-01-01 10:00:00+0000,125.0,302.0
2021-01-01 11:00:00+0000,117.0,283.0
2021-01-01 12:00:00+0000,143.0,248.0
2021-01-01 13:00:00+0000,160.0,265.0
2021-01-01 14:00:00+0000,150.0,265.0
2021-01-01 15:00:00+0000,192.0,272.0
2021-01-01 16:00:00+0000,202.0,271.0
2021-01-01 17:00:00+0000,194.0,251.0
2021-01-01 18:00:00+0000,145.0,257.0
2021-01-01 19:00:00+0000,99.0,257.0
2021-01-01 20:00:00+0000,60.0,252.0
2021-01-01 21:00:00+0000,61.0,241.0
2021-01-01 22:00:00+0000,30.0,232.0
2021-01-01 23:00:00+0000,0.0,254.0
2021-01-02 00:00:00+0000,0.0,255.0
2021-01-02 01:00:00+0000,0.0,209.0
2021-01-02 02:00:00+0000,0.0,171.0
2021-01-02 03:00:00+0000,0.0,148.0
2021-01-02 04:00:00+0000,0.0,151.0
2021-01-02 05:00:00+0000,3.0,183.0
2021-01-02 06:00:00+0000,52.0,179.0
2021-01-02 07:00:00+0000,18.0,177.0
2021-01-02 08:00:00+0000,33.0,187.0
2021-01-02 09:00:00+0000,46.0,167.0
2021-01-02 10:00:00+0000,71.0,164.0
2021-01-02 11:00:00+0000,97.0,169.0
2021-01-02 12:00:00+0000,105.0,161.0
2021-01-02 13:00:00+0000,118.0,194.0
2021-01-02 14:00:00+0000,172.0,184.0
2021-01-02 15:00:00+0000,143.0,229.0
2021-01-02 16:00:00+0000,53.0,294.0
2021-01-02 17:00:00+0000,51.0,294.0
2021-01-02 18:00:00+0000,36.0,288.0
2021-01-02 19:00:00+0000,31.0,273.0
2021-01-02 20:00:00+0000,6.0,261.0
2021-01-02 21:00:00+0000,1.0,243.0
2021-01-02 22:00:00+0000,2.0,204.0
2021-01-02 23:00:00+0000,56.0,130.0
2021-01-03 00:00:00+0000,19.0,232.0
2021-01-03 01:00:00+0000,84.0,189.0
2021-01-03 02:00:00+0000,175.0,148.0
2021-01-03 03:00:00+0000,146.0,125.0
2021-01-03 04:00:00+0000,195.0,149.0
2021-01-03 05:00:00+0000,136.0,214.0
2021-01-03 06:00:00+0000,102.0,253.0
2021-01-03 07:00:00+0000,110.0,241.0
2021-01-03 08:00:00+0000,103.0,226.0
2021-01-03 09:00:00+0000,98.0,235.0
2021-01-03 10:00:00+0000,86.0,230.0
2021-01-03 11:00:00+0000,100.0,211.0
2021-01-03 12:00:00+0000,101.0,187.0
2021-01-03 13:00:00+0000,28.0,215.0
2021-01-03 14:00:00+0000,21.0,210.0
2021-01-03 15:00:00+0000,38.0,224.0
2021-01-03 16:00:00+0000,37.0,245.0
2021-01-03 17:00:00+0000,45.0,252.0
2021-01-03 18:00:00+0000,23.0,248.0
2021-01-03 19:00:00+0000,16.0,218.0
2021-01-03 20:00:00+0000,9.0,214.0
2021-01-03 21:00:00+0000,13.0,206.0
2021-01-03 22:00:00+0000,38.0,222.0
2021-01-03 23:00:00+0000,2.0,189.0
2021-01-04 00:00:00+0000,0.0,176.0
2021-01-04 01:00:00+0000,0.0,117.0
2021-01-04 02:00:00+0000,29.0,58.0
2021-01-04 03:00:00+0000,47.0,53.0
2021-01-04 04:00:00+0000,112.0,87.0
2021-01-04 05:00:00+0000,200.0,152.0
2021-01-04 06:00:00+0000,135.0,125.0
2021-01-04 07:00:00+0000,143.0,168.0
2021-01-04 08:00:00+0000,150.0,155.0
2021-01-04 09:00:00+0000,100.0,130.0
2021-01-04 10:00:00+0000,80.0,136.0
2021-01-04 11:00:00+0000,127.0,120.0
2021-01-04 12:00:00+0000,154.0,95.0
2021-01-04 13:00:00+0000,117.0,124.0
2021-01-04 14:00:00+0000,132.0,148.0
2021-01-04 15:00:00+0000,172.0,192.0
2021-01-04 16:00:00+0000,221.0,284.0
2021-01-04 17:00:00+0000,252.0,276.0
2021-01-04 18:00:00+0000,196.0,294.0
2021-01-04 19:00:00+0000,127.0,293.0
2021-01-04 20:00:00+0000,102.0,256.0
2021-01-04 21:00:00+0000,101.0,269.0
2021-01-04 22:00:00+0000,45.0,262.0
2021-01-04 23:00:00+0000,151.0,199.0
2021-01-05 00:00:00+0000,208.0,188.0
2021-01-05 01:00:00+0000,169.0,174.0
2021-01-05 02:00:00+0000,152.0,184.0
2021-01-05 03:00:00+0000,198.0,197.0
2021-01-05 04:00:00+0000,245.0,256.0
2021-01-05 05:00:00+0000,195.0,235.0
2021-01-05 06:00:00+0000,176.0,217.0
2021-01-05 07:00:00+0000,264.0,134.0
2021-01-05 08:00:00+0000,290.0,138.0
2021-01-05 09:00:00+0000,342.0,117.0
2021-01-05 10:00:00+0000,389.0,110.0
2021-01-05 11:00:00+0000,382.0,116.0
2021-01-05 12:00:00+0000,357.0,112.0
2021-01-05 13:00:00+0000,267.0,117.0
2021-01-05 14:00:00+0000,202.0,145.0
2021-01-05 15:00:00+0000,265.0,202.0
2021-01-05 16:00:00+0000,263.0,253.0
2021-01-05 17:00:00+0000,309.0,291.0
2021-01-05 18:00:00+0000,223.0,298.0
2021-01-05 19:00:00+0000,137.0,283.0
2021-01-05 20:00:00+0000,86.0,279.0
2021-01-05 21:00:00+0000,61.0,266.0
2021-01-05 22:00:00+0000,13.0,250.0
2021-01-05 23:00:00+0000,21.0,174.0
2021-01-06 00:00:00+0000,86.0,143.0
2021-01-06 01:00:00+0000,110.0,119.0
2021-01-06 02:00:00+0000,133.0,107.0
2021-01-06 03:00:00+0000,227.0,64.0
2021-01-06 04:00:00+0000,218.0,50.0
2021-01-06 05:00:00+0000,178.0,35.0
2021-01-06 06:00:00+0000,187.0,26.0
2021-01-06 07:00:00+0000,259.0,0.0
2021-01-06 08:00:00+0000,290.0,0.0
2021-01-06 09:00:00+0000,310.0,0.0
2021-01-06 10:00:00+0000,331.0,1.0
2021-01-06 11:00:00+0000,364.0,0.0
2021-01-06 12:00:00+0000,391.0,0.0
2021-01-06 13:00:00+0000,367.0,0.0
2021-01-06 14:00:00+0000,354.0,0.0
2021-01-06 15:00:00+0000,289.0,45.0
2021-01-06 16:00:00+0000,364.0,77.0
2021-01-06 17:00:00+0000,334.0,106.0
2021-01-06 18:00:00+0000,304.0,114.0
2021-01-06 19:00:00+0000,190.0,109.0
2021-01-06 20:00:00+0000,47.0,76.0
2021-01-06 21:00:00+0000,13.0,103.0
2021-01-06 22:00:00+0000,28.0,93.0
2021-01-06 23:00:00+0000,27.0,82.0
2021-01-07 00:00:00+0000,25.0,122.0
2021-01-07 01:00:00+0000,54.0,129.0
2021-01-07 02:00:00+0000,107.0,114.0
2021-01-07 03:00:00+0000,127.0,94.0
2021-01-07 04:00:00+0000,126.0,122.0
2021-01-07 05:00:00+0000,90.0,144.0
2021-01-07 06:00:00+0000,265.0,104.0
2021-01-07 07:00:00+0000,394.0,13.0
2021-01-07 08:00:00+0000,398.0,8.0
2021-01-07 09:00:00+0000,396.0,27.0
2021-01-07 10:00:00+0000,384.0,48.0
2021-01-07 11:00:00+0000,290.0,70.0
2021-01-07 12:00:00+0000,216.0,95.0
2021-01-07 13:00:00+0000,172.0,130.0
2021-01-07 14:00:00+0000,206.0,138.0
2021-01-07 15:00:00+0000,368.0,159.0
2021-01-07 16:00:00+0000,407.0,202.0
2021-01-07 17:00:00+0000,376.0,212.0
2021-01-07 18:00:00+0000,314.0,201.0
2021-01-07 19:00:00+0000,235.0,155.0
2021-01-07 20:00:00+0000,95.0,118.0
2021-01-07 21:00:00+0000,62.0,103.0
2021-01-07 22:00:00+0000,33.0,73.0
2021-01-07 23:00:00+0000,95.0,6.0
2021-01-08 00:00:00+0000,126.0,0.0
2021-01-08 01:00:00+0000,134.0,0.0
2021-01-08 02:00:00+0000,178.0,0.0
2021-01-08 03:00:00+0000,233.0,0.0
2021-01-08 04:00:00+0000,231.0,0.0
2021-01-08 05:00:00+0000,268.0,0.0
2021-01-08 06:00:00+0000,559.0,0.0
2021-01-08 07:00:00+0000,653.0,0.0
2021-01-08 08:00:00+0000,667.0,0.0
2021-01-08 09:00:00+0000,651.0,0.0
2021-01-08 10:00:00+0000,621.0,0.0
2021-01-08 11:00:00+0000,593.0,0.0
2021-01-08 12:00:00+0000,566.0,0.0
2021-01-08 13:00:00+0000,86.0,174.0
2021-01-08 14:00:00+0000,329.0,114.0
2021-01-08 15:00:00+0000,616.0,0.0
2021-01-08 16:00:00+0000,659.0,26.0
2021-01-08 17:00:00+0000,614.0,71.0
2021-01-08 18:00:00+0000,537.0,77.0
2021-01-08 19:00:00+0000,430.0,42.0
2021-01-08 20:00:00+0000,279.0,34.0
2021-01-08 21:00:00+0000,188.0,42.0
2021-01-08 22:00:00+0000,175.0,50.0
2021-01-08 23:00:00+0000,189.0,13.0
2021-01-09 00:00:00+0000,189.0,24.0
2021-01-09 01:00:00+0000,220.0,0.0
2021-01-09 02:00:00+0000,215.0,0.0
2021-01-09 03:00:00+0000,239.0,0.0
2021-01-09 04:00:00+0000,302.0,1.0
2021-01-09 05:00:00+0000,275.0,4.0
2021-01-09 06:00:00+0000,245.0,4.0
2021-01-09 07:00:00+0000,333.0,0.0
2021-01-09 08:00:00+0000,376.0,0.0
2021-01-09 09:00:00+0000,368.0,16.0
2021-01-09 10:00:00+0000,420.0,18.0
2021-01-09 11:00:00+0000,402.0,29.0
2021-01-09 12:00:00+0000,339.0,5.0
2021-01-09 13:00:00+0000,381.0,4.0
2021-01-09 14:00:00+0000,437.0,21.0
2021-01-09 15:00:00+0000,606.0,68.0
2021-01-09 16:00:00+0000,694.0,91.0
2021-01-09 17:00:00+0000,621.0,148.0
2021-01-09 18:00:00+0000,511.0,138.0
2021-01-09 19:00:00+0000,366.0,124.0
2021-01-09 20:00:00+0000,228.0,50.0
2021-01-09 21:00:00+0000,193.0,75.0
2021-01-09 22:00:00+0000,154.0,92.0
2021-01-09 23:00:00+0000,116.0,110.0
2021-01-10 00:00:00+0000,102.0,139.0
2021-01-10 01:00:00+0000,71.0,129.0
2021-01-10 02:00:00+0000,69.0,93.0
2021-01-10 03:00:00+0000,87.0,85.0
2021-01-10 04:00:00+0000,105.0,78.0
2021-01-10 05:00:00+0000,86.0,94.0
2021-01-10 06:00:00+0000,30.0,87.0
2021-01-10 07:00:00+0000,15.0,71.0
2021-01-10 08:00:00+0000,46.0,90.0
2021-01-10 09:00:00+0000,17.0,98.0
2021-01-10 10:00:00+0000,23.0,91.0
2021-01-10 11:00:00+0000,35.0,76.0
2021-01-10 12:00:00+0000,21.0,78.0
2021-01-10 13:00:00+0000,61.0,72.0
2021-01-10 14:00:00+0000,54.0,86.0
2021-01-10 15:00:00+0000,120.0,87.0
2021-01-10 16:00:00+0000,228.0,165.0
2021-01-10 17:00:00+0000,245.0,190.0
2021-01-10 18:00:00+0000,198.0,199.0
2021-01-10 19:00:00+0000,156.0,179.0
2021-01-10 20:00:00+0000,115.0,158.0
2021-01-10 21:00:00+0000,89.0,144.0
2021-01-10 22:00:00+0000,65.0,148.0
2021-01-10 23:00:00+0000,81.0,154.0
2021-01-11 00:00:00+0000,94.0,151.0
2021-01-11 01:00:00+0000,149.0,124.0
2021-01-11 02:00:00+0000,161.0,104.0
2021-01-11 03:00:00+0000,171.0,130.0
2021-01-11 04:00:00+0000,169.0,154.0
2021-01-11 05:00:00+0000,151.0,157.0
2021-01-11 06:00:00+0000,152.0,91.0
2021-01-11 07:00:00+0000,193.0,50.0
2021-01-11 08:00:00+0000,210.0,39.0
2021-01-11 09:00:00+0000,215.0,18.0
2021-01-11 10:00:00+0000,197.0,23.0
2021-01-11 11:00:00+0000,181.0,26.0
2021-01-11 12:00:00+0000,138.0,34.0
2021-01-11 13:00:00+0000,116.0,51.0
2021-01-11 14:00:00+0000,152.0,85.0
2021-01-11 15:00:00+0000,224.0,113.0
2021-01-11 16:00:00+0000,282.0,144.0
2021-01-11 17:00:00+0000,262.0,150.0
2021-01-11 18:00:00+0000,201.0,134.0
2021-01-11 19:00:00+0000,105.0,142.0
2021-01-11 20:00:00+0000,50.0,99.0
2021-01-11 21:00:00+0000,57.0,121.0
2021-01-11 22:00:00+0000,56.0,117.0
2021-01-11 23:00:00+0000,121.0,44.0
2021-01-12 00:00:00+0000,170.0,30.0
2021-01-12 01:00:00+0000,268.0,8.0
2021-01-12 02:00:00+0000,276.0,1.0
2021-01-12 03:00:00+0000,269.0,6.0
2021-01-12 04:00:00+0000,262.0,27.0
2021-01-12 05:00:00+0000,212.0,84.0
2021-01-12 06:00:00+0000,267.0,30.0
2021-01-12 07:00:00+0000,243.0,33.0
2021-01-12 08:00:00+0000,258.0,34.0
2021-01-12 09:00:00+0000,246.0,28.0
