avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
14.4,CZ,Planned maintenance,A03,,2016-03-01 00:00:00+01:00,tYUTB9S46vFQdu7JtV_ssg,182.0,Fossil Brown coal/Lignite,27W-PU-ETU2----I,Tušimice 2,ETU2_______,ETU2_G21___,1,MAW,PT1M,1,2015-12-01 00:00:00+01:00
19.4,CZ,Planned maintenance,A03,,2016-01-07 00:00:00+01:00,cLMhc9ZDjLsGleWKyIT2HA,185.0,Fossil Hard coal,27W-PU-EDET----M,Dětmarovice,EDET_______,EDET_G3____,1,MAW,PT1M,1,2015-12-21 05:00:00+01:00
47,CZ,Planned maintenance,A03,Cancelled,2016-01-01 00:00:00+01:00,jp7o9JjH9hSqsMluIZ8wOw,415.0,Fossil Brown coal/Lignite,27W-PU-EME3----W,Mělník 3,EME3_______,EME3_G11___,1,MAW,PT1M,2,2015-12-31 06:00:00+01:00
415.4,CZ,Planned maintenance,A03,Cancelled,2017-01-01 00:00:00+01:00,j69gHrdl6lqYj3IqBZ5QPA,415.0,Fossil Brown coal/Lignite,27W-PU-EME3----W,Mělník 3,EME3_______,EME3_G11___,1,MAW,PT1M,2,2016-01-01 00:00:00+01:00
415.4,CZ,Planned maintenance,A03,Cancelled,2017-01-01 00:00:00+01:00,S99MaSM14vzI4yUxOpjtfQ,415.0,Fossil Brown coal/Lignite,27W-PU-EME3----W,Mělník 3,EME3_______,EME3_G11___,1,MAW,PT1M,2,2016-01-01 00:00:00+01:00
415.4,CZ,Planned maintenance,A03,Cancelled,2017-01-01 00:00:00+01:00,CZUELeTH_s4GsPrekWjtWw,415.0,Fossil Brown coal/Lignite,27W-PU-EME3----W,Mělník 3,EME3_______,EME3_G11___,1,MAW,PT1M,2,2016-01-01 00:00:00+01:00
415.4,CZ,Planned maintenance,A03,Cancelled,2017-01-01 00:00:00+01:00,ENQbpOFu_W_we31r3niowA,415.0,Fossil Brown coal/Lignite,27W-PU-EME3----W,Mělník 3,EME3_______,EME3_G11___,1,MAW,PT1M,2,2016-01-01 00:00:00+01:00
57.9,CZ,Planned maintenance,A03,Cancelled,2016-02-20 00:00:00+01:00,r5CbINkFl80zAIiWwzDqdA,184.0,Fossil Brown coal/Lignite,27W-PU-EPR2----Y,Prunéřov 2,EPR2_______,EPR2_G21___,1,MAW,PT1M,2,2015-11-10 00:00:00+01:00
28.6,CZ,Planned maintenance,A03,Cancelled,2016-02-13 00:00:00+01:00,aANv74SEvqGEJoyP29162g,189.0,Fossil Brown coal/Lignite,27W-PU-EPR2----Y,Prunéřov 2,EPR2_______,EPR2_G22___,1,MAW,PT1M,2,2015-11-16 00:00:00+01:00
186.1,CZ,Planned maintenance,A03,Cancelled,2016-01-07 00:00:00+01:00,6l7I2rJq0oi-DekS0ZHEEg,185.0,Fossil Hard coal,27W-PU-EDET----M,Dětmarovice,EDET_______,EDET_G1____,1,MAW,PT1M,2,2015-12-21 00:00:00+01:00
57.9,CZ,Planned maintenance,A03,Cancelled,2016-02-20 00:00:00+01:00,09oBVdEFY59r17JZ4x3tmg,184.0,Fossil Brown coal/Lignite,27W-PU-EPR2----Y,Prunéřov 2,EPR2_______,EPR2_G21___,1,MAW,PT1M,2,2015-11-10 00:00:00+01:00
28.6,CZ,Planned maintenance,A03,Cancelled,2016-02-13 00:00:00+01:00,fgNTqXCkpLb0Mc77O6Es1w,189.0,Fossil Brown coal/Lignite,27W-PU-EPR2----Y,Prunéřov 2,EPR2_______,EPR2_G22___,1,MAW,PT1M,2,2015-11-16 00:00:00+01:00
186.1,CZ,Planned maintenance,A03,Cancelled,2016-01-07 00:00:00+01:00,Vn-emaAC1ExFqG3ewG3rCA,185.0,Fossil Hard coal,27W-PU-EDET----M,Dětmarovice,EDET_______,EDET_G1____,1,MAW,PT1M,2,2015-12-21 00:00:00+01:00
28.6,CZ,Planned maintenance,A03,Cancelled,2016-02-13 00:00:00+01:00,TD89yvUydJKzA4q5iLGkNw,189.0,Fossil Brown coal/Lignite,27W-PU-EPR2----Y,Prunéřov 2,EPR2_______,EPR2_G22___,1,MAW,PT1M,2,2015-11-16 00:00:00+01:00
