avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,SE,Planned maintenance,A03,,2017-06-30 16:00:00+02:00,bOh8NcJyU0U5OTR-CURp0Q,250.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,Rya KVV,1,MAW,PT1M,1,2017-05-08 07:00:00+02:00
0,SE,Planned maintenance,A03,Cancelled,2017-07-15 16:00:00+02:00,IDbOGVWcCd4bCrCyEolFmA,1167.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,Forsmark block 3 G31,1,MAW,PT1M,2,2017-07-02 16:00:00+02:00
0,SE,Planned maintenance,A03,Cancelled,2017-09-19 23:59:00+02:00,pWoBKLP25xHmnxyqALK_YA,638.0,Nuclear,46WPU0000000060R,SE3,Oskarshamn 2,Oskarshamn G2,1,MAW,PT1M,2,2017-08-20 00:00:00+02:00
0,SE,Planned maintenance,A03,,2017-06-30 00:00:00+02:00,RaOWOQbY4q578dN8AWY11A,250.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,Rya KVV,1,MAW,PT1M,1,2017-05-01 00:00:00+02:00
0,SE,Planned maintenance,A03,,2017-09-15 16:00:00+02:00,9-Jmgiibk1AukLFWNHDR5A,150.0,Hydro Water Reservoir,46WPU0000000032W,SE1,Messaure,Messaure G2,1,MAW,PT1M,1,2017-09-11 07:00:00+02:00
0,SE,Planned maintenance,A03,,2017-08-25 16:00:00+02:00,TDOj6u8DxyT4Llv7XY2j-g,146.0,Hydro Water Reservoir,46WPU0000000035Q,SE1,Letsi,Letsi G1,1,MAW,PT1M,1,2017-08-21 07:00:00+02:00
0,SE,Planned maintenance,A03,,2017-06-16 16:00:00+02:00,54-u-LSmAufITmwsylCSUA,179.0,Hydro Water Reservoir,46WPU0000000031Y,SE1,Ligga,Ligga G3,1,MAW,PT1M,1,2017-06-12 07:00:00+02:00
0,SE,Planned maintenance,A03,Cancelled,2017-01-02 15:00:00+01:00,je2u6SV8U80xx-na5aNXYg,150.0,Hydro Water Reservoir,46WPU0000000032W,SE1,Messaure,Messaure G2,1,MAW,PT1M,4,2016-10-03 03:00:00+02:00
0,SE,Planned maintenance,A03,,2017-09-28 17:00:00+02:00,Lqf4Zg7EuluCV20If2kf1A,335.0,Fossil Oil,46WPU0000000005Z,SE4,Karlshamn,Karlshamn G2,1,MAW,PT1M,1,2017-09-25 07:00:00+02:00
0,SE,Planned maintenance,A03,,2017-09-28 17:00:00+02:00,_ssqntfOUAq7pwu3FFREkQ,335.0,Fossil Oil,46WPU0000000005Z,SE4,Karlshamn,Karlshamn G3,1,MAW,PT1M,1,2017-09-25 07:00:00+02:00
0,SE,Planned maintenance,A03,,2017-01-09 07:00:00+01:00,xwqs1qOY-0W6fBjHtox4RA,162.0,Hydro Water Reservoir,46WPU0000000027P,SE1,Vietas,Vietas G1,1,MAW,PT1M,5,2016-03-15 07:00:00+01:00
330,SE,Planned maintenance,A03,,2017-01-25 15:00:00+01:00,Ct8PI1xK_fRaglP6-VE-YA,473.0,Nuclear,46WPU0000000059C,SE3,Oskarshamn 1,Oskarshamn G1Ö+G1V,1,MAW,PT1M,1,2017-01-25 09:00:00+01:00
