avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,NO,Planned maintenance,A03,Cancelled,2018-09-14 14:00:00+02:00,H_qFP4hnNTnHlDiWELJuOQ,125.0,Hydro Water Reservoir,50WP00000000552X,Rana,Rana,Rana G2 Hydro,1,MAW,PT1M,2,2018-08-06 07:00:00+02:00
0,NO,Planned maintenance,A03,Cancelled,2018-03-23 14:00:00+01:00,lRtHD618CdwHUWmwsFvr7w,125.0,Hydro Water Reservoir,50WP00000000552X,Rana,Rana,Rana G4 Hydro,1,MAW,PT1M,2,2018-02-12 07:00:00+01:00
0,NO,Planned maintenance,A03,,2018-06-12 15:00:00+02:00,TeEkqiQK77EJ8p0mZanI7w,100.0,Hydro Water Reservoir,50WP00000000633X,Skjomen,Skjomen,Skjomen G1 Hydro,1,MAW,PT1M,1,2018-06-04 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-04-27 15:00:00+02:00,aNsF-a6Brs4PbsWzEgVSww,128.0,Hydro Water Reservoir,50WP000000004512,Mauranger,Mauranger,Maurangeg1 Hydro,1,MAW,PT1M,1,2018-04-23 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-04-27 15:00:00+02:00,vS0LEf4tSH0NtVm3RtlW0A,360.0,Hydro Water Reservoir,50WP000000008791,Sy-Sima,Sy-Sima,Sima G1 Hydro,1,MAW,PT1M,1,2018-04-23 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-06-08 15:00:00+02:00,ngJqB1B-uWddMN1LVf9Hlw,102.0,Hydro Water Reservoir,50WP00000000807Q,Vemork,Vemork,Vemork G1 Hydro,1,MAW,PT1M,1,2018-06-04 08:00:00+02:00
0,NO,Planned maintenance,A03,,2018-08-24 15:00:00+02:00,nXeNUJBJO46mrCNZcl6YBA,400.0,Hydro Water Reservoir,50WP00000000695B,Svartisen,Svartisen,Svartiseg2 Hydro,1,MAW,PT1M,2,2018-08-13 08:00:00+02:00
0,NO,Planned maintenance,A03,,2018-05-04 15:00:00+02:00,143JBp8iRNnP1fpl-cIttA,128.0,Hydro Water Reservoir,50WP000000004512,Mauranger,Mauranger,Maurangeg2 Hydro,1,MAW,PT1M,2,2018-05-02 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-04-13 16:00:00+02:00,Z9jdlknmI7eNmpV8fE-g-A,106.0,Hydro Water Reservoir,50WP000000000673,Borgund,Borgund,Borgund G1 Hydro,1,MAW,PT1M,1,2018-04-09 07:30:00+02:00
0,NO,Planned maintenance,A03,,2018-04-20 18:00:00+02:00,0HZs2VoFgCxuMJ5ZDAaKyA,106.0,Hydro Water Reservoir,50WP000000000673,Borgund,Borgund,Borgund G2 Hydro,1,MAW,PT1M,1,2018-04-16 07:30:00+02:00
0,NO,Planned maintenance,A03,,2018-05-25 15:00:00+02:00,qWPZPJ4hDMcn0akCl7V4VA,100.0,Hydro Water Reservoir,50WP00000000633X,Skjomen,Skjomen,Skjomen G3 Hydro,1,MAW,PT60M,1,2018-05-22 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-08-31 17:00:00+02:00,c8gdt4Welkddqyl2u3pKUg,150.0,Hydro Pumped Storage,50WP00000000023N,Aurland3,Aurland3,Aurland3g2 Hydro,1,MAW,PT60M,1,2018-08-20 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-01-19 15:00:00+01:00,1hQNkMUDkdxiNuP0TKRSVg,110.0,Hydro Water Reservoir,50WP00000000745M,Tokke,Tokke,Tokke G2 Hydro,1,MAW,PT60M,12,2017-10-03 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-01-02 12:00:00+01:00,eKfX4gr6j7_Dk-RRQ476wQ,290.0,Hydro Water Reservoir,50WP000000008783,Lang Sima,Lang Sima,Sima G3 Hydro,1,MAW,PT60M,1,2018-01-02 07:00:00+01:00
0,NO,Planned maintenance,A03,,2018-01-09 11:00:00+01:00,vr0p9UgLE1DOsu2lDFqT0g,100.0,Hydro Water Reservoir,50WP00000000633X,Skjomen,Skjomen,Skjomen G3 Hydro,1,MAW,PT60M,1,2018-01-09 09:00:00+01:00
0,NO,Planned maintenance,A03,,2018-01-09 13:00:00+01:00,2CT9L6wybJg-3hKyyPrndw,100.0,Hydro Water Reservoir,50WP00000000633X,Skjomen,Skjomen,Skjomen G1 Hydro,1,MAW,PT60M,1,2018-01-09 12:00:00+01:00
0,NO,Planned maintenance,A03,,2018-04-11 15:00:00+02:00,vnoHZSD9_PBUpKNZZn6D3Q,140.0,Hydro Pumped Storage,50WP00000000023N,Aurland3,Aurland3,Aurland3g1 Hydro,1,MAW,PT60M,2,2018-04-09 07:00:00+02:00
0,NO,Planned maintenance,A03,,2018-04-13 17:00:00+02:00,pr__0WZXhpBAK3Xv6W9Pvw,150.0,Hydro Pumped Storage,50WP00000000023N,Aurland3,Aurland3,Aurland3g2 Hydro,1,MAW,PT60M,2,2018-04-11 15:00:00+02:00
0,NO,Unplanned outage,A03,,2018-01-04 02:00:00+01:00,K_sUZZXgVA2BHG-CYHCfng,225.0,Hydro Water Reservoir,50WP00000000498D,Nedre Rossaga,Nedre Rossaga,Nedrerosg1 Hydro,1,MAW,PT15M,1,2018-01-04 01:45:00+01:00
0,NO,Unplanned outage,A03,,2018-01-04 08:00:00+01:00,K_sUZZXgVA2BHG-CYHCfng,225.0,Hydro Water Reservoir,50WP00000000498D,Nedre Rossaga,Nedre Rossaga,Nedrerosg1 Hydro,1,MAW,PT60M,1,2018-01-04 02:00:00+01:00
