avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,EE,Planned maintenance,A03,Cancelled,2021-01-09 01:00:00+02:00,jLr-Abmb5zWdIcSSBGd08A,164.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG3,1,MAW,PT60M,3,2020-12-07 01:00:00+02:00
65,EE,Unplanned outage,A03,,2019-12-30 09:00:00+02:00,oC1eaxh3tct5tbuMmyjwiA,194.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG8,1,MAW,PT1M,4,2019-12-30 08:57:00+02:00
65,EE,Unplanned outage,A03,,2020-01-01 16:00:00+02:00,oC1eaxh3tct5tbuMmyjwiA,194.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG8,1,MAW,PT60M,4,2019-12-30 09:00:00+02:00
65,EE,Unplanned outage,A03,,2020-01-09 02:30:00+02:00,EEvtkvOhxLwVSR3emx-ZtQ,194.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG8,1,MAW,PT1M,1,2020-01-09 02:20:00+02:00
65,EE,Unplanned outage,A03,,2020-01-09 03:00:00+02:00,EEvtkvOhxLwVSR3emx-ZtQ,194.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG8,1,MAW,PT30M,1,2020-01-09 02:30:00+02:00
65,EE,Unplanned outage,A03,,2020-01-09 13:00:00+02:00,EEvtkvOhxLwVSR3emx-ZtQ,194.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG8,1,MAW,PT60M,1,2020-01-09 03:00:00+02:00
0,EE,Unplanned outage,A03,,2020-01-07 15:30:00+02:00,3wltWO5TztKL8TGjm5mxxw,167.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG7,1,MAW,PT1M,2,2020-01-07 15:20:00+02:00
0,EE,Unplanned outage,A03,,2020-01-07 16:00:00+02:00,3wltWO5TztKL8TGjm5mxxw,167.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG7,1,MAW,PT30M,2,2020-01-07 15:30:00+02:00
0,EE,Unplanned outage,A03,,2020-01-09 15:00:00+02:00,3wltWO5TztKL8TGjm5mxxw,167.0,Fossil Oil shale,38W-MT--EEJ----3,Narva,Eesti Elektrijaam,Eesti Elektrijaam- TG7,1,MAW,PT60M,2,2020-01-07 16:00:00+02:00
0,EE,Unplanned outage,A03,,2020-01-10 20:30:00+02:00,1upM_Fh4T4OkYwcauSqrlw,270.0,Fossil Oil shale,38W-KTJ-AUVERE-Z,Auvere,Auvere kondensatsioonielektrijaam,Auvere EJ- G1,1,MAW,PT1M,2,2020-01-10 20:25:00+02:00
0,EE,Unplanned outage,A03,,2020-01-10 21:00:00+02:00,1upM_Fh4T4OkYwcauSqrlw,270.0,Fossil Oil shale,38W-KTJ-AUVERE-Z,Auvere,Auvere kondensatsioonielektrijaam,Auvere EJ- G1,1,MAW,PT30M,2,2020-01-10 20:30:00+02:00
0,EE,Unplanned outage,A03,,2020-01-10 21:10:00+02:00,1upM_Fh4T4OkYwcauSqrlw,270.0,Fossil Oil shale,38W-KTJ-AUVERE-Z,Auvere,Auvere kondensatsioonielektrijaam,Auvere EJ- G1,1,MAW,PT1M,2,2020-01-10 21:00:00+02:00
0,EE,Unplanned outage,A03,,2020-01-10 22:35:00+02:00,QZhZfTFsZ3-9iSppjPYoGg,270.0,Fossil Oil shale,38W-KTJ-AUVERE-Z,Auvere,Auvere kondensatsioonielektrijaam,Auvere EJ- G1,1,MAW,PT1M,2,2020-01-10 22:30:00+02:00
0,EE,Unplanned outage,A03,,2020-01-10 21:30:00+02:00,QZhZfTFsZ3-9iSppjPYoGg,270.0,Fossil Oil shale,38W-KTJ-AUVERE-Z,Auvere,Auvere kondensatsioonielektrijaam,Auvere EJ- G1,1,MAW,PT1M,2,2020-01-10 21:19:00+02:00
