avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,PT,Planned maintenance,A03,,2022-03-04 18:00:00+00:00,Sm0jHpUTUUk82r-6yrnqYw,390.0,Hydro Pumped Storage,16WFRADE2------F,VIEIRA DO MINHO,Frades II,Frades II - G2,1,MAW,PT60M,1,2022-02-28 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-03-30 18:00:00+01:00,byTcbYpi-3bmdby06DKKNw,112.0,Hydro Pumped Storage,16WAGUIE-------3,PENACOVA,Aguieira,Aguieira - G3,1,MAW,PT60M,1,2022-03-30 09:00:00+01:00
0,PT,Planned maintenance,A03,,2022-02-23 18:00:00+00:00,56eD8Gk4KdkPaXH8ms5sxA,112.0,Hydro Pumped Storage,16WAGUIE-------3,PENACOVA,Aguieira,Aguieira - G1,1,MAW,PT60M,1,2022-02-23 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-03-02 18:00:00+00:00,vI3mRoRo5vn3zO3wqyZgqA,112.0,Hydro Pumped Storage,16WAGUIE-------3,PENACOVA,Aguieira,Aguieira - G2,1,MAW,PT60M,1,2022-03-02 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-02-04 18:00:00+00:00,Tb8PBoQ45G36dEJOVUHSug,54.0,Hydro Water Reservoir,16WCABRIL------U,SERTÃ,Cabril,Cabril - G2,1,MAW,PT60M,1,2022-02-04 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-01-31 18:00:00+00:00,CCz-SxuKB342_5hHG_iopA,54.0,Hydro Water Reservoir,16WCABRIL------U,SERTÃ,Cabril,Cabril - G1,1,MAW,PT60M,1,2022-01-31 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-03-01 18:00:00+00:00,PEfkVfrTpe3neUQ5Opi1-g,53.0,Hydro Water Reservoir,16WCBODE-------5,TOMAR,Castelo Bode,Castelo Bode - G1,1,MAW,PT60M,1,2022-03-01 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-03-08 18:00:00+00:00,7ayMlgoeF7cWoGWyoI7MsQ,53.0,Hydro Water Reservoir,16WCBODE-------5,TOMAR,Castelo Bode,Castelo Bode - G2,1,MAW,PT60M,1,2022-03-08 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-04-29 18:00:00+01:00,t15oxUZB7XFdIKYEmW5nQw,53.0,Hydro Water Reservoir,16WCBODE-------5,TOMAR,Castelo Bode,Castelo Bode - G3,1,MAW,PT60M,1,2022-04-04 09:00:00+01:00
0,PT,Planned maintenance,A03,,2022-02-25 18:00:00+00:00,HTKTFmhqJavB3yPRFciGLA,44.0,Hydro Run-of-river and poundage,16W-FRATEL-----A,NISA,Fratel,Fratel - G3,1,MAW,PT60M,1,2022-02-25 09:00:00+00:00
0,PT,Planned maintenance,A03,,2022-02-16 18:00:00+00:00,zEewFroGnOsUWKG2simklA,44.0,Hydro Run-of-river and poundage,16W-FRATEL-----A,NISA,Fratel,Fratel - G2,1,MAW,PT60M,1,2022-02-16 09:00:00+00:00
