avail_qty,end,nominal_power,production_resource_name,start
0.0,2023-12-31 23:00:00+0000,140.0,KW Leopoldau,2023-01-01 00:00:00+0000
0.0,2023-05-23 22:00:00+0000,225.0,Kraftwerk Theiß,2023-04-04 22:00:00+0000
0.0,2023-03-31 22:00:00+0000,165.0,FHKW Mellach,2023-01-01 00:00:00+0000
0.0,2023-01-02 04:00:00+0000,295.0,KW Simmering,2023-01-02 03:45:00+0000
0.0,2023-01-02 06:15:00+0000,295.0,KW Simmering,2023-01-02 04:00:00+0000
106.0,2023-01-02 04:00:00+0000,250.0,KW Simmering,2023-01-02 03:45:00+0000
106.0,2023-01-02 06:15:00+0000,250.0,KW Simmering,2023-01-02 04:00:00+0000
120.0,2023-01-05 12:15:00+0000,231.0,Roßhag,2023-01-05 10:15:00+0000
120.0,2023-01-06 08:30:00+0000,231.0,Roßhag,2023-01-06 08:00:00+0000
0.0,2023-01-07 01:45:00+0000,480.0,Limberg II,2023-01-06 23:45:00+0000
240.0,2023-01-08 03:30:00+0000,480.0,Limberg II,2023-01-08 00:30:00+0000
240.0,2023-01-08 04:45:00+0000,480.0,Limberg II,2023-01-08 04:00:00+0000
120.0,2023-01-08 14:00:00+0000,231.0,Roßhag,2023-01-08 13:30:00+0000
120.0,2023-01-08 16:15:00+0000,231.0,Roßhag,2023-01-08 15:45:00+0000
0.0,2023-01-09 23:45:00+0000,480.0,Limberg II,2023-01-09 21:45:00+0000
547.5,2023-01-10 11:15:00+0000,730.0,Malta-Hauptstufe,2023-01-10 08:00:00+0000
547.5,2023-01-10 15:30:00+0000,730.0,Malta-Hauptstufe,2023-01-10 12:00:00+0000
547.5,2023-01-14 18:45:00+0000,730.0,Malta-Hauptstufe,2023-01-14 17:00:00+0000
215.0,2023-01-15 17:45:00+0000,430.0,Reisseck 2,2023-01-15 15:00:00+0000
0.0,2023-01-15 19:15:00+0000,480.0,Limberg II,2023-01-15 17:45:00+0000
80.0,2023-01-16 10:00:00+0000,200.2,Gerlos,2023-01-16 09:00:00+0000
