end,production_resource_name,start,avail_qty,nominal_power
2023-04-02 09:00:00+00:00,Alholmens Kraft,2023-03-24 07:00:00+00:00,0,240.0
2023-04-24 05:00:00+00:00,Alholmens Kraft,2023-04-24 04:30:00+00:00,0,240.0
2023-05-06 22:00:00+00:00,Alholmens Kraft,2023-04-24 05:00:00+00:00,0,240.0
2023-06-26 22:00:00+00:00,Alholmens Kraft,2023-05-29 22:00:00+00:00,0,240.0
2023-06-28 02:15:00+00:00,Alholmens Kraft,2023-06-28 02:00:00+00:00,0,240.0
2023-06-28 02:30:00+00:00,Alholmens Kraft,2023-06-28 02:15:00+00:00,0,240.0
2023-06-28 03:00:00+00:00,Alholmens Kraft,2023-06-28 02:30:00+00:00,0,240.0
2023-06-28 04:00:00+00:00,Alholmens Kraft,2023-06-28 03:00:00+00:00,0,240.0
2023-06-28 08:00:00+00:00,Alholmens Kraft,2023-06-28 07:45:00+00:00,0,240.0
2023-06-28 09:00:00+00:00,Alholmens Kraft,2023-06-28 08:00:00+00:00,0,240.0
2023-08-11 11:15:00+00:00,Alholmens Kraft,2023-08-11 11:00:00+00:00,0,240.0
2023-08-11 11:30:00+00:00,Alholmens Kraft,2023-08-11 11:15:00+00:00,0,240.0
2023-08-11 12:00:00+00:00,Alholmens Kraft,2023-08-11 11:30:00+00:00,0,240.0
2023-08-18 13:00:00+00:00,Alholmens Kraft,2023-08-11 12:00:00+00:00,0,240.0
2023-08-18 13:15:00+00:00,Alholmens Kraft,2023-08-18 13:00:00+00:00,0,240.0
2023-08-18 13:15:00+00:00,Alholmens Kraft,2023-08-18 13:15:00+00:00,0,240.0
2023-11-20 09:30:00+00:00,Alholmens Kraft,2023-11-20 09:00:00+00:00,0,240.0
2023-11-20 09:45:00+00:00,Alholmens Kraft,2023-11-20 09:30:00+00:00,0,240.0
2023-11-28 06:00:00+00:00,Alholmens Kraft,2023-11-28 05:30:00+00:00,96,240.0
2023-11-28 16:00:00+00:00,Alholmens Kraft,2023-11-28 06:00:00+00:00,96,240.0
2023-12-04 07:15:00+00:00,Alholmens Kraft,2023-12-04 07:00:00+00:00,0,240.0
2023-12-04 07:30:00+00:00,Alholmens Kraft,2023-12-04 07:15:00+00:00,0,240.0
2023-12-04 08:00:00+00:00,Alholmens Kraft,2023-12-04 07:30:00+00:00,0,240.0
2024-01-01 00:00:00+00:00,Alholmens Kraft,2023-12-13 21:00:00+00:00,0,240.0
2023-07-03 10:30:00+00:00,Forssa,2023-07-03 10:15:00+00:00,0,163.0
2023-07-03 11:00:00+00:00,Forssa,2023-07-03 10:30:00+00:00,0,163.0
2023-08-31 08:00:00+00:00,Forssa,2023-07-03 11:00:00+00:00,0,163.0
2023-01-13 15:00:00+00:00,Hanasaari,2023-01-13 14:30:00+00:00,0,105.0
2023-01-13 17:00:00+00:00,Hanasaari,2023-01-13 15:00:00+00:00,0,105.0
2023-02-24 07:00:00+00:00,Hanasaari,2023-02-15 22:00:00+00:00,0,105.0
2023-02-24 07:15:00+00:00,Hanasaari,2023-02-24 07:00:00+00:00,0,105.0
2023-10-01 20:15:00+00:00,Loviisa 1,2023-10-01 20:00:00+00:00,0,248.0
2023-10-01 20:30:00+00:00,Loviisa 1,2023-10-01 20:15:00+00:00,0,248.0
2023-10-01 21:00:00+00:00,Loviisa 1,2023-10-01 20:30:00+00:00,0,248.0
2023-10-07 13:00:00+00:00,Loviisa 1,2023-10-01 21:00:00+00:00,0,248.0
2023-11-07 18:00:00+00:00,Loviisa 1,2023-11-07 10:00:00+00:00,0,248.0
2023-11-07 18:15:00+00:00,Loviisa 1,2023-11-07 18:00:00+00:00,0,248.0
2023-11-07 18:30:00+00:00,Loviisa 1,2023-11-07 18:15:00+00:00,0,248.0
2023-01-03 14:15:00+00:00,Meri-Pori,2023-01-03 14:00:00+00:00,410,565.0
2023-01-03 14:30:00+00:00,Meri-Pori,2023-01-03 14:15:00+00:00,410,565.0
2023-01-03 15:00:00+00:00,Meri-Pori,2023-01-03 14:30:00+00:00,410,565.0
2023-01-10 09:00:00+00:00,Meri-Pori,2023-01-03 15:00:00+00:00,410,565.0
2023-01-10 09:15:00+00:00,Meri-Pori,2023-01-10 09:00:00+00:00,410,565.0
2023-01-19 16:15:00+00:00,Meri-Pori,2023-01-19 16:00:00+00:00,360,565.0
2023-01-19 16:30:00+00:00,Meri-Pori,2023-01-19 16:15:00+00:00,360,565.0
2023-01-19 17:00:00+00:00,Meri-Pori,2023-01-19 16:30:00+00:00,360,565.0
2023-01-19 18:00:00+00:00,Meri-Pori,2023-01-19 17:00:00+00:00,360,565.0
2023-01-20 08:00:00+00:00,Meri-Pori,2023-01-20 07:45:00+00:00,450,565.0
2023-01-23 10:00:00+00:00,Meri-Pori,2023-01-20 08:00:00+00:00,450,565.0
2023-01-31 22:00:00+00:00,Meri-Pori,2023-01-31 21:45:00+00:00,260,565.0
2023-02-16 10:00:00+00:00,Meri-Pori,2023-01-31 22:00:00+00:00,260,565.0
2023-02-22 06:30:00+00:00,Meri-Pori,2023-02-22 06:15:00+00:00,430,565.0
2023-02-22 07:30:00+00:00,Meri-Pori,2023-02-22 06:30:00+00:00,430,565.0
2023-04-14 13:00:00+00:00,Meri-Pori,2023-04-12 04:00:00+00:00,0,565.0
2023-11-30 10:00:00+00:00,Meri-Pori,2023-09-30 22:00:00+00:00,0,565.0
2023-12-22 18:00:00+00:00,Meri-Pori,2023-12-04 02:00:00+00:00,0,565.0
2023-01-22 08:15:00+00:00,Naantali,2023-01-22 08:00:00+00:00,0,146.0
2023-01-22 08:30:00+00:00,Naantali,2023-01-22 08:15:00+00:00,0,146.0
2023-01-22 09:00:00+00:00,Naantali,2023-01-22 08:30:00+00:00,0,146.0
2023-01-22 15:00:00+00:00,Naantali,2023-01-22 09:00:00+00:00,0,146.0
2023-05-15 16:15:00+00:00,Naantali,2023-05-15 16:15:00+00:00,0,146.0
2023-05-15 16:30:00+00:00,Naantali,2023-05-15 16:15:00+00:00,0,146.0
2023-05-15 17:00:00+00:00,Naantali,2023-05-15 16:30:00+00:00,0,146.0
2023-05-16 09:00:00+00:00,Naantali,2023-05-15 17:00:00+00:00,0,146.0
2023-05-16 17:15:00+00:00,Naantali,2023-05-16 17:15:00+00:00,0,146.0
2023-05-16 17:30:00+00:00,Naantali,2023-05-16 17:15:00+00:00,0,146.0
2023-05-16 18:00:00+00:00,Naantali,2023-05-16 17:30:00+00:00,0,146.0
2023-05-17 07:00:00+00:00,Naantali,2023-05-16 18:00:00+00:00,0,146.0
2023-05-17 07:15:00+00:00,Naantali,2023-05-17 07:00:00+00:00,0,146.0
2023-08-23 15:00:00+00:00,Naantali,2023-06-05 07:00:00+00:00,0,146.0
2023-10-09 19:00:00+00:00,Naantali,2023-10-09 15:00:00+00:00,0,251.0
2023-10-09 15:00:00+00:00,Naantali,2023-10-01 21:00:00+00:00,0,105.0
2023-10-29 21:00:00+00:00,Naantali,2023-10-09 19:00:00+00:00,0,105.0
2023-10-29 21:30:00+00:00,Naantali,2023-10-29 21:00:00+00:00,0,105.0
2023-10-29 21:45:00+00:00,Naantali,2023-10-29 21:30:00+00:00,0,105.0
2023-10-29 22:00:00+00:00,Naantali,2023-10-29 21:45:00+00:00,0,105.0
2023-12-15 16:00:00+00:00,Naantali,2023-12-14 01:00:00+00:00,0,146.0
2023-12-15 16:30:00+00:00,Naantali,2023-12-15 16:00:00+00:00,0,146.0
2023-12-15 16:45:00+00:00,Naantali,2023-12-15 16:30:00+00:00,0,146.0
2023-02-03 19:30:00+00:00,Olkiluoto 1,2023-02-03 19:15:00+00:00,480,890.0
2023-02-03 20:00:00+00:00,Olkiluoto 1,2023-02-03 19:30:00+00:00,480,890.0
2023-02-03 23:00:00+00:00,Olkiluoto 1,2023-02-03 20:00:00+00:00,480,890.0
2023-04-26 17:00:00+00:00,Olkiluoto 1,2023-04-16 15:00:00+00:00,0,890.0
2023-04-26 17:30:00+00:00,Olkiluoto 1,2023-04-26 17:00:00+00:00,0,890.0
2023-04-26 17:45:00+00:00,Olkiluoto 1,2023-04-26 17:30:00+00:00,0,890.0
2023-04-26 18:00:00+00:00,Olkiluoto 1,2023-04-26 17:45:00+00:00,0,890.0
2023-06-23 22:00:00+00:00,Olkiluoto 1,2023-06-23 21:30:00+00:00,745,890.0
2023-06-24 15:00:00+00:00,Olkiluoto 1,2023-06-23 22:00:00+00:00,745,890.0
2023-06-24 15:30:00+00:00,Olkiluoto 1,2023-06-24 15:00:00+00:00,745,890.0
2023-07-16 14:00:00+00:00,Olkiluoto 1,2023-07-16 13:00:00+00:00,600,890.0
2023-09-20 06:30:00+00:00,Olkiluoto 1,2023-09-20 06:15:00+00:00,460,890.0
2023-09-20 07:30:00+00:00,Olkiluoto 1,2023-09-20 06:30:00+00:00,460,890.0
2023-11-23 08:15:00+00:00,Olkiluoto 1,2023-11-23 08:00:00+00:00,600,890.0
2023-11-23 08:30:00+00:00,Olkiluoto 1,2023-11-23 08:15:00+00:00,600,890.0
2023-11-23 09:00:00+00:00,Olkiluoto 1,2023-11-23 08:30:00+00:00,600,890.0
2023-11-23 10:00:00+00:00,Olkiluoto 1,2023-11-23 09:00:00+00:00,600,890.0
2023-01-13 19:30:00+00:00,Olkiluoto 2,2023-01-13 19:15:00+00:00,470,890.0
2023-01-13 20:00:00+00:00,Olkiluoto 2,2023-01-13 19:30:00+00:00,470,890.0
2023-01-13 22:00:00+00:00,Olkiluoto 2,2023-01-13 20:00:00+00:00,470,890.0
