avail_qty,end,nominal_power,production_resource_name,start
0,2023-01-12 15:30:00+0000,225.0,KruonioHAE,2023-01-12 15:00:00+0000
0,2023-01-12 15:00:00+0000,225.0,KruonioHAE,2023-01-11 22:00:00+0000
0,2023-04-21 07:00:00+0000,225.0,KruonioHAE,2023-03-05 22:00:00+0000
0,2023-04-21 07:30:00+0000,225.0,KruonioHAE,2023-04-21 07:00:00+0000
0,2023-05-30 21:00:00+0000,300.0,Lietuvos elektrine,2023-05-28 21:00:00+0000
0,2023-06-15 04:30:00+0000,445.0,Lietuvos elektrine,2023-06-15 04:15:00+0000
0,2023-06-15 04:15:00+0000,445.0,Lietuvos elektrine,2023-06-15 04:00:00+0000
0,2023-06-15 04:00:00+0000,445.0,Lietuvos elektrine,2023-06-15 03:00:00+0000
0,2023-06-15 03:00:00+0000,445.0,Lietuvos elektrine,2023-06-15 02:59:00+0000
0,2023-07-21 07:00:00+0000,225.0,KruonioHAE,2023-07-02 21:00:00+0000
0,2023-08-23 08:30:00+0000,300.0,Lietuvos elektrine,2023-08-23 08:00:00+0000
0,2023-08-23 08:00:00+0000,300.0,Lietuvos elektrine,2023-08-22 15:00:00+0000
0,2023-08-22 15:00:00+0000,300.0,Lietuvos elektrine,2023-08-22 14:30:00+0000
0,2023-08-22 14:30:00+0000,300.0,Lietuvos elektrine,2023-08-22 14:15:00+0000
0,2023-08-23 08:45:00+0000,300.0,Lietuvos elektrine,2023-08-23 08:30:00+0000
0,2023-09-20 13:00:00+0000,445.0,Lietuvos elektrine,2023-09-20 12:30:00+0000
0,2023-09-20 14:45:00+0000,445.0,Lietuvos elektrine,2023-09-20 14:30:00+0000
0,2023-09-20 14:30:00+0000,445.0,Lietuvos elektrine,2023-09-20 14:00:00+0000
0,2023-09-20 14:00:00+0000,445.0,Lietuvos elektrine,2023-09-20 13:00:00+0000
0,2023-09-20 12:30:00+0000,445.0,Lietuvos elektrine,2023-09-20 12:15:00+0000
0,2023-09-20 12:15:00+0000,445.0,Lietuvos elektrine,2023-09-20 12:00:00+0000
0,2023-10-13 21:00:00+0000,300.0,Lietuvos elektrine,2023-10-08 21:00:00+0000
0,2023-10-16 06:00:00+0000,445.0,Lietuvos elektrine,2023-10-16 05:00:00+0000
0,2023-10-16 04:30:00+0000,445.0,Lietuvos elektrine,2023-10-16 04:15:00+0000
0,2023-10-16 05:00:00+0000,445.0,Lietuvos elektrine,2023-10-16 04:30:00+0000
0,2023-10-18 10:30:00+0000,445.0,Lietuvos elektrine,2023-10-18 10:00:00+0000
0,2023-10-18 10:45:00+0000,445.0,Lietuvos elektrine,2023-10-18 10:30:00+0000
0,2023-10-18 10:00:00+0000,445.0,Lietuvos elektrine,2023-10-18 03:00:00+0000
0,2023-10-27 05:15:00+0000,445.0,Lietuvos elektrine,2023-10-27 05:00:00+0000
0,2023-10-27 05:00:00+0000,445.0,Lietuvos elektrine,2023-10-27 04:00:00+0000
0,2023-10-27 04:00:00+0000,445.0,Lietuvos elektrine,2023-10-27 03:45:00+0000
0,2023-11-07 19:00:00+0000,445.0,Lietuvos elektrine,2023-11-06 06:00:00+0000
0,2023-11-07 19:30:00+0000,445.0,Lietuvos elektrine,2023-11-07 19:00:00+0000
0,2023-11-07 19:45:00+0000,445.0,Lietuvos elektrine,2023-11-07 19:30:00+0000
0,2023-11-13 17:15:00+0000,300.0,Lietuvos elektrine,2023-11-13 17:00:00+0000
0,2023-11-13 17:00:00+0000,300.0,Lietuvos elektrine,2023-06-11 21:00:00+0000
0,2023-11-19 22:00:00+0000,300.0,Lietuvos elektrine,2023-11-18 06:00:00+0000
200,2023-11-22 08:00:00+0000,300.0,Lietuvos elektrine,2023-11-22 07:30:00+0000
200,2023-11-22 09:00:00+0000,300.0,Lietuvos elektrine,2023-11-22 08:00:00+0000
0,2023-11-22 15:30:00+0000,300.0,Lietuvos elektrine,2023-11-22 15:15:00+0000
0,2023-11-22 13:00:00+0000,300.0,Lietuvos elektrine,2023-11-22 12:45:00+0000
0,2023-11-22 15:15:00+0000,300.0,Lietuvos elektrine,2023-11-22 15:00:00+0000
0,2023-11-22 15:00:00+0000,300.0,Lietuvos elektrine,2023-11-22 13:00:00+0000
0,2023-11-23 02:00:00+0000,300.0,Lietuvos elektrine,2023-11-23 01:30:00+0000
0,2023-11-26 09:15:00+0000,300.0,Lietuvos elektrine,2023-11-26 09:00:00+0000
0,2023-11-26 09:00:00+0000,300.0,Lietuvos elektrine,2023-11-23 02:00:00+0000
0,2023-11-27 11:30:00+0000,300.0,Lietuvos elektrine,2023-11-27 11:00:00+0000
0,2023-11-27 04:00:00+0000,300.0,Lietuvos elektrine,2023-11-27 03:30:00+0000
0,2023-11-27 11:45:00+0000,300.0,Lietuvos elektrine,2023-11-27 11:30:00+0000
0,2023-11-27 11:00:00+0000,300.0,Lietuvos elektrine,2023-11-27 04:00:00+0000
0,2023-11-29 13:00:00+0000,445.0,Lietuvos elektrine,2023-11-19 22:00:00+0000
0,2023-12-18 08:00:00+0000,300.0,Lietuvos elektrine,2023-12-18 07:45:00+0000
0,2023-12-18 13:00:00+0000,300.0,Lietuvos elektrine,2023-12-18 08:00:00+0000
0,2023-12-18 13:30:00+0000,300.0,Lietuvos elektrine,2023-12-18 13:00:00+0000
0,2023-12-18 13:45:00+0000,300.0,Lietuvos elektrine,2023-12-18 13:30:00+0000
0,2023-12-20 08:30:00+0000,445.0,Lietuvos elektrine,2023-12-20 08:00:00+0000
0,2023-12-20 08:00:00+0000,445.0,Lietuvos elektrine,2023-12-19 06:00:00+0000
0,2023-12-31 23:59:00+0000,225.0,KruonioHAE,2023-07-24 05:00:00+0000
