avail_qty,end,nominal_power,production_resource_name,start
0.0,2023-01-01 00:00:00+01:00,348.0,Moerdijk,2022-01-01 00:00:00+01:00
0.0,2024-01-01 00:00:00+01:00,348.0,Moerdijk,2023-01-01 00:00:00+01:00
0.0,2025-01-01 00:00:00+01:00,128.0,NAM Schoonebeek,2022-01-01 00:00:00+01:00
0.0,2023-02-20 00:00:00+01:00,731.0,NLROTTETH__1,2023-02-17 00:00:00+01:00
36.4,2023-01-28 00:00:00+01:00,72.0,Bergum 20,2022-12-12 00:00:00+01:00
0.0,2023-08-18 23:00:00+02:00,144.0,Velsen,2023-06-23 23:00:00+02:00
0.0,2023-01-01 00:00:00+01:00,220.0,RoCa,2022-10-16 09:45:00+02:00
0.0,2023-02-12 23:00:00+01:00,360.0,Eems 7,2023-02-11 01:00:00+01:00
0.0,2023-02-19 23:00:00+01:00,360.0,Eems 5,2023-02-18 01:00:00+01:00
0.0,2023-01-01 00:00:00+01:00,249.0,Diemen,2022-12-22 12:00:00+01:00
380.0,2023-01-02 06:00:00+01:00,464.0,FLEVO 5,2022-12-21 12:00:00+01:00
0.0,2023-01-01 04:00:00+01:00,731.0,NLROTTETH__1,2023-01-01 00:00:00+01:00
0.0,2023-01-01 00:00:00+01:00,144.0,Velsen,2022-12-30 23:30:00+01:00
0.0,2023-01-02 06:00:00+01:00,731.0,NLROTTETH__1,2023-01-02 00:00:00+01:00
0.0,2023-01-01 13:45:00+01:00,144.0,Velsen,2023-01-01 00:00:00+01:00
0.0,2023-01-03 06:00:00+01:00,731.0,NLROTTETH__1,2023-01-03 00:00:00+01:00
0.0,2023-01-02 05:00:00+01:00,790.0,Eemshaven ,2023-01-02 04:50:00+01:00
0.0,2023-01-02 16:30:00+01:00,790.0,Eemshaven ,2023-01-02 05:00:00+01:00
0.0,2023-01-02 16:40:00+01:00,790.0,Eemshaven ,2023-01-02 16:30:00+01:00
0.0,2023-01-04 06:00:00+01:00,731.0,NLROTTETH__1,2023-01-04 00:00:00+01:00
0.0,2023-01-04 07:00:00+01:00,249.0,Diemen,2023-01-01 00:00:00+01:00
491.0,2023-01-04 00:00:00+01:00,631.0,Amer,2023-01-03 13:15:00+01:00
0.0,2023-01-05 08:00:00+01:00,731.0,NLROTTETH__1,2023-01-05 00:00:00+01:00
0.0,2023-01-04 16:00:00+01:00,426.0,Maastroom Energie CV,2023-01-04 07:30:00+01:00
0.0,2023-01-04 08:00:00+01:00,435.0,Diemen,2023-01-04 04:00:00+01:00
0.0,2023-01-04 14:00:00+01:00,249.0,Diemen,2023-01-04 12:30:00+01:00
0.0,2023-01-04 13:45:00+01:00,112.0,Den Haag,2023-01-04 09:30:00+01:00
0.0,2023-01-05 18:00:00+01:00,360.0,Eems 4,2023-01-05 06:00:00+01:00
410.0,2023-01-05 07:16:00+01:00,464.0,FLEVO 5,2023-01-05 07:15:00+01:00
410.0,2023-01-05 07:15:00+01:00,464.0,FLEVO 5,2023-01-05 07:00:00+01:00
410.0,2023-01-05 07:00:00+01:00,464.0,FLEVO 5,2023-01-04 00:00:00+01:00
0.0,2023-01-05 08:00:00+01:00,464.0,FLEVO 5,2023-01-05 07:30:00+01:00
0.0,2023-01-05 07:30:00+01:00,464.0,FLEVO 5,2023-01-05 07:16:00+01:00
0.0,2023-01-06 08:00:00+01:00,731.0,NLROTTETH__1,2023-01-06 00:00:00+01:00
0.0,2023-01-06 08:00:00+01:00,247.0,Lage Weide 6,2023-01-06 06:00:00+01:00
0.0,2023-01-07 08:00:00+01:00,731.0,NLROTTETH__1,2023-01-07 00:00:00+01:00
0.0,2023-01-06 09:45:00+01:00,249.0,Diemen,2023-01-06 04:30:00+01:00
0.0,2023-02-19 23:45:00+01:00,443.0,FLEVO 4,2023-02-19 23:30:00+01:00
0.0,2023-02-19 23:30:00+01:00,443.0,FLEVO 4,2023-02-19 23:00:00+01:00
0.0,2023-02-19 23:00:00+01:00,443.0,FLEVO 4,2022-12-02 14:00:00+01:00
