end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-01-17 16:00:00+00:00,Aguieira,2023-01-17 12:00:00+00:00,0,112.0,,0.0
2023-02-28 16:00:00+00:00,Aguieira,2023-02-27 09:00:00+00:00,0,224.0,,0.0
2023-02-28 16:30:00+00:00,Aguieira,2023-02-28 16:00:00+00:00,0,112.0,,0.0
2023-02-28 16:45:00+00:00,Aguieira,2023-02-28 16:30:00+00:00,0,112.0,,0.0
2023-02-28 17:00:00+00:00,Aguieira,2023-02-28 16:45:00+00:00,0,112.0,,0.0
2023-03-03 18:30:00+00:00,Aguieira,2023-03-03 18:00:00+00:00,0,336.0,,0.0
2023-03-03 18:00:00+00:00,Aguieira,2023-03-02 09:00:00+00:00,0,112.0,,0.0
2023-03-06 16:00:00+00:00,Aguieira,2023-03-03 18:30:00+00:00,0,112.0,,0.0
2023-03-06 16:30:00+00:00,Aguieira,2023-03-06 16:00:00+00:00,0,112.0,,0.0
2023-03-06 16:45:00+00:00,Aguieira,2023-03-06 16:30:00+00:00,0,112.0,,0.0
2023-03-23 09:00:00+00:00,Aguieira,2023-03-23 08:00:00+00:00,0,112.0,,0.0
2023-03-23 10:00:00+00:00,Aguieira,2023-03-23 09:00:00+00:00,0,112.0,,0.0
2023-03-29 15:00:00+00:00,Aguieira,2023-03-29 14:00:00+00:00,0,112.0,,0.0
2023-05-04 15:00:00+00:00,Aguieira,2023-05-04 14:00:00+00:00,0,112.0,,0.0
2023-05-05 06:15:00+00:00,Aguieira,2023-05-05 06:15:00+00:00,0,112.0,,0.0
2023-05-05 06:30:00+00:00,Aguieira,2023-05-05 06:15:00+00:00,0,112.0,,0.0
2023-05-05 07:00:00+00:00,Aguieira,2023-05-05 06:30:00+00:00,0,112.0,,0.0
2023-05-05 07:15:00+00:00,Aguieira,2023-05-05 07:00:00+00:00,0,112.0,,0.0
2023-06-12 16:00:00+00:00,Aguieira,2023-06-12 13:00:00+00:00,0,112.0,,0.0
2023-06-12 16:15:00+00:00,Aguieira,2023-06-12 16:00:00+00:00,0,112.0,,0.0
2023-06-12 16:30:00+00:00,Aguieira,2023-06-12 16:15:00+00:00,0,112.0,,0.0
2023-06-20 08:00:00+00:00,Aguieira,2023-06-20 05:00:00+00:00,0,112.0,,0.0
2023-06-20 08:30:00+00:00,Aguieira,2023-06-20 08:00:00+00:00,0,112.0,,0.0
2023-06-20 08:45:00+00:00,Aguieira,2023-06-20 08:30:00+00:00,0,112.0,,0.0
2023-06-20 09:00:00+00:00,Aguieira,2023-06-20 08:45:00+00:00,0,112.0,,0.0
2023-06-26 16:00:00+00:00,Aguieira,2023-06-26 09:00:00+00:00,0,112.0,,0.0
2023-06-27 16:00:00+00:00,Aguieira,2023-06-27 09:00:00+00:00,0,112.0,,0.0
2023-06-28 11:00:00+00:00,Aguieira,2023-06-28 09:00:00+00:00,0,112.0,,0.0
2023-06-28 11:15:00+00:00,Aguieira,2023-06-28 11:00:00+00:00,0,112.0,,0.0
2023-06-29 12:00:00+00:00,Aguieira,2023-06-29 09:00:00+00:00,0,112.0,,0.0
2023-06-29 12:15:00+00:00,Aguieira,2023-06-29 12:00:00+00:00,0,112.0,,0.0
2023-06-29 12:15:00+00:00,Aguieira,2023-06-29 12:15:00+00:00,0,112.0,,0.0
2023-06-30 16:00:00+00:00,Aguieira,2023-06-30 09:00:00+00:00,0,112.0,,0.0
2023-07-17 20:30:00+00:00,Aguieira,2023-07-17 20:15:00+00:00,0,112.0,,0.0
2023-07-17 21:00:00+00:00,Aguieira,2023-07-17 20:30:00+00:00,0,112.0,,0.0
2023-07-18 22:00:00+00:00,Aguieira,2023-07-17 21:00:00+00:00,0,112.0,,0.0
2023-07-22 21:30:00+00:00,Aguieira,2023-07-22 21:15:00+00:00,0,112.0,,0.0
2023-07-22 21:15:00+00:00,Aguieira,2023-07-22 21:15:00+00:00,0,112.0,,0.0
2023-07-22 22:00:00+00:00,Aguieira,2023-07-22 21:30:00+00:00,0,112.0,,0.0
2023-07-23 13:00:00+00:00,Aguieira,2023-07-22 22:00:00+00:00,0,112.0,,0.0
2023-07-23 13:15:00+00:00,Aguieira,2023-07-23 13:00:00+00:00,0,112.0,,0.0
2023-08-08 10:45:00+00:00,Aguieira,2023-07-25 08:00:00+00:00,0,2016.0,,0.0
2023-07-25 08:00:00+00:00,Aguieira,2023-07-24 08:00:00+00:00,0,112.0,,0.0
2023-08-10 18:00:00+00:00,Aguieira,2023-08-08 10:45:00+00:00,0,112.0,,0.0
2023-08-10 18:15:00+00:00,Aguieira,2023-08-10 18:00:00+00:00,0,112.0,,0.0
2023-08-31 19:00:00+00:00,Aguieira,2023-08-14 08:00:00+00:00,0,112.0,,0.0
2023-08-31 19:15:00+00:00,Aguieira,2023-08-31 19:00:00+00:00,0,112.0,,0.0
2023-09-22 11:00:00+00:00,Aguieira,2023-09-04 08:00:00+00:00,0,112.0,,0.0
2023-09-22 11:30:00+00:00,Aguieira,2023-09-22 11:00:00+00:00,0,112.0,,0.0
2023-09-22 11:30:00+00:00,Aguieira,2023-09-22 11:30:00+00:00,0,112.0,,0.0
