avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
42,SI,Planned maintenance,A03,,2023-01-05 11:00:00+01:00,slQ6rLkaBwnRwPJsfqvDuw,42.0,Fossil Brown coal/Lignite,28W-G-000000082I,Ljubljana,TE TE-TOL,TE TE-TOL 1,1,MAW,PT60M,1,2023-01-04 01:00:00+01:00
42,SI,Planned maintenance,A03,,2023-01-09 23:00:00+01:00,rCojpo8LORyhSlKN5KKYYg,50.0,Fossil Brown coal/Lignite,28W-G-000000082I,Ljubljana,TE TE-TOL,TE TE-TOL 3,1,MAW,PT60M,1,2023-01-07 01:00:00+01:00
0,SI,Unplanned outage,A03,,2023-01-09 10:45:00+01:00,Yp7sv6rZV-I-t8WXNFBNeQ,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT15M,7,2023-01-09 10:30:00+01:00
0,SI,Unplanned outage,A03,,2023-01-09 10:30:00+01:00,Yp7sv6rZV-I-t8WXNFBNeQ,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT30M,7,2023-01-09 10:00:00+01:00
0,SI,Unplanned outage,A03,,2023-01-09 10:00:00+01:00,Yp7sv6rZV-I-t8WXNFBNeQ,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT60M,7,2023-01-09 07:00:00+01:00
0,SI,Unplanned outage,A03,,2023-01-12 15:00:00+01:00,VH9V-OdL01XNjDk-g6p32g,180.0,Hydro Pumped Storage,28W-G-0000000009,Avče,ČHE Avče elektrarna,ČHE Avče elektrarna - generator,1,MAW,PT60M,1,2023-01-12 12:00:00+01:00
0,SI,Unplanned outage,A03,,2023-01-16 14:00:00+01:00,ZtBJqbBY3987WDNBALKy6Q,180.0,Hydro Pumped Storage,28W-G-0000000009,Avče,ČHE Avče elektrarna,ČHE Avče elektrarna - generator,1,MAW,PT60M,1,2023-01-16 12:00:00+01:00
436,SI,Unplanned outage,A03,,2023-01-26 08:15:00+01:00,c_mtsLiDDCOHbv4nTwif5A,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,1,2023-01-26 08:04:00+01:00
436,SI,Unplanned outage,A03,,2023-01-26 08:30:00+01:00,c_mtsLiDDCOHbv4nTwif5A,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT15M,1,2023-01-26 08:15:00+01:00
436,SI,Unplanned outage,A03,,2023-01-26 11:00:00+01:00,nkHnqY5-c94TgdC_uS-zcA,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT60M,2,2023-01-26 10:00:00+01:00
436,SI,Unplanned outage,A03,,2023-01-26 11:11:00+01:00,nkHnqY5-c94TgdC_uS-zcA,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,2,2023-01-26 11:00:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 11:38:00+01:00,LwZqpNiBtNTfZ5OpAuFQpg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,2,2023-01-26 11:25:00+01:00
325,SI,Unplanned outage,A03,,2023-01-26 11:45:00+01:00,Z2SmIxcr4KWv5_DM2z3r3Q,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,2,2023-01-26 11:38:00+01:00
325,SI,Unplanned outage,A03,,2023-01-26 12:15:00+01:00,Z2SmIxcr4KWv5_DM2z3r3Q,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT15M,2,2023-01-26 11:45:00+01:00
325,SI,Unplanned outage,A03,,2023-01-26 12:27:00+01:00,Z2SmIxcr4KWv5_DM2z3r3Q,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,2,2023-01-26 12:15:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 12:45:00+01:00,XMcFjnwLff0FMk8VB1FcWg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,2,2023-01-26 12:38:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 13:00:00+01:00,XMcFjnwLff0FMk8VB1FcWg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT15M,2,2023-01-26 12:45:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 14:00:00+01:00,XMcFjnwLff0FMk8VB1FcWg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT60M,2,2023-01-26 13:00:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 14:45:00+01:00,XMcFjnwLff0FMk8VB1FcWg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT15M,2,2023-01-26 14:30:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 14:50:00+01:00,XMcFjnwLff0FMk8VB1FcWg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT1M,2,2023-01-26 14:45:00+01:00
425,SI,Unplanned outage,A03,,2023-01-26 14:30:00+01:00,XMcFjnwLff0FMk8VB1FcWg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT30M,2,2023-01-26 14:00:00+01:00
265,SI,Planned maintenance,A03,,2023-01-31 22:00:00+01:00,wV8FX-UP5IITtYiQStzTHg,539.0,Fossil Brown coal/Lignite,28W-G-000000080M,Šoštanj,TE Šoštanj,TE Šoštanj 6,1,MAW,PT60M,1,2023-01-31 21:00:00+01:00
0,SI,Unplanned outage,A03,,2023-01-30 06:00:00+01:00,qwng_3ZMVgKTNi8w0w8aGw,180.0,Hydro Pumped Storage,28W-G-0000000009,Avče,ČHE Avče elektrarna,ČHE Avče elektrarna - generator,1,MAW,PT1M,3,2023-01-30 05:59:00+01:00
0,SI,Unplanned outage,A03,,2023-01-31 06:00:00+01:00,qwng_3ZMVgKTNi8w0w8aGw,180.0,Hydro Pumped Storage,28W-G-0000000009,Avče,ČHE Avče elektrarna,ČHE Avče elektrarna - generator,1,MAW,PT60M,3,2023-01-30 06:00:00+01:00
