avail_qty,end,nominal_power,production_resource_name,start
42,2023-01-05 10:00:00+00:00,42.0,TE TE-TOL,2023-01-04 00:00:00+00:00
42,2023-01-09 22:00:00+00:00,50.0,TE TE-TOL,2023-01-07 00:00:00+00:00
0,2023-01-09 09:45:00+00:00,539.0,TE Šoštanj,2023-01-09 09:30:00+00:00
0,2023-01-09 09:30:00+00:00,539.0,TE Šoštanj,2023-01-09 09:00:00+00:00
0,2023-01-09 09:00:00+00:00,539.0,TE Šoštanj,2023-01-09 06:00:00+00:00
0,2023-01-12 14:00:00+00:00,180.0,ČHE Avče elektrarna,2023-01-12 11:00:00+00:00
0,2023-01-16 13:00:00+00:00,180.0,ČHE Avče elektrarna,2023-01-16 11:00:00+00:00
436,2023-01-26 07:15:00+00:00,539.0,TE Šoštanj,2023-01-26 07:04:00+00:00
436,2023-01-26 07:30:00+00:00,539.0,TE Šoštanj,2023-01-26 07:15:00+00:00
436,2023-01-26 10:00:00+00:00,539.0,TE Šoštanj,2023-01-26 09:00:00+00:00
436,2023-01-26 10:11:00+00:00,539.0,TE Šoštanj,2023-01-26 10:00:00+00:00
425,2023-01-26 10:38:00+00:00,539.0,TE Šoštanj,2023-01-26 10:25:00+00:00
325,2023-01-26 10:45:00+00:00,539.0,TE Šoštanj,2023-01-26 10:38:00+00:00
325,2023-01-26 11:15:00+00:00,539.0,TE Šoštanj,2023-01-26 10:45:00+00:00
325,2023-01-26 11:27:00+00:00,539.0,TE Šoštanj,2023-01-26 11:15:00+00:00
425,2023-01-26 11:45:00+00:00,539.0,TE Šoštanj,2023-01-26 11:38:00+00:00
425,2023-01-26 12:00:00+00:00,539.0,TE Šoštanj,2023-01-26 11:45:00+00:00
425,2023-01-26 13:00:00+00:00,539.0,TE Šoštanj,2023-01-26 12:00:00+00:00
425,2023-01-26 13:45:00+00:00,539.0,TE Šoštanj,2023-01-26 13:30:00+00:00
425,2023-01-26 13:50:00+00:00,539.0,TE Šoštanj,2023-01-26 13:45:00+00:00
425,2023-01-26 13:30:00+00:00,539.0,TE Šoštanj,2023-01-26 13:00:00+00:00
265,2023-01-31 21:00:00+00:00,539.0,TE Šoštanj,2023-01-31 20:00:00+00:00
0,2023-01-30 05:00:00+00:00,180.0,ČHE Avče elektrarna,2023-01-30 04:59:00+00:00
0,2023-01-31 05:00:00+00:00,180.0,ČHE Avče elektrarna,2023-01-30 05:00:00+00:00
0,2023-01-31 11:00:00+00:00,180.0,ČHE Avče elektrarna,2023-01-31 05:00:00+00:00
0,2023-01-31 11:15:00+00:00,180.0,ČHE Avče elektrarna,2023-01-31 11:00:00+00:00
0,2023-01-31 11:20:00+00:00,180.0,ČHE Avče elektrarna,2023-01-31 11:15:00+00:00
0,2023-02-16 16:00:00+00:00,180.0,ČHE Avče elektrarna,2023-02-16 11:00:00+00:00
265,2023-02-28 21:00:00+00:00,539.0,TE Šoštanj,2023-02-28 20:00:00+00:00
0,2023-03-09 01:13:00+00:00,180.0,ČHE Avče elektrarna,2023-03-09 01:00:00+00:00
0,2023-03-09 00:00:00+00:00,180.0,ČHE Avče elektrarna,2023-03-08 23:58:00+00:00
0,2023-03-09 01:00:00+00:00,180.0,ČHE Avče elektrarna,2023-03-09 00:00:00+00:00
0,2023-03-09 12:00:00+00:00,180.0,ČHE Avče elektrarna,2023-03-09 09:00:00+00:00
0,2023-03-09 12:30:00+00:00,180.0,ČHE Avče elektrarna,2023-03-09 12:00:00+00:00
0,2023-03-09 09:00:00+00:00,180.0,ČHE Avče elektrarna,2023-03-09 08:30:00+00:00
0,2023-03-10 19:30:00+00:00,305.0,TE Šoštanj,2023-03-10 19:15:00+00:00
0,2023-03-10 20:00:00+00:00,305.0,TE Šoštanj,2023-03-10 19:30:00+00:00
0,2023-03-11 07:00:00+00:00,305.0,TE Šoštanj,2023-03-10 20:00:00+00:00
0,2023-03-11 07:10:00+00:00,305.0,TE Šoštanj,2023-03-11 07:00:00+00:00
0,2023-03-10 19:15:00+00:00,305.0,TE Šoštanj,2023-03-10 19:09:00+00:00
0,2023-03-11 01:00:00+00:00,539.0,TE Šoštanj,2023-03-11 00:30:00+00:00
0,2023-03-11 00:15:00+00:00,539.0,TE Šoštanj,2023-03-11 00:02:00+00:00
0,2023-03-11 00:30:00+00:00,539.0,TE Šoštanj,2023-03-11 00:15:00+00:00
0,2023-03-15 14:00:00+00:00,539.0,TE Šoštanj,2023-03-11 01:00:00+00:00
0,2023-03-15 14:45:00+00:00,539.0,TE Šoštanj,2023-03-15 14:30:00+00:00
0,2023-03-15 14:57:00+00:00,539.0,TE Šoštanj,2023-03-15 14:45:00+00:00
0,2023-03-15 14:30:00+00:00,539.0,TE Šoštanj,2023-03-15 14:00:00+00:00
0,2023-03-17 11:00:00+00:00,180.0,ČHE Avče elektrarna,2023-03-17 09:00:00+00:00
436,2023-03-16 06:45:00+00:00,539.0,TE Šoštanj,2023-03-16 06:32:00+00:00
436,2023-03-16 07:00:00+00:00,539.0,TE Šoštanj,2023-03-16 06:45:00+00:00
436,2023-03-16 10:00:00+00:00,539.0,TE Šoštanj,2023-03-16 07:00:00+00:00
436,2023-03-16 10:26:00+00:00,539.0,TE Šoštanj,2023-03-16 10:15:00+00:00
436,2023-03-16 10:15:00+00:00,539.0,TE Šoštanj,2023-03-16 10:00:00+00:00
225,2023-04-06 19:44:00+00:00,539.0,TE Šoštanj,2023-04-06 19:26:00+00:00
0,2023-04-06 21:00:00+00:00,539.0,TE Šoštanj,2023-04-06 20:30:00+00:00
0,2023-04-06 20:30:00+00:00,539.0,TE Šoštanj,2023-04-06 20:20:00+00:00
0,2023-04-09 09:00:00+00:00,539.0,TE Šoštanj,2023-04-06 21:00:00+00:00
0,2023-04-13 12:00:00+00:00,180.0,ČHE Avče elektrarna,2023-04-13 10:00:00+00:00
0,2023-05-15 05:00:00+00:00,539.0,TE Šoštanj,2023-04-28 23:00:00+00:00
0,2023-04-28 23:00:00+00:00,539.0,TE Šoštanj,2023-04-28 22:30:00+00:00
0,2023-04-28 22:30:00+00:00,539.0,TE Šoštanj,2023-04-28 22:15:00+00:00
0,2023-04-28 22:15:00+00:00,539.0,TE Šoštanj,2023-04-28 22:04:00+00:00
0,2023-05-10 10:00:00+00:00,180.0,ČHE Avče elektrarna,2023-05-10 08:00:00+00:00
275,2023-05-19 12:05:00+00:00,539.0,TE Šoštanj,2023-05-19 12:00:00+00:00
275,2023-05-19 12:00:00+00:00,539.0,TE Šoštanj,2023-05-15 05:00:00+00:00
190,2023-05-22 11:00:00+00:00,539.0,TE Šoštanj,2023-05-22 10:00:00+00:00
190,2023-05-22 10:00:00+00:00,539.0,TE Šoštanj,2023-05-22 09:53:00+00:00
190,2023-05-22 11:15:00+00:00,539.0,TE Šoštanj,2023-05-22 11:00:00+00:00
420,2023-06-05 14:30:00+00:00,539.0,TE Šoštanj,2023-06-05 14:15:00+00:00
420,2023-06-05 19:00:00+00:00,539.0,TE Šoštanj,2023-06-05 15:00:00+00:00
420,2023-06-05 15:00:00+00:00,539.0,TE Šoštanj,2023-06-05 14:30:00+00:00
436,2023-06-06 12:00:00+00:00,539.0,TE Šoštanj,2023-06-06 06:00:00+00:00
436,2023-06-06 06:00:00+00:00,539.0,TE Šoštanj,2023-06-06 05:30:00+00:00
436,2023-06-06 05:15:00+00:00,539.0,TE Šoštanj,2023-06-06 05:07:00+00:00
436,2023-06-06 05:30:00+00:00,539.0,TE Šoštanj,2023-06-06 05:15:00+00:00
436,2023-06-06 14:00:00+00:00,539.0,TE Šoštanj,2023-06-06 13:30:00+00:00
436,2023-06-06 13:30:00+00:00,539.0,TE Šoštanj,2023-06-06 13:20:00+00:00
