avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,BG,Planned maintenance,A03,,2024-12-31 23:00:00+02:00,kNAcy56zfVVU9dmM92Pssw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT60M,4,2023-01-01 00:00:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:30:00+02:00,kNAcy56zfVVU9dmM92Pssw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT30M,4,2024-12-31 23:00:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:45:00+02:00,kNAcy56zfVVU9dmM92Pssw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT15M,4,2024-12-31 23:30:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:59:00+02:00,kNAcy56zfVVU9dmM92Pssw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT1M,4,2024-12-31 23:45:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:00:00+02:00,yHrmpfDULlR8lOuDFunZyw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP1,1,MAW,PT60M,4,2023-01-01 00:00:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:30:00+02:00,yHrmpfDULlR8lOuDFunZyw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP1,1,MAW,PT30M,4,2024-12-31 23:00:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:45:00+02:00,yHrmpfDULlR8lOuDFunZyw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP1,1,MAW,PT15M,4,2024-12-31 23:30:00+02:00
0,BG,Planned maintenance,A03,,2024-12-31 23:59:00+02:00,yHrmpfDULlR8lOuDFunZyw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP1,1,MAW,PT1M,4,2024-12-31 23:45:00+02:00
0,BG,Planned maintenance,A03,,2024-01-31 13:30:00+02:00,GsHnvQpcM9hKG1wPIDQgwA,120.0,Hydro Water Reservoir,32W001100100071F,Sestrimo,HPP_SESTRIMO,HPP_SESTRIMO_G1,1,MAW,PT30M,1,2024-01-31 13:00:00+02:00
0,BG,Planned maintenance,A03,,2024-01-31 13:00:00+02:00,GsHnvQpcM9hKG1wPIDQgwA,120.0,Hydro Water Reservoir,32W001100100071F,Sestrimo,HPP_SESTRIMO,HPP_SESTRIMO_G1,1,MAW,PT60M,1,2023-12-22 14:00:00+02:00
0,BG,Planned maintenance,A03,,2023-12-22 14:00:00+02:00,GsHnvQpcM9hKG1wPIDQgwA,120.0,Hydro Water Reservoir,32W001100100071F,Sestrimo,HPP_SESTRIMO,HPP_SESTRIMO_G1,1,MAW,PT15M,1,2023-12-22 13:45:00+02:00
0,BG,Planned maintenance,A03,,2024-01-31 13:45:00+02:00,GsHnvQpcM9hKG1wPIDQgwA,120.0,Hydro Water Reservoir,32W001100100071F,Sestrimo,HPP_SESTRIMO,HPP_SESTRIMO_G1,1,MAW,PT15M,1,2024-01-31 13:30:00+02:00
0,BG,Planned maintenance,A03,,2024-06-30 23:30:00+03:00,b72cv6hfcf1uEj2w59lyAg,210.0,Fossil Gas,32W0011001002199,Varna,TPP_VARNA_BG,TPP VARNA G5,1,MAW,PT30M,2,2024-06-30 23:00:00+03:00
0,BG,Planned maintenance,A03,,2024-06-30 23:45:00+03:00,b72cv6hfcf1uEj2w59lyAg,210.0,Fossil Gas,32W0011001002199,Varna,TPP_VARNA_BG,TPP VARNA G5,1,MAW,PT15M,2,2024-06-30 23:30:00+03:00
0,BG,Planned maintenance,A03,,2024-06-30 23:59:00+03:00,b72cv6hfcf1uEj2w59lyAg,210.0,Fossil Gas,32W0011001002199,Varna,TPP_VARNA_BG,TPP VARNA G5,1,MAW,PT1M,2,2024-06-30 23:45:00+03:00
0,BG,Planned maintenance,A03,,2024-06-30 23:00:00+03:00,b72cv6hfcf1uEj2w59lyAg,210.0,Fossil Gas,32W0011001002199,Varna,TPP_VARNA_BG,TPP VARNA G5,1,MAW,PT60M,2,2024-01-01 00:00:00+02:00
0,BG,Unplanned outage,A03,,2024-01-08 12:00:00+02:00,itIYXJyprkEApIp2T9YoJg,227.0,Fossil Brown coal/Lignite,32W001100100063E,Galabovo,TPP_MI3,TPP_MI3_G4,1,MAW,PT1M,2,2024-01-08 11:54:00+02:00
