avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,CH,Planned maintenance,A03,Cancelled,2023-12-31 23:45:00+01:00,_FNggndgzdIQ5cnQEo1kow,162.0,Hydro Water Reservoir,12W-0000000925-8,intra_zonal,Maggia (OFIMA),Centrale di Bavona,1,MAW,PT15M,2,2023-12-02 00:00:00+01:00
121,CH,Planned maintenance,A03,Cancelled,2024-02-01 00:00:00+01:00,6EtaO7QGseRN4_bBLpvwcw,226.0,Hydro Water Reservoir,12W-0000000064-3,intra_zonal,AET Leventina,AET Leventina,1,MAW,PT15M,2,2024-01-03 00:00:00+01:00
1201,CH,Planned maintenance,A03,Cancelled,2024-03-11 00:00:00+01:00,7YWRqOJEj68soGano7GHEg,1307.0,Hydro Pumped Storage,12W-0000000031-O,intra_zonal,KW Oberhasli AG (KWO),KWO Produktion,1,MAW,PT15M,2,2024-03-04 07:00:00+01:00
762,CH,Planned maintenance,A03,Cancelled,2024-01-19 18:00:00+01:00,6oD12ZjjFz8Ng1qza1yfFw,930.0,Hydro Pumped Storage,12W-0000000241-A,intra_zonal,Nant de Drance (NDD),Usine de Nant de Drance,1,MAW,PT15M,2,2024-01-08 06:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-03-12 00:00:00+01:00,Z8hFu8NY0l8LgoUTeHPxMA,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G1,1,MAW,PT15M,2,2024-01-01 00:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-01-01 00:00:00+01:00,Fa8ESmXbef7-UkoHnrAqVw,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G3,1,MAW,PT15M,2,2023-11-09 00:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-01-01 00:00:00+01:00,O52GRBc4FmgAXrrZ82mEHQ,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G2,1,MAW,PT15M,2,2023-11-09 00:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-03-12 00:00:00+01:00,PEm8to2lHz7WzN7kvp-dMA,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G2,1,MAW,PT15M,2,2024-01-01 00:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-03-12 00:00:00+01:00,Koc6_VPE74fTDZ0NtXSMDw,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G3,1,MAW,PT15M,2,2024-01-01 00:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-01-01 00:00:00+01:00,zq39Y8eqpK5aJY4ikc8zUg,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G1,1,MAW,PT15M,2,2023-11-09 00:00:00+01:00
