avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,SK,Unplanned outage,A03,,2024-01-26 12:15:00+01:00,lirNL9FkwylfHZ9f_KjY1Q,235.5,Nuclear,24WV--EMO------K,Mochovce,Mochovce,Mochovce TG32,1,MAW,PT60M,1,2024-01-26 04:15:00+01:00
0,SK,Planned maintenance,A03,,2024-09-26 00:00:00+02:00,ZlHxKK3-ymgxNV-JlN_gtQ,235.0,Nuclear,24WV--EMO------K,Mochovce,Mochovce,Mochovce TG21,1,MAW,PT60M,116,2024-09-07 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-09-26 00:00:00+02:00,9SXooZ1qBm-hjUREiCHQAA,235.0,Nuclear,24WV--EMO------K,Mochovce,Mochovce,Mochovce TG22,1,MAW,PT60M,116,2024-09-07 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-10-09 00:00:00+02:00,aBYEx847BjpyWg2cQ7oqVA,122.4,Hydro Pumped Storage,24WV--HCV------O,Čierny Váh,Čierny Váh,Čierny Váh TG4,1,MAW,PT60M,116,2024-09-04 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-10-09 00:00:00+02:00,d6FaVkCxqCU-98QBxfPYag,122.4,Hydro Pumped Storage,24WV--HCV------O,Čierny Váh,Čierny Váh,Čierny Váh TG3,1,MAW,PT60M,116,2024-09-04 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-07-30 00:00:00+02:00,KN0nHPsTs0a-gWfB0SwIcg,250.0,Nuclear,24WV--EBO------8,Jaslovské Bohunice,Bohunice,Bohunice TG31,1,MAW,PT60M,116,2024-06-16 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-07-30 00:00:00+02:00,Ox_xROAG1LiMTmYeuORcSQ,250.0,Nuclear,24WV--EBO------8,Jaslovské Bohunice,Bohunice,Bohunice TG32,1,MAW,PT60M,116,2024-06-16 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-05-20 00:00:00+02:00,-0sidjPEGMiTq3h5pyjRWw,122.4,Hydro Pumped Storage,24WV--HCV------O,Čierny Váh,Čierny Váh,Čierny Váh TG2,1,MAW,PT60M,116,2024-05-13 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-05-20 00:00:00+02:00,g8jXm0JgRpxJKWfUdnELPA,110.0,Fossil Hard coal,24WV--EVO------D,Vojany,Vojany,Vojany TG6,1,MAW,PT60M,116,2024-05-11 00:00:00+02:00
0,SK,Planned maintenance,A03,,2024-06-15 00:00:00+02:00,d9GPEHRShAE4AeLrHYjsqQ,110.0,Fossil Hard coal,24WV--EVO------D,Vojany,Vojany,Vojany TG5,1,MAW,PT60M,116,2024-05-04 00:00:00+02:00
