avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,BG,Planned maintenance,A03,,2016-07-16 00:00:00+03:00,vJDjIvk5adjjEd7AQzv4VA,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,1,MAW,PT1M,1,2016-05-01 00:00:00+03:00
0,BG,Planned maintenance,A03,,2016-09-01 00:00:00+03:00,IkgyGoymvF8gpcMPPcqn2A,120.0,Fossil Brown coal/Lignite,32W001100100088Z,Dimitrovgrad,TEC_MARITSA_3_AD,TPP_MARITSA_3_G1,1,MAW,PT1M,1,2016-08-01 00:00:00+03:00
0,BG,Planned maintenance,A03,,2016-08-01 00:00:00+03:00,ZMhHbyDYFWTuUgQ4iji8Jg,110.0,Fossil Hard coal,32W001100100089X,Ruse,TOPLO_RUSE,TPP_RUSE_G4,1,MAW,PT1M,1,2016-07-01 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-05-13 00:00:00+03:00,G6KW1lhOgJJNedoZFVLc8w,1040.0,Nuclear,32W001100100217D,Kozloduy,NPP_KOZLODUY,NPP KZL G9,1,MAW,PT1M,2,2016-04-02 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-06-27 00:00:00+03:00,_AxGEGR9jvUj-MvTUuWuRw,218.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G7,1,MAW,PT1M,3,2016-05-28 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-06-20 00:00:00+03:00,H_EJk95bE5WGe-W40N1jWA,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G4,1,MAW,PT1M,3,2016-05-21 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-05-30 00:00:00+03:00,g7H0p_m8qpi4lvXeRWELNQ,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G6,1,MAW,PT1M,3,2016-04-30 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-05-23 00:00:00+03:00,5KEQTs5MqenlhE5Wl1ndPA,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G5,1,MAW,PT1M,3,2016-04-23 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-09-19 00:00:00+03:00,AmmLTxZSUSE1FW-cioT0CQ,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,3,2016-06-25 00:00:00+03:00
0,BG,Planned maintenance,A03,Cancelled,2016-04-25 00:00:00+03:00,qIKAd5yYRJ4h65CfsfDAxQ,165.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G2,1,MAW,PT1M,3,2016-03-26 00:00:00+02:00
0,BG,Planned maintenance,A03,Cancelled,2016-04-18 00:00:00+03:00,Lnf3aMlv1PpNAhx9LJQMDQ,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G1,1,MAW,PT1M,3,2016-03-19 00:00:00+02:00
