avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,piwpN7UPfy5vxtuek2S67Q,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI2_gép1,1,MAW,PT1M,30,2015-02-11 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,wRLhoFmS81TcT5RCy2PNmg,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI2_gép2,1,MAW,PT1M,30,2015-02-11 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,SwmBWQThsBwEepeLG2FvQg,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI4_gép3,1,MAW,PT1M,23,2015-02-11 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,ZAoAfzZkQ6xN3JF_RXzSNw,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI4_gép4,1,MAW,PT1M,22,2015-02-11 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,gTMsjy2KbNNyRvr3olX1CA,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI2_gép1,1,MAW,PT1M,5,2015-02-15 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,iosVtU1FWTpjAFo7MHKU8Q,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI2_gép2,1,MAW,PT1M,5,2015-02-15 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,rldJFMknX2RgAjJtYC6JVA,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI4_gép4,1,MAW,PT1M,5,2015-02-15 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,VB9tttDxUQHyDaL37aGzaw,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI4_gép3,1,MAW,PT1M,5,2015-02-15 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,_leZhnzoJ5g3D8__0M7Ziw,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI2_gép1,1,MAW,PT1M,5,2015-02-22 00:00:00+01:00
0,HU,Planned maintenance,A03,,2016-01-01 00:00:00+01:00,DgRX-07ki2QqmtXGuvYGTg,216.0,Fossil Gas,15WTISZA-----PPN,Tiszaújváros,Tiszai Erőmű,TI4_gép4,1,MAW,PT1M,5,2015-02-22 00:00:00+01:00
