avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,AT,Planned maintenance,A03,Cancelled,2017-12-31 23:45:00+01:00,GTq1HiOaHutK6fEeZ_Rf8g,130.0,Fossil Gas,14W-KW-THE-EVN-7,intra_zonal,Kraftwerk Theiß,Theiß 2,1,MAW,PT1M,2,2017-10-29 02:59:00+01:00
0,AT,Planned maintenance,A03,Cancelled,2017-12-31 23:30:00+01:00,GXiuTmmcmaoA3avSLJIIoA,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,3,2017-01-01 00:00:00+01:00
0,AT,Planned maintenance,A03,Cancelled,2018-01-03 01:30:00+01:00,t9WEzoZas4wzXsZoSTQEzg,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,2,2018-01-01 00:00:00+01:00
0,AT,Planned maintenance,A03,Cancelled,2018-01-01 00:00:00+01:00,m1J0ArLB855JgZ06ovAcFQ,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,2,2017-03-02 17:45:00+01:00
0,AT,Planned maintenance,A03,Cancelled,2018-01-01 00:00:00+01:00,_7uzq3puTaOjI5GHB9seQQ,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,2,2017-03-08 15:00:00+01:00
0,AT,Planned maintenance,A03,Cancelled,2018-12-31 09:45:00+01:00,kFXLAPzipifEdzk4wx0I8Q,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,5,2018-01-01 00:00:00+01:00
0,AT,Planned maintenance,A03,Cancelled,2018-01-01 00:00:00+01:00,YE1Xm3Ws_GEAUJd0udJvrA,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,2,2017-04-03 17:45:00+02:00
553,AT,Planned maintenance,A03,Cancelled,2018-05-14 00:00:00+02:00,ppyrpL-LCVeqbSD8xVescA,828.0,Fossil Gas,14W-PROD-SIM---P,intra_zonal,KW Simmering,Sim1,1,MAW,PT1M,2,2018-05-01 00:00:00+02:00
0,AT,Planned maintenance,A03,Cancelled,2018-01-01 00:00:00+01:00,_B3NCVZk2oxLcLayea5o0A,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,3,2017-06-16 20:00:00+02:00
0,AT,Planned maintenance,A03,Cancelled,2018-01-17 11:00:00+01:00,PppWDfbemVUK3G6ijqHUNA,400.0,Fossil Gas,14WENERGIE--WT02,intra_zonal,Kraftwerk Timelkam Gesamtanlage,Kraftwerk Timelkam GUD,1,MAW,PT1M,2,2018-01-01 00:00:00+01:00
