avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,SE,Planned maintenance,A03,Cancelled,2018-06-23 00:00:00+02:00,dpesXdH-zu0Led8qmSE-Tg,250.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,Rya KVV,1,MAW,PT1M,2,2018-05-07 00:00:00+02:00
0,SE,Planned maintenance,A03,,2018-04-20 16:00:00+02:00,yj0q_1yV-5HQqkNSLyjEdA,110.0,Hydro Water Reservoir,46WPU0000000029L,SE1,Harsprånget,Harsprånget G2,1,MAW,PT1M,1,2018-04-16 07:00:00+02:00
0,SE,Planned maintenance,A03,,2018-10-24 23:30:00+02:00,cvTbKssvvOVeC8qu-yAj1A,335.0,Fossil Oil,46WPU0000000005Z,SE4,Karlshamn,Karlshamn G3,1,MAW,PT30M,1,2018-10-24 23:00:00+02:00
0,SE,Planned maintenance,A03,,2018-10-24 23:00:00+02:00,cvTbKssvvOVeC8qu-yAj1A,335.0,Fossil Oil,46WPU0000000005Z,SE4,Karlshamn,Karlshamn G3,1,MAW,PT60M,1,2018-09-24 00:00:00+02:00
0,SE,Planned maintenance,A03,,2018-10-24 23:45:00+02:00,cvTbKssvvOVeC8qu-yAj1A,335.0,Fossil Oil,46WPU0000000005Z,SE4,Karlshamn,Karlshamn G3,1,MAW,PT15M,1,2018-10-24 23:30:00+02:00
0,SE,Planned maintenance,A03,,2018-10-24 23:59:00+02:00,cvTbKssvvOVeC8qu-yAj1A,335.0,Fossil Oil,46WPU0000000005Z,SE4,Karlshamn,Karlshamn G3,1,MAW,PT1M,1,2018-10-24 23:45:00+02:00
0,SE,Unplanned outage,A03,,2018-01-01 11:00:00+01:00,5D5GdxNOncsFwyrp-jglQA,150.0,Hydro Water Reservoir,46WPU0000000032W,SE1,Messaure,Messaure G1,1,MAW,PT60M,1,2018-01-01 10:00:00+01:00
0,SE,Unplanned outage,A03,,2018-01-01 10:00:00+01:00,5D5GdxNOncsFwyrp-jglQA,150.0,Hydro Water Reservoir,46WPU0000000032W,SE1,Messaure,Messaure G1,1,MAW,PT1M,1,2018-01-01 09:46:00+01:00
0,SE,Unplanned outage,A03,,2018-01-01 11:00:00+01:00,rgU-ZnqGyGoHylWdywi33w,152.0,Hydro Water Reservoir,46WPU0000000032W,SE1,Messaure,Messaure G3,1,MAW,PT60M,1,2018-01-01 10:00:00+01:00
0,SE,Unplanned outage,A03,,2018-01-01 10:00:00+01:00,rgU-ZnqGyGoHylWdywi33w,152.0,Hydro Water Reservoir,46WPU0000000032W,SE1,Messaure,Messaure G3,1,MAW,PT1M,1,2018-01-01 09:46:00+01:00
