avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,RO,Planned maintenance,A03,,2020-01-01 00:00:00+02:00,W52yF5kqMpZyCNwOkvRVsw,330.0,Fossil Brown coal/Lignite,30W-CET-TURC---M,internal,TPP Turceni,CteTurceni_TURC1_CA,1,MAW,PT60M,1,2019-01-01 00:00:00+02:00
0,RO,Planned maintenance,A03,,2020-01-01 00:00:00+02:00,PM5DhtvLLI8l34Od6vrhVA,300.0,Fossil Brown coal/Lignite,30W-CET-ROVI---Q,internal,TPP Rovinari,CTE_Rovinari_ROVI5_CA,1,MAW,PT60M,1,2019-01-01 00:00:00+02:00
0,RO,Planned maintenance,A03,,2020-01-01 00:00:00+02:00,v0rCbmw6SO7OB2TxoerL9Q,112.0,Fossil Gas,30W-CET-BUCS---S,internal,TPP Bucuresti Sud,BucurestiSud_BUCS6_CA,1,MAW,PT60M,1,2019-01-01 00:00:00+02:00
0,RO,Planned maintenance,A03,,2020-01-01 00:00:00+02:00,6fhYPHTxJ7V7HoQhz4QJLw,102.0,Fossil Gas,30W-CET-BUCV---D,internal,TPP Bucuresti Vest,BucurestiVest_BUCV2_CA,1,MAW,PT60M,1,2019-01-01 00:00:00+02:00
0,RO,Planned maintenance,A03,Cancelled,2020-01-01 00:00:00+02:00,9Ozw9ECXdFmQFtYHRqGq2A,188.0,Fossil Gas,30W-CET-IERN---J,internal,TPP Iernut,Iernut_IERN6_CA,1,MAW,PT60M,2,2019-01-01 00:00:00+02:00
0,RO,Planned maintenance,A03,Cancelled,2020-07-01 00:00:00+03:00,VehxXd4UEiAOAQ2hqbGygg,298.0,Fossil Brown coal/Lignite,30W-CET-TURC---M,internal,TPP Turceni,CteTurceni_TURC3_CA,1,MAW,PT60M,2,2020-05-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-09-01 00:00:00+03:00,rEQaAWzmO_LHm8P8f7ojzg,294.0,Fossil Brown coal/Lignite,30W-CET-ROVI---Q,internal,TPP Rovinari,CTE_Rovinari_ROVI4_CA,1,MAW,PT60M,2,2020-07-01 00:00:00+03:00
0,RO,Planned maintenance,A03,,2020-01-01 00:00:00+02:00,ZICLDyvX7oXFfaN1wHw35w,102.0,Fossil Gas,30W-CET-BUCV---D,internal,TPP Bucuresti Vest,BucurestiVest_BUCV1_CA,1,MAW,PT60M,1,2019-05-01 00:00:00+03:00
0,RO,Planned maintenance,A03,,2020-01-01 00:00:00+02:00,N5TU7jltl7AEvrg2eehzTg,102.0,Fossil Gas,30W-CET-BUCS---S,internal,TPP Bucuresti Sud,BucurestiSud_BUCS5_CA,1,MAW,PT60M,1,2019-05-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-07-01 00:00:00+03:00,GIsFY2u6D6uVFDT97wHKXA,120.0,Fossil Brown coal/Lignite,30W-CET-CRAI---T,internal,TPP Craiova,CetCraiova2_CRAI1_CA,1,MAW,PT60M,2,2020-05-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-09-01 00:00:00+03:00,9eBfFC3JBSRVbY_9U8jVDg,84.0,Fossil Gas,30W-CET-BUCS---S,internal,TPP Bucuresti Sud,BucurestiSud_BUCS3_CA,1,MAW,PT60M,2,2020-06-03 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-01-01 00:00:00+02:00,2YFrUpWHDpirliaecGcycg,188.0,Fossil Gas,30W-CET-IERN---J,internal,TPP Iernut,Iernut_IERN6_CA,1,MAW,PT60M,2,2019-07-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-08-01 00:00:00+03:00,8DtgJyeNA0M41iPNAJbWfQ,298.0,Fossil Brown coal/Lignite,30W-CET-TURC---M,internal,TPP Turceni,CteTurceni_TURC5_CA,1,MAW,PT60M,2,2020-06-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-06-01 00:00:00+03:00,joVabwhagTlW1lqOud68GA,298.0,Fossil Brown coal/Lignite,30W-CET-TURC---M,internal,TPP Turceni,CteTurceni_TURC3_CA,1,MAW,PT60M,2,2020-04-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-09-01 00:00:00+03:00,utls21heckiLqsQwuxtedA,294.0,Fossil Brown coal/Lignite,30W-CET-ROVI---Q,internal,TPP Rovinari,CTE_Rovinari_ROVI4_CA,1,MAW,PT60M,2,2020-07-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-07-01 00:00:00+03:00,j7UhO-STQxvz7i5wteSZ8w,290.0,Fossil Brown coal/Lignite,30W-CET-ROVI---Q,internal,TPP Rovinari,CTE_Rovinari_ROVI3_CA,1,MAW,PT60M,2,2020-04-01 00:00:00+03:00
0,RO,Planned maintenance,A03,Cancelled,2020-09-01 00:00:00+03:00,sH4DKdBaCww8LR-p5L_MiQ,120.0,Fossil Brown coal/Lignite,30W-CET-CRAI---T,internal,TPP Craiova,	CetCraiova2_CRAI2_CA,1,MAW,PT60M,2,2020-07-01 00:00:00+03:00
