avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
0,SK,Planned maintenance,A03,,2021-01-01 00:00:00+01:00,tONve5N3SaHdf171g4xebg,110.0,Fossil Hard coal,24WV--EVO------D,Vojany,Vojany,Vojany TG6,1,MAW,PT60M,190,2020-07-04 00:00:00+02:00
0,SK,Planned maintenance,A03,,2020-12-31 23:59:00+01:00,0Cf-IO7_13J1sXb5HHSdiA,110.0,Fossil Hard coal,24WV--EVO------D,Vojany,Vojany,Vojany TG5,1,MAW,PT60M,17,2020-12-12 23:59:00+01:00
0,SK,Unplanned outage,A03,,2021-01-07 10:06:00+01:00,RbqISdPVlGas6u71j4Jqvw,250.0,Nuclear,24WV--EBO------8,Jaslovské Bohunice,Bohunice,Bohunice TG42,1,MAW,PT60M,1,2021-01-07 05:06:00+01:00
0,SK,Unplanned outage,A03,,2021-01-15 14:23:00+01:00,o_hIbMyf87hLPcZz5iaDvA,110.0,Fossil Brown coal/Lignite,24WV--ENO------B,Nováky,Nováky,Nováky TG1,1,MAW,PT60M,2,2021-01-14 18:23:00+01:00
120,SK,Unplanned outage,A03,,2021-01-27 18:00:00+01:00,AfqLv2ItzJ56yaq_YAUVlQ,250.0,Nuclear,24WV--EBO------8,Jaslovské Bohunice,Bohunice,Bohunice TG31,1,MAW,PT60M,1,2021-01-27 05:00:00+01:00
0,SK,Unplanned outage,A03,,2021-02-01 14:24:00+01:00,BHv-pCUpYOxhfQ2edHChLw,419.6,Fossil Gas,24WV--EOK------Y,Malženice,Malženice,Malženice TG1,1,MAW,PT60M,1,2021-02-01 12:24:00+01:00
0,SK,Unplanned outage,A03,,2021-02-18 14:44:00+01:00,erQMhza9xo9FAFhw0Dd9kw,110.0,Fossil Brown coal/Lignite,24WV--ENO------B,Nováky,Nováky,Nováky TG2,1,MAW,PT60M,2,2021-02-15 18:44:00+01:00
0,SK,Unplanned outage,A03,,2021-04-05 00:12:00+02:00,sw52gtAjmuc6uuCHAdQ_3g,110.0,Fossil Brown coal/Lignite,24WV--ENO------B,Nováky,Nováky,Nováky TG2,1,MAW,PT60M,1,2021-04-04 09:12:00+02:00
0,SK,Unplanned outage,A03,,2021-04-12 06:11:00+02:00,FTkDA9NFpG0Rvp6eBvcifQ,110.0,Fossil Brown coal/Lignite,24WV--ENO------B,Nováky,Nováky,Nováky TG1,1,MAW,PT60M,2,2021-04-04 06:11:00+02:00
0,SK,Unplanned outage,A03,,2021-04-26 16:03:00+02:00,KrkNRG5odHv5Y7swh628lg,110.0,Fossil Hard coal,24WV--EVO------D,Vojany,Vojany,Vojany TG6,1,MAW,PT60M,2,2021-04-25 22:03:00+02:00
