Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Marcinelle Energie (Carsid),413.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0270460048,0.0270460048,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,DIRECT ENERGIE,50.41396,4.40645
,AALTER TJ,18.0,1.0,BE,,,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,,0.0,0.172413793,0.11,0.0,0.53932183,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Amercoeur 1 R TGV,451.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.024767184,0.024767184,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,50.430040000000005,4.39518
,BEERSE TJ,32.0,1.0,BE,,,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,,0.0,0.172413793,0.11,0.0,0.53932183,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,CIERREUX TJ,18.0,1.0,BE,,,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,,0.0,0.172413793,0.11,0.0,0.53932183,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,DROGENBOS GT1,150.0,1.0,BE,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,DROGENBOS GT2,150.0,1.0,BE,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,DROGENBOS ST,160.0,1.0,BE,,,STUR,GAS,0.31,0.0,0.0,0.011647059,0.056882353,32975.0175,,0.0,0.317647059,0.27,0.0,0.659023614,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,HERDERSBRUG STEG,465.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,51.26307,3.21121
,IXELLES TJ,18.0,1.0,BE,,,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,,0.0,0.172413793,0.11,0.0,0.53932183,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Noordschote TJ,18.0,1.0,BE,,,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,,0.0,0.172413793,0.11,0.0,0.53932183,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,SAINT-GHISLAIN STEG,350.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0319142857,0.0319142857,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,50.47167,3.82521
