"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Pumped Storage","11WD43VIWXHOILLM","Vorarlberger Illwerke AG","1868","2142","intra_zonal","220","25.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD4DAXLA-S---T","Rheinhafen-Dampfkraftwerk Karlsruhe","1347","842","intra_zonal","380","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD4GKM-2CD4--J","GKM AG TNG","1036","815","intra_zonal","220","22.06.2015",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD4HLBR1CS---A","HKW Heilbronn","778","778","intra_zonal","380","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD4AL1KU1-S--E","HKW Altbach/Deizisau","595","595","intra_zonal","380","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Pumped Storage","11WD4WEHR1HS---G","Schluchseewerk AG","455","455","intra_zonal","220","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Pumped Storage","11WD4SWSW5HD4--R","Schluchseewerk AG","258","258","intra_zonal","220","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Hard coal","11WD4GKM-XCD0--3","GKM AG DBEnergie","244","200","intra_zonal","110","22.06.2015",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Pumped Storage","11WD4SAEK2HS---S","Schluchseewerk AG","180","180","intra_zonal","220","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Waste","11WD4MUST5G----B","HKW Stuttgart-Münster","179","179","intra_zonal","110","09.12.2014",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Run-of-river and poundage","11WD4IFFE5G----Z","Rheinkraftwerk Iffezheim","146","146","intra_zonal","110","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Fossil Oil","11WD4WALK5G----E","Kraftwerk Walheim","136","136","intra_zonal","110","26.10.2009",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Run-of-river and poundage","11WD4KWLFB5-S--M","KW Laufenburg","106","106","intra_zonal","220","12.10.2015",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Hydro Run-of-river and poundage","11WD4KWRHF5-S--Z","KW Rheinfelden DE","100","100","cross_zonal","220","12.10.2015",""
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","11WD4KKP21N-S--O","KKW Philippsburg","1402","N/A","intra_zonal","380","26.10.2009","01.01.2020"
"CTA|DE(TransnetBW) / 01.01.2018 00:00 - 01.01.2019 00:00","Nuclear","11WD4GKNK1S----S","Kernkraftwerk Neckarwestheim","1320","N/A","intra_zonal","380","26.10.2009","16.04.2023"
