Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,5943,5943,5943,5943,5943,5943,5943,5943,4937,3929
Fossil_Hard_coal,,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Onshore,1249,1249,1745,1979,2248,2416,2629,2787,3053,3053
Fossil_Brown_coal-Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Run-of-river_and_poundage,162,168,170,171,172,175,176,185,186,186
Hydro_Water_Reservoir,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Offshore,712,712,877,1178,1548,2254,2254,2254,2262,2262
Hydro_Pumped_Storage,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308
Other_renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,2818,2953,2953,2953,3369,3887,4788,4788,6475,8789
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,358,362,362,362,362,362,362,384,384,384
Fossil_Gas,6753,6429,6464,6534,6642,6799,7282,6819,6988,6995
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,229,214,224,239,242,246,275,398,450,452
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,,,,,19,19,19,19,27,27
Biomass,573,590,598,598,619,647,672,700,730,731
Total_Grand_capacity,20105,19928,20644,21265,22472,24056,25708,25585,26800,28116
