Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Fossil Peat,,,,,,,,0,0,0
Nuclear,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2080,2080,2080
Fossil Hard coal,,,362.0,362.0,356.0,356.0,356.0,356,356,356
Wind Onshore,358.0,701.0,701.0,700.0,700.0,700.0,705.0,705,705,705
Fossil Brown coal/Lignite,5648.0,4882.0,4119.0,4119.0,4119.0,4119.0,4119.0,4119,4119,4119
Geothermal,,,,,,,,0,0,0
Hydro Run-of-river and poundage,,,530.0,534.0,537.0,537.0,539.0,540,542,542
Hydro Water Reservoir,1566.0,1544.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810,1810,1810
Wind Offshore,,,,,,,,0,0,0
Hydro Pumped Storage,1399.0,1399.0,864.0,864.0,864.0,864.0,864.0,864,864,864
Other renewable,,,,,,,,0,0,0
Solar,275.0,1041.0,1046.0,1052.0,1059.0,1084.0,1246.0,1726,3092,3179
Fossil Oil shale,,,,,,,,0,0,0
Waste,,,6.0,6.0,6.0,6.0,6.0,6,6,6
Fossil Gas,19.0,715.0,561.0,981.0,1232.0,1232.0,1266.0,1305,695,699
Fossil Coal-derived gas,,,,,,,,0,0,0
Fossil Oil,,,,,,,,0,0,0
Marine,,,,,,,,0,0,0
Other,,,,,,,,0,0,0
Biomass,20.0,47.0,74.0,74.0,74.0,74.0,75.0,74,74,74
Total Grand capacity,11285.0,12329.0,12073.0,12502.0,12757.0,12782.0,12986.0,13585,14343,14434
