Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,0,350,350,350,400,410,410,410,410,410
GAS,2100,1606,1606,1606,1606,1606,1606,1620,1620,1620
GEO,0,0,0,0,0,0,0,0,0,0
HRD,900,1200,1200,1200,1200,1200,1200,1200,1200,1200
LIG,8500,8334,7929,8542,8450,8150,7700,7250,7160,7200
NUC,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040
OIL,0,0,0,0,0,0,0,0,0,0
OTH,600,500,400,400,400,410,410,410,410,460
PEA,0,0,0,0,0,0,0,0,0,0
SUN,2050,2067,2027,2040,2049,2061,2054,2053,2083,3548
Total Grand capacity,20725,20627,20188,20845,20820,20576,20122,19703,19646,21198
WAT,2265,2253,2259,2259,2259,2260,2263,2281,2284,2278
WIN,270,277,277,308,316,339,339,339,339,342
WST,0,0,100,100,100,100,100,100,100,100
