Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,6808,6815,7080,7396,7752,7987,8400,8332,8467,8641
GAS,31734,32398,32627,31361,31664,31712,31942,30553,33065,37512
GEO,34,34,40,38,42,47,44,51,56,56
HRD,26190,26264,27437,25035,25293,22458,23499,18830,18559,12966
LIG,21160,21062,21262,21275,21205,21067,20487,18544,17692,18363
NUC,12068,10793,10793,9516,9516,8114,8114,4056,4056,0
OIL,4532,4605,4614,4271,4356,4373,4184,3966,4083,4118
OTH,1669,1797,1931,1914,1680,1965,2059,2031,2090,1988
PEA,0,0,0,0,0,0,0,0,0,0
SUN,37271,38686,40834,42804,45299,48206,53302,57744,63066,73821
Total Grand capacity,196051,202803,213816,216198,222381,222968,230478,223119,233193,242151
WAT,14206,14213,14340,14218,14703,14690,14534,14337,14428,14577
WIN,38694,44451,51173,56684,59185,60688,62273,63076,65719,68301
WST,1685,1685,1685,1686,1686,1661,1640,1599,1912,1808
