Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Hydro Water Reservoir,0,0,0,0,0,0,0,,,0,0
Other,0,0,0,0,0,0,0,13.0,20.0,20,20
Other renewable,7,7,6,5,12,12,10,,,0,0
Fossil Gas,181,119,129,119,125,133,98,94.0,110.0,15,14
Fossil Oil shale,1698,1975,1976,1976,1970,1970,1462,1371.0,1330.0,1330,1330
Nuclear,0,0,0,0,0,0,0,,,0,0
Fossil Peat,0,0,0,0,0,0,0,,,0,0
Fossil Coal-derived gas,86,86,85,85,51,79,74,25.0,78.0,78,78
Solar,1,1,1,1,33,123,164,370.0,510.0,812,1174
Hydro Pumped Storage,0,0,0,0,0,0,0,,,0,0
Fossil Hard coal,0,0,0,0,0,0,0,,,0,0
Fossil Oil,0,0,0,0,8,8,0,52.0,,0,0
Wind Onshore,307,375,384,487,462,329,329,326.0,317.0,447,682
Wind Offshore,0,0,0,0,0,0,0,,,0,0
Marine,0,0,0,0,0,0,0,,,0,0
Fossil Brown coal/Lignite,0,0,0,0,0,0,0,,,0,0
Waste,20,20,20,19,19,19,17,17.0,17.0,17,17
Biomass,77,77,86,102,157,157,175,130.0,152.0,150,150
Geothermal,0,0,0,0,0,0,0,,,0,0
Hydro Run-of-river and poundage,8,8,8,8,7,8,8,4.0,8.0,8,8
Total Grand capacity,2385,2668,2695,2802,2844,2838,2337,2402.0,2542.0,2877,3473
