Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,25,26,36,52,71,91,108,111,114,114
GAS,743,743,743,743,743,743,743,750,766,886
GEO,0,0,0,0,10,10,10,10,10,10
HRD,325,325,325,325,332,332,217,217,217,217
LIG,0,0,0,0,0,0,0,0,0,0
NUC,0,0,0,0,0,0,0,0,0,0
OIL,950,950,950,950,937,937,77,75,45,45
OTH,25,34,39,46,49,50,54,57,83,95
PEA,0,0,0,0,0,0,0,0,0,0
SUN,44,49,51,52,53,53,85,96,140,190
Total Grand capacity,4637,4712,4777,4846,4957,5107,4249,4402,4517,4855
WAT,2090,2090,2090,2090,2140,2146,2153,2155,2155,2155
WIN,429,489,537,582,616,739,796,925,981,1137
WST,6,6,6,6,6,6,6,6,6,6
