Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Hydro Water Reservoir,156,156,156,157,157,157,157,464,469,468,468
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1524,1520,1643,1811
Other renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Gas,826,1302,1438,2140,2106,2540,2555,3807,3786,5162,5454
Fossil Oil shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Coal-derived gas,158,158,158,158,272,272,272,284,281,274,270
Solar,14,77,187,231,430,1310,3473,6664,10643,14609,17308
Hydro Pumped Storage,1770,1770,1770,1780,1780,1780,1794,1591,1591,1589,1525
Fossil Hard coal,19366,18479,18094,20076,22261,22286,20925,19073,19008,18831,18532
Fossil Oil,345,345,345,415,415,359,359,393,393,393,393
Wind Onshore,3758,5494,6026,5791,5808,5953,6570,7950,8978,9583,10299
Wind Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Brown coal/Lignite,8427,8483,8214,8559,8013,7677,7597,7560,7560,7557,7546
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,375,435,501,603,849,880,880,647,664,662,662
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro Run-of-river and poundage,378,395,396,455,435,448,447,321,323,321,322
Total Grand capacity,35573,37094,37285,40365,42526,43662,45029,50278,55216,61092,64590
