Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,NPP Cernavoda,1300,1.0,RO,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Portile de Fier I,1161,1.0,RO,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Rovinari,878,1.0,RO,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP CCCC Petrom Brazi,832,1.0,RO,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Turceni,785,1.0,RO,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Lotru,509,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPP Fantanele,348,1.0,RO,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Isalnita,292,1.0,RO,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Iernut,282,1.0,RO,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cogealac,252,1.0,RO,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Portile de Fier II,250,1.0,RO,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Craiova,240,1.0,RO,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Vidraru,219,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Mariselu,215,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Raul Mare,210,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Bucuresti Vest,171,1.0,RO,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Brazi,170,1.0,RO,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Bucuresti Sud,168,1.0,RO,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Stejaru,202,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Sugag,149,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Galceag,149,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Ruieni,138,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPP Facaeni,132,1.0,RO,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Paroseni,130,1.0,RO,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPP Pantelimon,123,1.0,RO,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPP Stupina,120,1.0,RO,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPP Crucea Nord,108,1.0,RO,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Tismana,105,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HPP Bradisoru,100,1.0,RO,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Progresu,92,1.0,RO,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Govora,166,1.0,RO,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Oradea,61,1.0,RO,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPP Galati,192,1.0,RO,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
